text,source_team,year
"and gold and found that GolS_P118A exhibited a higher specificity for gold.

relationships: [[""Concordia"", ""collaborated with"", ""University of Toronto iGEM""],[""Concordia"", ""received plasmids from"", ""University of Toronto iGEM""],[""Concordia"", ""shared project ideas with"", ""University of Toronto iGEM""],[""Concordia"", ""characterized GolS in vivo for"", ""University of Toronto iGEM""],[""University of Toronto iGEM"", ""provided data for"", ""Concordia""],[""University of Toronto iGEM"", ""worked on a similar project with"", ""Concordia""],[""University of Toronto iGEM"", ""found that GolS_P118A has higher specificity for gold than GolS""]]",Concordia,2016
"relationships: [[""Purdue iGEM"",""collaborated with"",""Rose-Hulman Institute of Technology""],[""Purdue Bioscience Imaging Facility"",""provided access to"",""Rose-Hulman Institute of Technology""],[""University of Exeter"",""contributed to"",""Purdue iGEM""],[""Sri Venkateswara College of Engineering"",""collaborated with"",""Purdue iGEM""],[""Sri Venkateswara College of Engineering"",""distributed survey for"",""Purdue iGEM""],[""Sri Venkateswara College of Engineering"",""provided promoter for"",""Purdue iGEM""]]",Purdue,2016
"relationships: [[""Athens"",""collaborated"",""UNSW 2018""],[""Athens"",""collaborated"",""iGEM Paris - Bettencourt""],[""Athens"",""completed surveys for"",""iGEM Bulgaria""],[""Athens"",""completed surveys for"",""iGEM Dusseldorf""],[""Athens"",""completed surveys for"",""iGEM Montpellier 2018""],[""Athens"",""completed surveys for"",""UNAMBG iGEM 2018""]]",Athens,2018
"importance of considering the impact of GMM on society.

relationships: [[""Botchan_Lab_Tokyo"",""collaborated"",""iGEM Nagahama team""],[""Botchan_Lab_Tokyo"",""advised"",""iGEM Nagahama team""],[""Botchan_Lab_Tokyo"",""participated in festival"",""iGEM JAPAN""],[""Botchan_Lab_Tokyo"",""held exhibition booth with"",""KAIT JAPAN team""],[""Botchan_Lab_Tokyo"",""held exhibition booth with"",""Tokyo Tech team""],[""Botchan_Lab_Tokyo"",""held exhibition booth with"",""Kyoto team""],[""Botchan_Lab_Tokyo"",""held exhibition booth with"",""Kobe team""],[""Botchan_Lab_Tokyo"",""held exhibition booth with"",""Nagahama team""],[""Botchan_Lab_Tokyo"",""held exhibition booth with"",""Gifu team""],[""Botchan_Lab_Tokyo"",""collaborated"",""Manchester team""],[""Botchan_Lab_Tokyo"",""collaborated"",""Virginia team""],[""Botchan_Lab_Tokyo"",""collaborated"",""AQA Unesp team""],[""Botchan_Lab_Tokyo"",""collaborated"",""UChile_OpenBio-CeBiB team""],[""Botchan_Lab_Tokyo"",""collaborated"",""ITB_Indonesia team""],[""Botchan_Lab_Tokyo"",""collaborated"",""KUAS_Korea team""],[""Botchan_Lab_Tokyo"",""collaborated"",""IIT_Delhi team""],[""Botchan_Lab_Tokyo"",""collaborated"",""UAlberta team""]]",Botchan_Lab_Tokyo,2017
"them our model handbook preview to use for their iGEM project.
relationships: [[""IONIS-PARIS"",""collaborated"",""Tokyo Tech team""],[""IONIS-PARIS"",""collaborated"",""PARIS Bettencourt team""]]",IONIS-PARIS,2017
"relationships: [[""Makerere University"",""collaborated with"",""other teams""],[""Makerere University"",""worked with"",""non-iGEM research groups""],[""Makerere University"",""helped another team"",""iGEM team collaboration""],[""Makerere University"",""improved function of"",""another team's BioBrick Part or Device""],[""Makerere University"",""characterized"",""another team's part""],[""Makerere University"",""debugged"",""construct""],[""Makerere University"",""modeled or simulated"",""another team's system""],[""Makerere University"",""tested"",""another team's software""],[""Makerere University"",""built and tested"",""another team's hardware project""],[""Makerere University"",""mentored"",""high-school team""]]",Makerere_University,2018
[],Colegio_EmelinaU,2015
"relationships: [[""Hamburg"",""ongoing support by"",""Jérémy""],[""Hamburg"",""contacted"",""Jérémy""],[""Jérémy"",""troubleshooting for"",""Hamburg""],[""Hamburg"",""communication with"",""Jérémy""],[""Hamburg"",""needed council from"",""unknown team""],[""Hamburg"",""troubleshooted with help from"",""Jérémy""],[""Hamburg"",""collaborated with"",""Evry""],[""Hamburg"",""visited"",""Delft""],[""Hamburg"",""exchanged ideas with"",""Delft""],[""Hamburg"",""planned cooperation with"",""Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to"",""iGEM Delft""],[""Hamburg"",""thankful to",Hamburg,2017
"relationships: [[""Westminster"",""collaborated with"",""Cambridge-JIC team""],[""Westminster"",""received help from"",""Aix-Marseille Université""],[""Westminster"",""distributed and collected surveys for"",""Aix-Marseille Université""],[""Westminster"",""earned a silver Collaboration badge for their efforts with"",""Aix-Marseille Université""]]",Westminster,2015
"the iGEM competition.
relationships: [[""Technion Israel"",""collaborated with"",""Peshawar""],[""Technion Israel"",""collaborated with"",""Aachen""],[""Technion Israel"",""collaborated with"",""TU Eindhoven""],[""Technion Israel"",""collaborated with"",""BGU""]]",Technion_Israel,2016
"our projects.
relationships: [[""BGIC China"",""collaborated"",""SFLS""],[""SFLS"",""assisted"",""BGIC China""],[""BGIC China"",""helped"",""SFLS""],[""BGIC China"",""shared laboratory with"",""SFLS""],[""BGIC China"",""received training with"",""SFLS""],[""BGIC China"",""shared cloning materials with"",""SFLS""],[""BGIC China"",""had communication with"",""SFLS""]]",BGIC_China,2016
"relationships: [[""Aix-Marseille"",""collaborated with"",""Evry Paris-Saclay""],[""Aix-Marseille"",""collaborated with"",""UNebraska-Lincoln""],[""Aix-Marseille"",""participated in postal card exchange with"",""Cologne-Duesseldorf""]]",Aix-Marseille,2017
"sure
relationships: [[""Duesseldorf"",""collaborated"",""Tec-Monterrey""],[""Duesseldorf"",""collaborated"",""USP Brazil""]]",Duesseldorf,2018
"relationships: [[""Concordia"",""collaborated"",""NAWI Graz iGEM Team""],[""Concordia"",""mentored"",""NAWI Graz iGEM Team""],[""NAWI Graz iGEM Team"",""collaborated"",""Concordia""],[""NAWI Graz iGEM Team"",""mentored"",""Concordia""],[""NAWI Graz iGEM Team"",""collaborated"",""The Last Colinator""],[""NAWI Graz iGEM Team"",""mentored"",""The Last Colinator""]]",Concordia,2016
"relationships: [[""Hong Kong HKUST"", ""collaborated with"", ""Rice University""], [""Hong Kong HKUST"", ""collaborated with"", ""Indian Institute of Technology Madras""], [""Hong Kong HKUST"", ""collaborated with"", ""National University of Singapore""]]",Hong_Kong_HKUST,2016
"[[""KUAS_Korea"",""participated in"",""iGEM""],[""KUAS_Korea"",""sponsored by"",""Korea University""],[""KUAS_Korea"",""student leader"",""Taehoon Lee""],[""KUAS_Korea"",""wet lab leader"",""Bosun Ryu""],[""KUAS_Korea"",""dry lab leader"",""Uijin Han""],[""KUAS_Korea"",""human practices leader"",""Eunmin Kim""],[""KUAS_Korea"",""contacted by"",""Seoul Seongbuk-gu Anam-ro 145""],[""KUAS_Korea"",""contacted by"",""Tel: 02)1234-5678""],[""KUAS_Korea"",""contacted by"",""Email: kuaskorea@gmail.com""]]",KUAS_Korea,2018
"summer
relationships: [[""EPFL"", ""collaborated with"", ""igem.today""], [""EPFL"", ""met"", ""30 teams""], [""EPFL"", ""shared their project with"", ""30 teams""], [""EPFL"", ""helped"", ""30 teams""], [""EPFL"", ""communicated with"", ""30 teams""], [""EPFL"", ""interviewed"", ""30 teams""], [""EPFL"", ""created"", ""igem.today""], [""EPFL"", ""hosted"", ""short team interviews""], [""EPFL"", ""contacted"", ""30 teams""], [""EPFL"", ""obtained positive responses from"", ""30 teams""], [""EPFL"", ""discussed with"", ""30 teams""], [""EPFL"", ""interviewed"", ""30 teams""], [""EPFL"", ""met"", ""great people""], [""EPFL"", ""learned about"", ""other team's projects""], [""EPFL"", ""met"", ""teams at Giant Jamboree""], [""EPFL"", ""knows"", ""teams before meeting them""], [""EPFL"", ""benefits from"", ""knowing teams before meeting them""], [""EPFL"", ""benefits from"", ""knowing teams during iGEM experience""]]",EPFL,2016
"relationships: [[""BIT"", ""collaborated with"", ""SCUT-CHINA_B""],[""BIT"",""provided technical support for"",""SCUT-CHINA_B""],[""BIT"",""communicated with"",""NYMU-Taipei""],[""BIT"",""communicated with"",""BIT-China""],[""BIT"",""held communication meetings with"",""BIT-China""],[""BIT"",""received help from"",""BIT-China""],[""BIT"",""discussed with"",""NCKU""],[""BIT"",""attended the 2016 Asia Pacific Conference with"",""BIT-China""],[""BIT"",""received help from"",""BIT-China""],[""BIT"",""has a Twitter account"",""@igem_BIT""],[""BIT"",""has a Sina Weibo account"",""@igem_BIT""],[""BIT"",""has a website"",""http://www.bit.edu.cn""]].",BIT,2016
"relationships: [[""CUNY Kingsborough"",""collaborated"",""Columbia University iGEM Team""],[""CUNY Kingsborough"",""exchanged ideas"",""HD Resolution Team in NYC, USA""],[""CUNY Kingsborough"",""collaborated"",""Tec de Monterrey_Gdl from Mexico""],[""CUNY Kingsborough"",""collaborated"",""HD Resolution Team""]]",CUNY_Kingsborough,2018
"TEAM Paris_Bettencourt collaborated with TEAM GIFU on our project this year and mentored iGEM GIFU.
relationships: [[""Paris_Bettencourt"", ""collaborated"", ""GIFU""],[""Paris_Bettencourt"",""mentored"",""iGEM GIFU""]]",Paris_Bettencourt,2018
"relationships: [[""TU Dresden"",""supervisor"",""TU Dresden iGEM team""],[""TU Dresden"",""competitor"",""LMU Munich teams""],[""TU Dresden"",""collaborated with"",""Prof. Dr. Thorsten Mascher""],[""TU Dresden"",""collaborated with"",""Marcel Thiele""],[""TU Dresden"",""collaborated with"",""Prof. Dr. Hans-Georg Braun""],[""TU Dresden"",""organized"",""German-wide Meetup""],[""TU Dresden"",""bonded with"",""other iGEM teams""],[""TU Dresden"",""participated in"",""speed dating and workshops""],[""TU Dresden"",""worked together with"",""other iGEMers""],[""TU Dresden"",""organized"",""iGEM Giant Jamboree""],[""TU Dresden"",""enjoyed by"",""other iGEM teams""],[""TU Dresden"",""shared laughs with"",""other iGEM teams""]]",TU_Dresden,2017
