text,source_team,year,chunk
"Based on the provided text, the relationships between teams can be summarized as follows:

1. [""Concordia"", ""received plasmids from"", ""University of Toronto iGEM""]
2. [""Concordia"", ""collaborated"", ""University of Toronto iGEM""]

These relationships are derived from Concordia team's mention of receiving plasmids designed by the University of Toronto iGEM team and their subsequent collaboration to characterize the GolS protein both in vitro and in vivo.",Concordia,2016,0
"Here are the relationships identified from the text:

1. [[""Purdue"", ""collaborated"", ""Rose-Hulman Institute of Technology""]]
2. [[""Rose-Hulman Institute of Technology"", ""contributed to"", ""Purdue""]]
3. [[""Purdue"", ""collaborated"", ""Sri Venkateswara College of Engineering""]]
4. [[""Sri Venkateswara College of Engineering"", ""distributed survey"", ""Purdue""]]",Purdue,2016,1
"Here are the relationships extracted from the text:

1. [[""Athens"", ""met during visit"", ""UNSW 2018""]]
2. [[""Athens"", ""met during visit"", ""iGEM Paris - Bettencourt""]]
3. [[""Athens"", ""completed survey from"", ""iGEM Bulgaria""]]
4. [[""Athens"", ""completed survey from"", ""iGEM Dusseldorf""]]
5. [[""Athens"", ""completed survey from"", ""iGEM Montpellier 2018""]]
6. [[""Athens"", ""completed survey from"", ""UNAMBG iGEM 2018""]]",Athens,2018,2
"Here is a list of relationships based on the text provided:

1. [[""Botchan_Lab_Tokyo"", ""advised"", ""iGEM Nagahama""]]
2. [[""Botchan_Lab_Tokyo"", ""participated in festival with"", ""KAIT JAPAN""]]
3. [[""Botchan_Lab_Tokyo"", ""participated in festival with"", ""Tokyo Tech""]]
4. [[""Botchan_Lab_Tokyo"", ""participated in festival with"", ""Kyoto team""]]
5. [[""Botchan_Lab_Tokyo"", ""participated in festival with"", ""Kobe team""]]
6. [[""Botchan_Lab_Tokyo"", ""participated in festival with"", ""Nagahama team""]]
7. [[""Botchan_Lab_Tokyo"", ""participated in festival with"", ""Gifu team""]]
8. [[""Botchan_Lab_Tokyo"", ""collaborated"", ""Manchester team""]]
9. [[""Botchan_Lab_Tokyo"", ""collaborated"", ""Virginia team""]]
10. [[""Botchan_Lab_Tokyo"", ""collaborated"", ""AQA Unesp""]]
11. [[""Botchan_Lab_Tokyo"", ""collaborated"", ""UChile_OpenBio-CeBiB""]]
12. [[""Botchan_Lab_Tokyo"", ""collaborated"", ""ITB_Indonesia""]]
13. [[""Botchan_Lab_Tokyo"", ""collaborated"", ""KUAS_Korea""]]
14. [[""Botchan_Lab_Tokyo"", ""collaborated"", ""IIT_Delhi""]]
15. [[""Botchan_Lab_Tokyo"", ""collaborated"", ""UAlberta""]]",Botchan_Lab_Tokyo,2017,3
"Based on the provided text, the relationships between teams can be summarized as follows:

1. [[""IONIS-PARIS"", ""collaborated"", ""Tokyo Tech""]]
   - Description: IONIS-PARIS collaborated with Tokyo Tech for lab and model collaboration. Tokyo Tech sent their BioBrick pCOLD to IONIS-PARIS for new characterizations, and in return, IONIS-PARIS provided Tokyo Tech with a model handbook preview for their iGEM project.

2. [[""IONIS-PARIS"", ""received support from"", ""PARIS Bettencourt""]]
   - Description: PARIS Bettencourt provided IONIS-PARIS with devices to measure fluorescence, which helped them in characterizing protein expression. PARIS Bettencourt also provided guidance on using these methods.

3. [[""IONIS-PARIS"", ""supported"", ""PARIS Bettencourt""]]
   - Description: IONIS-PARIS helped PARIS Bettencourt in establishing the program ""simRNA"" for modeling their RNA organelle strands.

These relationships indicate a mutual collaboration and support system among the teams, enhancing their respective projects and contributing to their goals in the iGEM competition.",IONIS-PARIS,2017,4
[],Makerere_University,2018,5
[],Colegio_EmelinaU,2015,6
"Here are the relationships extracted from the text:

1. [[""Hamburg"", ""ongoing support from"", ""Jérémy""]]
2. [[""Hamburg"", ""support from"", ""Evry""]]
3. [[""Hamburg"", ""collaboration planned with"", ""iGEM Delft""]]
4. [[""Hamburg"", ""thanked for organizing"", ""iGEM Delft""]]",Hamburg,2017,7
"Based on the provided text, the relationships between Team Westminster and other teams or entities can be summarized as follows:

1. Team Westminster attended a workshop organized by the Cambridge-JIC team at the iGEM UK MeetUp. The workshop focused on open source hardware and provided an opportunity for feedback and interaction.

2. Team Westminster helped Aix-Marseille Université by collecting data for their project through surveys on gum and GMOs.

The relationships can be listed as:

- [[""Westminster"", ""attended workshop by"", ""Cambridge-JIC""]]
- [[""Westminster"", ""helped"", ""Aix-Marseille Université""]]",Westminster,2015,8
"Here is a list of relationships identified from the text:

1. [[""Technion Israel"", ""tutored"", ""iGEM Peshawar""]]
2. [[""Technion Israel"", ""aided in mathematical modeling"", ""iGEM Peshawar""]]
3. [[""Technion Israel"", ""shared cloning protocols"", ""iGEM Peshawar""]]
4. [[""Technion Israel"", ""advised on human practices"", ""iGEM Peshawar""]]",Technion_Israel,2016,9
"Based on the text provided, the relationships between teams can be summarized as follows:

1. [[""BGIC China"", ""assisted"", ""SFLS""]]
2. [[""SFLS"", ""assisted"", ""BGIC China""]]
3. [[""BGIC China"", ""shared laboratory with"", ""SFLS""]]
4. [[""BGIC China"", ""received training with"", ""SFLS""]]
5. [[""BGIC China"", ""shared materials with"", ""SFLS""]]",BGIC_China,2016,10
"Here are the relationships extrapolated from the text:

1. [[""Aix-Marseille"", ""collaborated"", ""Evry Paris-Saclay""]]
2. [[""Evry Paris-Saclay"", ""offered help with"", ""Aix-Marseille""]]
3. [[""Aix-Marseille"", ""offered help with"", ""Evry Paris-Saclay""]]
4. [[""Aix-Marseille"", ""collaborated on survey"", ""UNebraska-Lincoln""]]
5. [[""Aix-Marseille"", ""participated in postal card exchange"", ""Cologne-Duesseldorf""]]",Aix-Marseille,2017,11
