text,source_team,year,chunk
"[[""Concordia"", ""received plasmids from"", ""University of Toronto iGEM""], [""Concordia"", ""collaborated"", ""University of Toronto iGEM""]]",Concordia,2016,0
"[[""Purdue"", ""collaborated"", ""Rose-Hulman Institute of Technology’s (RHIT)""], [""Rose-Hulman Institute of Technology’s (RHIT)"", ""used facility"", ""Purdue""], [""Rose-Hulman Institute of Technology’s (RHIT)"", ""contributed"", ""Purdue""], [""Purdue"", ""collaborated"", ""Sri Venkateswara College of Engineering (SVCE)""], [""Sri Venkateswara College of Engineering (SVCE)"", ""distributed survey"", ""Purdue""], [""Purdue"", ""constructed, transformed and characterized"", ""Sri Venkateswara College of Engineering (SVCE)""]]",Purdue,2016,1
"[[""Athens"", ""collaborated"", ""UNSW 2018 iGEM Team""], [""Athens"", ""collaborated"", ""iGEM Paris - Bettencourt Team""], [""Athens"", ""completed survey"", ""iGEM Bulgaria""], [""Athens"", ""completed survey"", ""iGEM Dusseldorf""], [""Athens"", ""completed survey"", ""iGEM Montpellier 2018""], [""Athens"", ""completed survey"", ""UNAMBG iGEM 2018""]]",Athens,2018,2
"[[""Botchan_Lab_Tokyo"", ""helped"", ""iGEM Nagahama""], [""Botchan_Lab_Tokyo"", ""participated with"", ""KAIT JAPAN""], [""Botchan_Lab_Tokyo"", ""participated with"", ""Tokyo Tech""], [""Botchan_Lab_Tokyo"", ""participated with"", ""Kyoto""], [""Botchan_Lab_Tokyo"", ""participated with"", ""Kobe""], [""Botchan_Lab_Tokyo"", ""participated with"", ""Nagahama""], [""Botchan_Lab_Tokyo"", ""participated with"", ""Gifu""], [""Botchan_Lab_Tokyo"", ""collaborated"", ""Manchester""], [""Botchan_Lab_Tokyo"", ""collaborated"", ""Virginia""], [""Botchan_Lab_Tokyo"", ""collaborated"", ""AQA Unesp""], [""Botchan_Lab_Tokyo"", ""collaborated"", ""UChile_OpenBio-CeBiB""], [""Botchan_Lab_Tokyo"", ""collaborated"", ""ITB_Indonesia""], [""Botchan_Lab_Tokyo"", ""collaborated"", ""KUAS_Korea""], [""Botchan_Lab_Tokyo"", ""collaborated"", ""IIT_Delhi""], [""Botchan_Lab_Tokyo"", ""collaborated"", ""UAlberta""]]",Botchan_Lab_Tokyo,2017,3
"[[""IONIS-PARIS"", ""collaborated"", ""Tokyo Tech team""],[""IONIS-PARIS"", ""collaborated"", ""PARIS Bettencourt team""]]",IONIS-PARIS,2017,4
[],Makerere_University,2018,5
[],Colegio_EmelinaU,2015,6
"[[""Hamburg"", ""received support from"", ""Jérémy""], [""Hamburg"", ""received support from"", ""Evry""], [""Hamburg"", ""collaborated"", ""TU Delft""], [""Hamburg"", ""planned collaboration"", ""Delft""], [""Hamburg"", ""planned collaboration"", ""Aalto Helsinki""]]",Hamburg,2017,7
"[[""Westminster"", ""attended workshop"", ""Cambridge-JIC""], [""Westminster"", ""helped with data collection"", ""Aix-Marseille Université""]]",Westminster,2015,8
"[[""Technion Israel"", ""provided guidance"", ""iGEM Peshawar""], [""Technion Israel"", ""aided in modeling process"", ""iGEM Peshawar""], [""Technion Israel"", ""debugged protocol"", ""iGEM Peshawar""], [""Technion Israel"", ""shared protocols"", ""iGEM Peshawar""], [""Technion Israel"", ""shared educational program"", ""iGEM Peshawar""], [""Technion Israel"", ""advised"", ""iGEM Peshawar""]]",Technion_Israel,2016,9
"[[""BGIC_China"", ""assisted"", ""SFLS""],[""SFLS"", ""helped"", ""BGIC_China""],[""SFLS"", ""shared laboratory with"", ""BGIC_China""],[""SFLS"", ""shared materials with"", ""BGIC_China""]]",BGIC_China,2016,10
"[[""Aix-Marseille"", ""collaborated"", ""Evry Paris-Saclay""], [""Aix-Marseille"", ""collaborated"", ""UNebraska-Lincoln""], [""Aix-Marseille"", ""participated in program"", ""Cologne-Duesseldorf""]]",Aix-Marseille,2017,11
"[[""Duesseldorf"", ""collaborated"", ""Tec-Monterrey""],[""Duesseldorf"", ""collaborated"", ""USP Brazil""]]",Duesseldorf,2018,12
"[], there are no relationships mentioned in the text.",Concordia,2016,13
"[[""Hong_Kong_HKUST"", ""collaborated"", ""Rice University""], [""Hong_Kong_HKUST"", ""collaborated"", ""Indian Institute of Technology Madras""], [""Hong_Kong_HKUST"", ""collaborated"", ""National University of Singapore""]]",Hong_Kong_HKUST,2016,14
[].,KUAS_Korea,2018,15
"[""EPFL"",""collaborated"",""30 iGEM teams""],[""EPFL"",""communication platform"",""30 iGEM teams""],[""EPFL"",""interviewed"",""30 iGEM teams""]]",EPFL,2016,16
"[[""BIT"", ""received help in modeling"", ""SCUT-CHINA_B""], [""BIT"", ""wrote a PC program for"", ""SCUT-CHINA_B""], [""BIT"", ""communicated with"", ""NYMU-Taipei""], [""BIT"", ""communicated with"", ""BIT-China""], [""BIT"", ""received help in experiment and web design from"", ""BIT-China""], [""BIT-China"", ""received advice from"", ""BIT""]]",BIT,2016,17
"[[""CUNY_Kingsborough"", ""data collection collaboration"", ""HD Resolution""], [""CUNY_Kingsborough"", ""data collection collaboration"", ""Tec de Monterrey_Gdl""], [""CUNY_Kingsborough"", ""collaborated"", ""Columbia University iGEM Team""], [""CUNY_Kingsborough"", ""hosted event"", ""HD Resolution""]]",CUNY_Kingsborough,2018,18
"[[""Paris_Bettencourt"", ""sponsorship from"", ""Arbor Biosciences""], [""Paris_Bettencourt"", ""recruited for study"", ""GIFU iGEM""], [""Paris_Bettencourt"", ""compared results with"", ""GIFU iGEM""]]",Paris_Bettencourt,2018,19
"[[""TU_Dresden"",""hosted meetup"",""Aachen""],[""TU_Dresden"",""hosted meetup"",""Berlin_diagnostX""],[""TU_Dresden"",""hosted meetup"",""Bielefeld-CeBiTec""],[""TU_Dresden"",""hosted meetup"",""Cologne-Duesseldorf""],[""TU_Dresden"",""hosted meetup"",""TU Darmstadt""],[""TU_Dresden"",""hosted meetup"",""Franconia""],[""TU_Dresden"",""hosted meetup"",""Freiburg""],[""TU_Dresden"",""hosted meetup"",""Munich""],[""TU_Dresden"",""hosted meetup"",""Potsdam""],[""TU_Dresden"",""supervised by"",""Prof. Dr. Thorsten Mascher""],[""TU_Dresden"",""presentation from"",""Marcel Thiele""],[""TU_Dresden"",""presentation from"",""Prof. Dr. Hans-Georg Braun""]]",TU_Dresden,2017,20
"[[""Tsinghua"", ""collaborated"", ""SJTU""], [""SJTU"", ""provided"", ""Tsinghua""], [""Tsinghua"", ""invited"", ""SJTU""], [""Tsinghua"", ""collaborated"", ""SYSU""], [""SYSU"", ""shared"", ""Tsinghua""], [""Tsinghua"", ""held meetup"", ""SYSU""], [""Tsinghua"", ""spotted errors"", ""SYSU""], [""Tsinghua"", ""collaborated"", ""Tsinghua A""], [""Tsinghua"", ""provided"", ""Tsinghua A""], [""Tsinghua A"", ""provided feedback"", ""Tsinghua""]]",Tsinghua,2015,21
"[[""Leiden"", ""collaborated"", ""Copenhagen""]]",Leiden,2016,22
[],UCAS,2017,23
"[[""BGU_ISRAEL"", ""offered assistance"", ""KoreaSonyeod""], [""BGU_ISRAEL"", ""sent materials to"", ""KoreaSonyeod""], [""BGU_ISRAEL"", ""collaborated"", ""Technion - Israel""], [""BGU_ISRAEL"", ""participated in event hosted by"", ""Technion - Israel""], [""Technion - Israel"", ""offered to improve"", ""BGU_ISRAEL""]]",BGU_ISRAEL,2016,24
"[[""ZJUT-China"", ""cooperated"", ""Beijing Institute of Technology""], [""ZJUT-China"", ""cooperated"", ""Beijing Normal University""], [""ZJUT-China"", ""cooperated"", ""Zhejiang University""], [""ZJUT-China"", ""cooperated"", ""Chinese University of Hong Kong""], [""ZJUT-China"", ""received advice from"", ""BNU-China""], [""ZJUT-China"", ""collaborated on project"", ""BNU-China""], [""ZJUT-China"", ""received help from"", ""BIT""], [""BIT"", ""gifted"", ""ZJUT-China""]]",ZJUT-China,2018,25
"[[""East_Chapel_Hill"", ""collaborated"", ""Gaston""], [""East_Chapel_Hill"", ""collaborated"", ""Duke""]]",East_Chapel_Hill,2017,26
"[[""Aachen"", ""collaborated"", ""iGEM TU Darmstadt""]]",Aachen,2016,27
"[[""SYSU-MEDICINE"", ""communicated"", ""ShanghaiTechChina_B""], [""SYSU-MEDICINE"", ""communicated"", ""AHUT_China""], [""SYSU-MEDICINE"", ""communicated"", ""NAU-China""], [""SYSU-MEDICINE"", ""participated in newsletter"", ""XMU-China""], [""SYSU-MEDICINE"", ""communicated"", ""NEU-China""], [""SYSU-MEDICINE"", ""communicated"", ""TMMU_China""], [""SYSU-MEDICINE"", ""communicated"", ""CCiC""], [""SYSU-MEDICINE"", ""communicated"", ""SYSU_China""], [""SYSU-MEDICINE"", ""collaborated"", ""ShanghaiTechChina_B""]]",SYSU-MEDICINE,2016,28
