"context","target_processed","year","team_processed","team","target","source_team","batch_id","chunk_id","id","team_matched","target_matched","category"
"2015 iGEM conference held by","nctu",2015,"hust china","HUST-China","NCTU","HUST-China",8,4,"8-4","HUST-China","NCTU_Formosa","other"
"access to","westminster igem team",2015,"cambridge jic","Cambridge-JIC","Westminster iGEM team","Cambridge-JIC",114,10,"114-10","Cambridge-JIC","Westminster","material transfer"
"access to","cambridge jic",2015,"westminster igem team","Westminster iGEM team","Cambridge-JIC","Cambridge-JIC",114,10,"114-10","Westminster","Cambridge-JIC","material transfer"
"accessible to","birkbeck's igem team",2015,"birkbeck","Birkbeck","Birkbeck's iGEM team","Birkbeck",778,0,"778-0","Birkbeck","Birkbeck-CeBiTec","other"
"acknowledges","igem foundation",2015,"nankai","Nankai","iGEM Foundation","Nankai",1001,8,"1001-8","Nankai","iGEM","other"
"acknowledges help from","columbia university igem team",2015,"genspace","Genspace","Columbia University iGEM team","Genspace",851,3,"851-3","Genspace","Columbia_NYC","other"
"acknowledges help from","columbia university igem team",2015,"genspace","Genspace","Columbia University iGEM team","Genspace",675,6,"675-6","Genspace","Columbia_NYC","other"
"acquired from","yale cgsc",2015,"hkust rice","HKUST-Rice","Yale CGSC","HKUST-Rice",577,5,"577-5","HKUST-Rice","Yale","material transfer"
"adapted wiki layout from","2014 team from sdu denmark",2015,"fau erlangen","FAU Erlangen","2014 Team from SDU Denmark","FAU_Erlangen",732,6,"732-6","FAU_Erlangen","SDU-Denmark","work"
"added ethical discussion with","team hkust",2015,"amoy","Amoy","Team HKUST","Amoy",562,11,"562-11","Amoy","HKUST-Rice","other"
"added project data to","paris bettencourt igem team's rhizi database",2015,"genspace","Genspace","Paris-Bettencourt iGEM Team's Rhizi Database","Genspace",562,10,"562-10","Genspace","Paris_Bettencourt","work"
"added project to","paris bettencourt's igem rhizi",2015,"csu fort collins","CSU Fort Collins","Paris-Bettencourt's iGEM Rhizi","CSU_Fort_Collins",849,5,"849-5","CSU_Fort_Collins","Paris_Bettencourt","other"
"added video to","ucsf",2015,"dundee","Dundee","UCSF","Dundee",978,6,"978-6","Dundee","UCSF","work"
"addressed issue for","ustc",2015,"ustc software","USTC-Software","USTC","USTC-Software",731,2,"731-2","USTC-Software","USTC","work"
"addressed problem for","scu china",2015,"uestc software","UESTC Software","SCU_China","UESTC_Software",70,6,"70-6","UESTC_Software","SCU_China","work"
"adjusted design based on ideas from","bielefeld",2015,"aachen","Aachen","Bielefeld","Aachen",1022,5,"1022-5","Aachen","Bielefeld-CeBiTec","work"
"advised","zju china igem team",2015,"xjtlu china","XJTLU-CHINA","ZJU-China iGEM team","XJTLU-CHINA",735,4,"735-4","XJTLU-CHINA","ZJU-China","advice"
"advised","rock ridge high school",2015,"umaryland","UMaryland","Rock Ridge High School","UMaryland",96,4,"96-4","UMaryland","Rock_Ridge_Virginia","advice"
"advised","stockholm",2015,"aalto helsinki","Aalto-Helsinki","Stockholm","Aalto-Helsinki",627,8,"627-8","Aalto-Helsinki","Stockholm","advice"
"advised","fafu",2015,"bit china","BIT-China","FAFU","BIT-China",744,8,"744-8","BIT-China","FAFU-CHINA","advice"
"advised","china tongji igem team",2015,"xjtlu china","XJTLU-CHINA","China-Tongji iGEM team","XJTLU-CHINA",735,4,"735-4","XJTLU-CHINA","China_Tongji","advice"
"advised","nait edmonton",2015,"michigan","Michigan","Nait_Edmonton","Michigan",941,7,"941-7","Michigan","NAIT_Edmonton","advice"
"advised","bit china",2015,"fafu","FAFU","BIT-China","BIT-China",744,8,"744-8","FAFU-CHINA","BIT-China","advice"
"advised","china tongji igem team",2015,"xjtlu china","XJTLU-CHINA","China-Tongji iGEM team","XJTLU-CHINA",404,6,"404-6","XJTLU-CHINA","China_Tongji","advice"
"advised","lzu china",2015,"tju","TJU","LZU-China","TJU",739,13,"739-13","TJU","LZU-China","advice"
"advised","zju china",2015,"xjtlu china","XJTLU-CHINA","ZJU-China","XJTLU-CHINA",404,6,"404-6","XJTLU-CHINA","ZJU-China","advice"
"advised","aix marseille",2015,"dundee","Dundee","Aix-Marseille","Dundee",978,6,"978-6","Dundee","Aix-Marseille","advice"
"advised","zju china team",2015,"xjtlu china","XJTLU-CHINA","ZJU-China team","XJTLU-CHINA",708,4,"708-4","XJTLU-CHINA","ZJU-China","advice"
"advised","stanford brown",2015,"utah state","Utah State","Stanford-Brown","Utah_State",297,3,"297-3","Utah_State","Stanford-Brown","advice"
"advised","birkbeck (and ucl) 2015 teams",2015,"birkbeck","Birkbeck","Birkbeck (and UCL) 2015 Teams","Birkbeck",778,0,"778-0","Birkbeck","Birkbeck-CeBiTec","advice"
"advised","exeter 2015",2015,"bielefeld cebitec","Bielefeld-CeBiTec","Exeter 2015","Bielefeld-CeBiTec",893,16,"893-16","Bielefeld-CeBiTec","Exeter","advice"
"advised by","ross kent",2015,"exeter","Exeter","Ross Kent","Exeter",755,9,"755-9","Exeter","Kent","advice"
"advises","freiburg team",2015,"technion hs israel","Technion_HS_Israel","Freiburg team","Technion_HS_Israel",21,0,"21-0","Technion_HS_Israel","Freiburg","advice"
"advises","stanford brown team",2015,"edinburgh","Edinburgh","Stanford-Brown team","Edinburgh",981,4,"981-4","Edinburgh","Stanford-Brown","advice"
"advising","university of lethbridge",2015,"lethbridge hs","Lethbridge_HS","University of Lethbridge","Lethbridge_HS",77,1,"77-1","Lethbridge_HS","Lethbridge","advice"
"affiliated with","washington university",2015,"washu stlouis","WashU_StLouis","Washington University","WashU_StLouis",635,1,"635-1","WashU_StLouis","Washington","other"
"affiliated with","washu stlouis",2015,"washington university","Washington University","WashU_StLouis","WashU_StLouis",635,1,"635-1","Washington","WashU_StLouis","other"
"affiliated with","graduate school of scut",2015,"scut champion park","Scut-Champion-Park","Graduate School of SCUT","Scut-Champion-Park",50,2,"50-2","SCUT-China","SCUT","other"
"affiliated with","school of bioscience & bioengineering of scut",2015,"scut champion park","Scut-Champion-Park","School of Bioscience & Bioengineering of SCUT","Scut-Champion-Park",50,2,"50-2","SCUT-China","SCUT","other"
"affiliated with","university of michigan",2015,"michigan software","Michigan_Software","University of Michigan","Michigan_Software",946,0,"946-0","Michigan_Software","Michigan","other"
"affiliated with","shanghai jiao tong university",2015,"sjtu biox shanghai","SJTU-BioX-Shanghai","Shanghai Jiao Tong University","SJTU-BioX-Shanghai",343,0,"343-0","SJTU-BioX-Shanghai","SJTU-Software","other"
"affiliated with","pre incubator for innovative drug & medicine of scut",2015,"scut champion park","Scut-Champion-Park","Pre-incubator for Innovative Drug & Medicine of SCUT","Scut-Champion-Park",50,2,"50-2","SCUT-China","SCUT","other"
"affiliated with","pre incubator for innovative drug & medicine of scut",2015,"scut champion park","Scut-Champion-Park","Pre-incubator for Innovative Drug & Medicine of SCUT","Scut-Champion-Park",50,2,"50-2","Scut-Champion-Park","SCUT","other"
"affiliated with","tu graz",2015,"manchester graz","Manchester-Graz","TU Graz","Manchester-Graz",691,6,"691-6","Manchester-Graz","Graz","other"
"affiliated with","nefu china",2015,"nudt china","NUDT_CHINA","NEFU_China","NUDT_CHINA",739,11,"739-11","NUDT_CHINA","NEFU_China","other"
"affiliated with","shanghai jiao tong university",2015,"sjtu biox shanghai","SJTU-BioX-Shanghai","Shanghai Jiao Tong University","SJTU-BioX-Shanghai",567,1,"567-1","SJTU-BioX-Shanghai","SJTU-Software","other"
"affiliated with","beijing institute of technology",2015,"bit china","BIT-China","Beijing Institute of Technology","BIT-China",511,6,"511-6","BIT-China","BIT","other"
"affiliated with","yale new haven hospital",2015,"elan vital korea","Elan_Vital_Korea","Yale-New Haven Hospital","Elan_Vital_Korea",831,11,"831-11","Elan_Vital_Korea","Yale","other"
"affiliated with","students innovation and entrepreneurship practice base of scut",2015,"scut champion park","Scut-Champion-Park","Students Innovation and Entrepreneurship Practice Base of SCUT","Scut-Champion-Park",50,2,"50-2","Scut-Champion-Park","SCUT","other"
"affiliated with","nju china",2015,"nudt china","NUDT_CHINA","NJU_CHINA","NUDT_CHINA",739,11,"739-11","NUDT_CHINA","NJU-China","other"
"affiliated with","ucsf medical center",2015,"elan vital korea","Elan_Vital_Korea","UCSF Medical Center","Elan_Vital_Korea",831,11,"831-11","Elan_Vital_Korea","UCSF","other"
"affiliated with","university of london",2015,"birkbeck","Birkbeck","University of London","Birkbeck",507,7,"507-7","Birkbeck","London_Biohackspace","other"
"affiliated with","nefu china",2015,"nudt china","NUDT_CHINA","NEFU_China","NUDT_CHINA",739,11,"739-11","NUDT_CHINA","NEFU-China","other"
"affiliated with","igem subteam graz",2015,"manchester graz","Manchester-Graz","iGEM Subteam Graz","Manchester-Graz",691,6,"691-6","Manchester-Graz","Groningen","other"
"affiliated with","south china university of technology",2015,"scut","SCUT","South China University of Technology","SCUT",998,6,"998-6","SCUT","SCUT-China","other"
"affiliated with","eth zurich",2015,"technion hs israel","Technion_HS_Israel","ETH Zurich","Technion_HS_Israel",661,6,"661-6","Technion_HS_Israel","ETH_Zurich","other"
