text,source_team,year,chunk
"relationships: [[""Lanzhou"", ""collaborated with"", ""NEU-China""], [""Lanzhou"", ""collaborated with"", ""BIT-China""]]",Lanzhou,2017,0
"relationships: [[""Cologne-Duesseldorf"", ""collaborated with"", ""Aachen""]]",Cologne-Duesseldorf,2017,1
[],Nanjing-China,2015,2
"relationships: [[""Queens Canada"",""collaborated"",""University of Calgary iGEM team""],[""Queens Canada"",""met up with"",""University of Calgary iGEM team""],[""Queens Canada"",""had skype calls with"",""University of Calgary iGEM team""],[""Queens Canada"",""shared ideas and troubleshooted problems with"",""University of Calgary iGEM team""],[""Queens Canada"",""shared strategies and discussed genetic engineering with"",""University of Calgary iGEM team""],[""Queens Canada"",""discussed accessing university funding with"",""University of Calgary iGEM team""],[""Queens Canada"",""discussed STEM research at Canadian universities with"",""University of Calgary iGEM team""],[""Queens Canada"",""discussed laboratory techniques with"",""University of Calgary iGEM team""],[""Queens Canada"",""checked in on progress with"",""University of Calgary iGEM team""],[""Queens Canada"",""discussed difficulties of performing life sciences research in zero gravity with"",""University of Calgary iGEM team""],[""Queens Canada"",""discussed plans for sharing learning opportunities with"",""University of Calgary iGEM team""],[""Queens Canada"",""awarded Opentrons OT-2 automatic pipetting robot by"",""Makerere University iGEM team""],[""Queens Canada"",""shared protocols and tips with"",""Makerere University iGEM team""],[""Queens Canada"",""discussed wet lab protocols with"",""Makerere University iGEM team""],[""Queens Canada"",""discussed dry lab modelling with"",""Makerere University iGEM team""],[""Queens Canada"",""discussed practical applications of projects with"",""Makerere University iGEM team""]]",Queens_Canada,2018,3
"relationships: [[""TU-Eindhoven"", ""collaborated"", ""Franconia""], [""Franconia"", ""translated game"", ""TU-Eindhoven""], [""Waterloo"", ""surveyed"", ""TU-Eindhoven""], [""UNebraska-Lincoln"", ""surveyed"", ""TU-Eindhoven""]]",TU-Eindhoven,2017,4
[],SSTi-SZGD,2017,5
[],Tokyo_Tech,2016,6
"relationships: [[""AUC TURKEY"", ""characterized parts for"", ""ATOMS_Turkiye""],[""AUC TURKEY"",""helped code wiki for"",""ATOMS_Turkiye""],[""AUC TURKEY"",""participated in Synthetic Biology Day with"",""ATOMS Turkiye""],[""AUC TURKEY"",""participated in Synthetic Biology Day with"",""METU Ankara""],[""AUC TURKEY"",""participated in Synthetic Biology Day with"",""METU HS""]]",AUC_TURKEY,2015,7
"relationships: [[""TEC GenetiX CCM"", ""visited"", ""INMEGEN""], [""TEC GenetiX CCM"", ""attended"", ""iGem Latin-America Meetup""], [""TEC GenetiX CCM"", ""cooperated"", ""iGem teams in Tec system""], [""TEC GenetiX CCM"", ""answered surveys for"", ""iGem teams""]]",TEC_GenetiX_CCM,2016,8
"relationships: [[""TAS_Taipei"", ""validated ElectroPen with"", ""Lambert_GA""],[""TAS_Taipei"",""attended conference at"",""NCHU""],[""TAS_Taipei"",""met over 20 teams from"",""China, Taiwan, and Japan""],[""TAS_Taipei"",""received feedback from"",""Dr. Ying Chieh Tsai""],[""TAS_Taipei"",""contacted by"",""TecCem iGEM 2018""],[""TAS Taipei 2016"",""worked with"",""chitosan nanoparticles""],[""TAS_Taipei"",""contacted by"",""RDFZ-China""],[""TAS_Taipei"",""participated in postcard swap with"",""Dusseldorf""],[""TAS_Taipei"",""offered advice to"",""Sorbonne U Paris""]]",TAS_Taipei,2018,9
"relationships: [[""NU Kazakhstan"", ""collaborated with"", ""other iGEM teams""],[""NU Kazakhstan"",""can work with"",""software teams""],[""NU Kazakhstan"",""can work with"",""hardware teams""],[""NU Kazakhstan"",""can work with"",""high school teams""],[""NU Kazakhstan"",""can work with"",""non-iGEM research groups""],[""NU Kazakhstan"",""can mentor"",""high-school team""]]",NU_Kazakhstan,2015,10
"relationships: [[""CCU Taiwan"", ""collaborated with"", ""NYMU-Taipei team""],[""CCU Taiwan"", ""participated in conference with"", ""Asia Pacific Conference""],[""CCU Taiwan"", ""visited"", ""NCKU Tainan iGEM Team""]]",CCU_Taiwan,2018,11
"relationships: [[""Utrecht"", ""reached out to"", ""NRC""],[""Utrecht"",""collaborated with"",""Eindhoven""],[""Utrecht"",""collaborated with"",""Leiden""],[""Utrecht"",""collaborated with"",""Groningen""]]",Utrecht,2018,12
[],Leiden,2016,13
"relationships: [[""NAU-CHINA"",""collaborated with"",""AHUT_China""],[""NAU-CHINA"",""exchanged ideas with"",""AHUT_China""],[""NAU-CHINA"",""advised"",""AHUT_China""],[""AHUT_China"",""helped"",""NAU-CHINA""],[""NAU-CHINA"",""benefited from advice from"",""NTHU_Taiwan""],[""NTHU_Taiwan"",""advised"",""NAU-CHINA""]]",NAU-CHINA,2016,14
"relationships: [[""NCKU_Tainan"", ""collaborated"", ""UESTC-China""], [""NCKU_Tainan"", ""provided"", ""UESTC-China""], [""NCKU_Tainan"", ""helped design"", ""UESTC-China""], [""NCKU_Tainan"", ""met with"", ""Tec-Monterrey""], [""NCKU_Tainan"", ""introduced project to"", ""Tec-Monterrey""], [""NCKU_Tainan"", ""received feedback from"", ""Tec-Monterrey""], [""NCKU_Tainan"", ""planned collaboration with"", ""Tec-Monterrey""]]",NCKU_Tainan,2018,15
"relationships: [[""NJU-China"",""received target DNA from"",""NUDT_CHINA team""],[""NUDT_CHINA team"",""provided target DNA to"",""NJU-China""],[""NJU-China"",""received help from"",""NUDT_CHINA""],[""NJU-China"",""collaborated with"",""SCUT-China""],[""SCUT-China"",""collaborated with"",""NJU-China""],[""NJU-China"",""collaborated with"",""JSNU-China""],[""JSNU-China"",""received cells and advice from"",""NJU-China""]]",NJU-China,2016,16
"relationships: [[""Calgary"", ""collaborated with"", ""University of Chicago""],[""Calgary"",""collaborated with"",""University of Illinois""]]",Calgary,2009,17
"relationships: [[""Osaka"",""collaborated with"",""Kyoto Institute of Technology KIT-Kyoto""],[""Osaka"",""collaborated with"",""Ehime-Japan""],[""Osaka"",""received lab space from"",""Radiation Biology and Medical Genetics Lab at Osaka University""],[""Osaka"",""received genomic DNA from"",""Ion Beam Mutagenesis Research Group at Japan Atomic Energy Agency""],[""Osaka"",""received advice from"",""Professor Hayano at the University of Tokyo and ASACUSA at CERN""]]",Osaka,2012,18
"relationships: [[""CSU_CHINA"",""collaborated"",""NUDT_CHINA""],[""CSU_CHINA"",""communicated"",""SJTU-BioX-Shanghai""],[""SJTU-BioX-Shanghai"",""presented projects to"",""CSU_CHINA""],[""Nanjing-China"",""collaborated"",""CSU_CHINA""],[""Nanjing-China"",""introduced iGEM to"",""CSU_CHINA""],[""Nanjing-China"",""offered help and advice to"",""CSU_CHINA""],[""UESTC-China"",""contacted"",""CSU_CHINA""],[""UESTC-China"",""mentored"",""CSU_CHINA""]]",CSU_CHINA,2018,19
"relationships: [[""USP-EEL-Brazil"",""collaborated"",""USP-Brazil""],[""USP-EEL-Brazil"",""collaborated"",""Unesp_Brazil""],[""USP-EEL-Brazil"",""participated in"",""Brazilian Meet Up""],[""USP-EEL-Brazil"",""organized"",""Brazilian Meet Up""],[""USP-EEL-Brazil"",""participated in"",""Latin America Meet Up""],[""USP-EEL-Brazil"",""communicated with"",""Tec CEM team""],[""USP-EEL-Brazil"",""participated in"",""Labs Like you parody video""],[""USP-Brazil"",""collaborated"",""USP-EEL-Brazil""],[""Unesp_Brazil"",""collaborated"",""USP-EEL-Brazil""],[""Tec CEM team"",""hosted"",""Latin America teams""],[""Tec CEM team"",""communicated with"",""USP-EEL-Brazil""]]",USP-EEL-Brazil,2018,20
