text,source_team,year,chunk
"[[""Lanzhou"",""received help from"",""NEU-China""],[""Lanzhou"",""received help from"",""BIT-China""]]",Lanzhou,2017,0
"[[""Cologne-Duesseldorf"", ""collaborated"", ""Aachen""]]",Cologne-Duesseldorf,2017,1
[],Nanjing-China,2015,2
"[[""Queens_Canada"", ""collaborated"", ""University of Calgary""], [""Queens_Canada"", ""shared knowledge"", ""Makerere University""]]",Queens_Canada,2018,3
"Based on the provided text, the relationships between teams can be summarized as follows:

1. [[""TU-Eindhoven"", ""participated in exchange"", ""European iGEM teams""]]
2. [[""TU-Eindhoven"", ""collaborated"", ""Franconia""]]
3. [[""TU-Eindhoven"", ""answered survey"", ""Waterloo""]]
4. [[""TU-Eindhoven"", ""answered survey"", ""UNebraska-Lincoln""]]",TU-Eindhoven,2017,4
[],SSTi-SZGD,2017,5
[],Tokyo_Tech,2016,6
"[[""AUC TURKEY"", ""characterized parts for"", ""ATOMS_Turkiye""],
 [""AUC TURKEY"", ""collaborated on wiki coding"", ""ATOMS_Turkiye""],
 [""AUC TURKEY"", ""co-organized SynBioDay with"", ""ATOMS Turkiye""],
 [""AUC TURKEY"", ""co-organized SynBioDay with"", ""METU Ankara""],
 [""AUC TURKEY"", ""co-organized SynBioDay with"", ""METU HS""],
 [""AUC TURKEY"", ""co-organized SynBioDay at"", ""Turgut Ozal University""]]",AUC_TURKEY,2015,7
"Based on the provided text, here are the relationships between teams and other entities:

1. [[""TEC GenetiX CCM"", ""visited with"", ""TecCEM_HS""]]
2. [[""TEC GenetiX CCM"", ""visited"", ""INMEGEN""]]
3. [[""TEC GenetiX CCM"", ""participated in organization of"", ""iGem Latin-America Meetup""]]
4. [[""TEC GenetiX CCM"", ""cooperated in sponsorship searching with"", ""iGem teams from Tecnológico de Monterrey system""]]
5. [[""TEC GenetiX CCM"", ""discussed kit delivery system with"", ""iGem teams from Tecnológico de Monterrey system""]]
6. [[""TEC GenetiX CCM"", ""cooperated by answering surveys from"", ""a wide variety of iGem teams""]]",TEC_GenetiX_CCM,2016,8
"[[""TAS_Taipei"", ""used tool from"", ""Lambert_GA""], [""TAS_Taipei"", ""attended conference"", ""NCHU""], [""TAS_Taipei"", ""interacted with"", ""TecCem""], [""TAS_Taipei"", ""provided protocol to"", ""TecCem""], [""TAS_Taipei"", ""interacted with"", ""RDFZ-China""], [""TAS_Taipei"", ""participated in activity"", ""Dusseldorf""], [""TAS_Taipei"", ""offered advice to"", ""Sorbonne U Paris""]]",TAS_Taipei,2018,9
[],NU_Kazakhstan,2015,10
"1. [[""CCU Taiwan"", ""assisted by"", ""NYMU-Taipei team""]]
2. [[""CCU Taiwan"", ""attended"", ""Asia Pacific Conference""]]
3. [[""CCU Taiwan"", ""exchange visit"", ""NCKU Tainan iGEM Team""]]",CCU_Taiwan,2018,11
"Based on the provided text, the relationships can be summarized as follows:

1. [[""Utrecht"", ""reached out"", ""NRC""]]
2. [[""Utrecht"", ""invited"", ""Eindhoven""]]
3. [[""Utrecht"", ""invited"", ""Leiden""]]
4. [[""Utrecht"", ""invited"", ""Groningen""]]
5. [[""Utrecht"", ""collaborated"", ""Eindhoven""]]
6. [[""Utrecht"", ""collaborated"", ""Leiden""]]
7. [[""Utrecht"", ""collaborated"", ""Groningen""]]",Utrecht,2018,12
[],Leiden,2016,13
"[[""NAU-CHINA"", ""adjusted model with"", ""AHUT_China""], [""NAU-CHINA"", ""collaborated"", ""AHUT_China""], [""NAU-CHINA"", ""received advice from"", ""NTHU_Taiwan""], [""AHUT_China"", ""provided 3D printing support to"", ""NAU-CHINA""]]",NAU-CHINA,2016,14
"Based on the provided text, the relationships between teams can be summarized as follows:

1. [[""NCKU_Tainan"", ""collaborated"", ""UESTC-China""]]
2. [[""NCKU_Tainan"", ""received feedback from"", ""Tec-Monterrey""]]
3. [[""NCKU_Tainan"", ""planned collaboration with"", ""Tec-Monterrey""]]",NCKU_Tainan,2018,15
"Here are the relationships identified from the text:

1. [[""NJU-China"", ""used target DNA from"", ""NUDT_CHINA""]]
2. [[""NJU-China"", ""thanked"", ""NUDT_CHINA""]]
3. [[""NJU-China"", ""received support from"", ""SCUT-CHINA""]]
4. [[""NJU-China"", ""provided cells and advice to"", ""JSNU-China""]]",NJU-China,2016,16
"Based on the provided text, the relationships can be summarized as follows:

1. [""Calgary"", ""collaborated within"", ""Calgary""]
2. [""Calgary"", ""collaborated"", ""University of Chicago""]
3. [""Calgary"", ""collaborated"", ""Illinois""]",Calgary,2009,17
"[[""Osaka"", ""collaborated"", ""Kyoto Institute of Technology KIT-Kyoto""], [""Osaka"", ""collaborated"", ""Ehime-Japan""], [""Osaka University"", ""provided lab space"", ""Osaka""], [""Japan Atomic Energy Agency"", ""supplied materials and advice"", ""Osaka""], [""University of Tokyo and ASACUSA at CERN"", ""provided advice"", ""Osaka""]]",Osaka,2012,18
"[[""CSU_CHINA"", ""collaborated"", ""NUDT_CHINA""], [""CSU_CHINA"", ""communicated"", ""SJTU-BioX-Shanghai""], [""CSU_CHINA"", ""formed close connection"", ""Nanjing-China""], [""CSU_CHINA"", ""mentored by"", ""UESTC-China""]]",CSU_CHINA,2018,19
