text,year
"Matching: [[""collaborated"", ""work""]]",2009
"Here are the matches for the given relationships to the closest possible categories:

Matching: 
- [[""participated in"", ""meetup""]],
- [[""lab space lent by"", ""material transfer""]],
- [[""received genomic DNA and advice from"", ""material transfer""]],
- [[""received advice from"", ""advice""]]",2011
"Matching: [[""collaborated"", ""work""], [""provided lab space"", ""material transfer""], [""supplied"", ""material transfer""], [""provided advice"", ""advice""]]",2012
"Matching: 
- [[""created contacts with"", ""other""]]
- [[""help to characterise"", ""work""]]
- [[""collaboration"", ""work""]]
- [[""collaborated"", ""work""]]
- [[""helped"", ""advice""]]
- [[""participated in study"", ""meetup""]]",2014
"Here are the matches for each relationship to the closest possible category:

1. ""attended workshop by"" - This suggests participation in an educational or training session led by another team. The primary interaction is attending rather than collaborating or transferring materials. Closest match: **""advice""** (if the workshop included guidance or support) or **""other""** (if strictly educational without interaction).

2. ""helped"" - This is a general term that could encompass various types of support, including advice, material support, or collaboration. Without more context, a general category like **""advice""** might fit, assuming it involves providing support or guidance.

3. ""collaborated"" - This directly implies working together on aspects of their projects. Closest match: **""work""**.

4. ""provided plasmids"" - This is a clear case of sharing biological materials. Closest match: **""material transfer""**.

5. ""visited"" - This implies a team went to see another team, which could be for various reasons including social, advice, or observing work. Without more context, it could fit into **""meetup""** (if the visit was more social or informal) or **""other""**.

6. ""shared plasmids"" - Similar to ""provided plasmids,"" this indicates the transfer of biological materials. Closest match: **""material transfer""**.

7. ""held meetup"" - This explicitly states that a meetup was organized, likely for social interaction or project discussion. Closest match: **""meetup""**.

8. ""identified errors"" - This suggests providing critical feedback or advice to improve the other team's project. Closest match: **""advice""**.

9. ""provided hardware prototype"" - This indicates the transfer of a physical object (hardware), which is a form of material support. Closest match: **""material transfer""**.

10. ""provided feedback"" - This typically involves giving advice, suggestions, or critiques, which is essential support for improving a project. Closest match: **""advice""**.

Matching: [[""attended workshop by"", ""other""], [""helped"", ""advice""], [""collaborated"", ""work""], [""provided plasmids"", ""material transfer""], [""visited"", ""meetup""], [""shared plasmids"", ""material transfer""], [""held meetup"", ""meetup""], [""identified errors"", ""advice""], [""provided hardware prototype"", ""material transfer""], [""provided feedback"", ""advice""]]",2015
"Here are the matches for each relationship to the closest possible category:

Matching: 
- [[""identified potential problem"", ""advice""]]
- [[""guided by"", ""advice""]]
- [[""collaborated on HumHub report"", ""work""]]
- [[""participated in event hosted by"", ""meetup""]]
- [[""met at event"", ""meetup""]]
- [[""exchanged ideas with"", ""advice""]]
- [[""discussed projects with"", ""meetup""]]
- [[""advised and offered collaboration or mentorship"", ""advice""]]
- [[""posed questions"", ""advice""]]
- [[""exchanged ideas"", ""advice""]]",2015
"Here are the matches for the given relationships to the closest possible categories:

Matching: 
- [[""participated in conference"", ""meetup""]]
- [[""cooperated"", ""work""]]
- [[""received parts from"", ""material transfer""]]
- [[""received guidance and environment from"", ""advice""]]
- [[""received site and meeting rooms from"", ""other""]]
- [[""continuous contact"", ""other""]]
- [[""provided inputs on microfluidics"", ""advice""]]
- [[""discussed with"", ""meetup""]]
- [[""reviewed articles for"", ""advice""]]
- [[""consulted professors for"", ""advice""]]",2015
"Here are the matchings for the given relationships to the closest possible categories:

Matching: 
- [[""tried protocols for"", ""work""]]
- [[""suggested by"", ""advice""]]
- [[""advised"", ""advice""]]
- [[""sister team"", ""other""]]
- [[""suggested"", ""advice""]]
- [[""provided platform for"", ""material transfer""]]
- [[""agreed to characterize parts for"", ""work""]]
- [[""helped in coding wiki for"", ""work""]]
- [[""co-organized SynBioDay with"", ""meetup""]]
- [[""co-organized SynBioDay at"", ""meetup""]]",2015
"Here are the matches for each relationship to the closest possible category:

- ""acknowledged"" - This could be considered as a form of expressing gratitude or recognition, which doesn't fit neatly into any of the categories but could be closest to ""other"".
- ""provided samples to"" - This is a clear case of sharing materials, so it fits into ""material transfer"".
- ""congratulated"" - Similar to ""acknowledged"", this is a form of expressing good wishes, typically not fitting into the listed categories but closest to ""other"".
- ""thanked"" - This is an expression of gratitude, which also does not fit neatly into the provided categories but is closest to ""other"".
- ""participated in event with"" - This indicates attending an event together, which aligns with ""meetup"".
- ""participated in"" - Without additional context, this is vague, but it could generally be considered as being part of an activity or event, fitting best under ""meetup"" if it refers to a social or collaborative event.
- ""received feedback from"" - This involves receiving advice or critiques, which fits into ""advice"".
- ""interacted with"" - This is quite broad but generally implies some form of communication or activity together, which could fit into ""meetup"" if it refers to social interactions, or ""other"" if the context is unclear.
- ""participated in surveys"" - This implies involvement in data collection or research activities, which doesn't fit neatly into any of the categories but could be considered ""other"".

Matching: 
- [[""acknowledged"", ""other""]]
- [[""provided samples to"", ""material transfer""]]
- [[""congratulated"", ""other""]]
- [[""thanked"", ""other""]]
- [[""participated in event with"", ""meetup""]]
- [[""participated in"", ""meetup""]]
- [[""received feedback from"", ""advice""]]
- [[""interacted with"", ""meetup""]]
- [[""participated in surveys"", ""other""]]",2015
"Here are the matches for the given relationship names to the closest possible categories:

Matching: 
- [[""received plasmids from"", ""material transfer""]]
- [[""collaborated"", ""work""]]
- [[""contributed to"", ""work""]]
- [[""distributed survey"", ""other""]]
- [[""tutored"", ""advice""]]
- [[""aided in mathematical modeling"", ""advice""]]
- [[""shared cloning protocols"", ""material transfer""]]
- [[""advised on human practices"", ""advice""]]
- [[""assisted"", ""work""]]
- [[""shared laboratory with"", ""material transfer""]]",2016
