team,context,target,source_team,year,batch_id,chunk_id
Concordia,received plasmids from,University of Toronto iGEM,Concordia,2016,1,0
Concordia,collaborated,University of Toronto iGEM,Concordia,2016,1,0
Purdue,collaborated,Rose-Hulman Institute of Technology,Purdue,2016,1,1
Rose-Hulman Institute of Technology,contributed to,Purdue,Purdue,2016,1,1
Purdue,collaborated,Sri Venkateswara College of Engineering,Purdue,2016,1,1
Sri Venkateswara College of Engineering,distributed survey,Purdue,Purdue,2016,1,1
Athens,met during visit,UNSW 2018,Athens,2018,1,2
Athens,met during visit,iGEM Paris - Bettencourt,Athens,2018,1,2
Athens,completed survey from,iGEM Bulgaria,Athens,2018,1,2
Athens,completed survey from,iGEM Dusseldorf,Athens,2018,1,2
Athens,completed survey from,iGEM Montpellier 2018,Athens,2018,1,2
Athens,completed survey from,UNAMBG iGEM 2018,Athens,2018,1,2
Botchan_Lab_Tokyo,advised,iGEM Nagahama,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,participated in festival with,KAIT JAPAN,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,participated in festival with,Tokyo Tech,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,participated in festival with,Kyoto team,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,participated in festival with,Kobe team,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,participated in festival with,Nagahama team,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,participated in festival with,Gifu team,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,collaborated,Manchester team,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,collaborated,Virginia team,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,collaborated,AQA Unesp,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,collaborated,UChile_OpenBio-CeBiB,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,collaborated,ITB_Indonesia,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,collaborated,KUAS_Korea,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,collaborated,IIT_Delhi,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,collaborated,UAlberta,Botchan_Lab_Tokyo,2017,1,3
IONIS-PARIS,collaborated,Tokyo Tech,IONIS-PARIS,2017,1,4
IONIS-PARIS,received support from,PARIS Bettencourt,IONIS-PARIS,2017,1,4
IONIS-PARIS,supported,PARIS Bettencourt,IONIS-PARIS,2017,1,4
Hamburg,ongoing support from,Jérémy,Hamburg,2017,1,7
Hamburg,support from,Evry,Hamburg,2017,1,7
Hamburg,collaboration planned with,iGEM Delft,Hamburg,2017,1,7
Hamburg,thanked for organizing,iGEM Delft,Hamburg,2017,1,7
Westminster,attended workshop by,Cambridge-JIC,Westminster,2015,1,8
Westminster,helped,Aix-Marseille Université,Westminster,2015,1,8
Technion Israel,tutored,iGEM Peshawar,Technion_Israel,2016,1,9
Technion Israel,aided in mathematical modeling,iGEM Peshawar,Technion_Israel,2016,1,9
Technion Israel,shared cloning protocols,iGEM Peshawar,Technion_Israel,2016,1,9
Technion Israel,advised on human practices,iGEM Peshawar,Technion_Israel,2016,1,9
BGIC China,assisted,SFLS,BGIC_China,2016,1,10
SFLS,assisted,BGIC China,BGIC_China,2016,1,10
BGIC China,shared laboratory with,SFLS,BGIC_China,2016,1,10
BGIC China,received training with,SFLS,BGIC_China,2016,1,10
BGIC China,shared materials with,SFLS,BGIC_China,2016,1,10
Aix-Marseille,collaborated,Evry Paris-Saclay,Aix-Marseille,2017,1,11
Evry Paris-Saclay,offered help with,Aix-Marseille,Aix-Marseille,2017,1,11
Aix-Marseille,offered help with,Evry Paris-Saclay,Aix-Marseille,2017,1,11
