team,context,target,source_team,year,batch_id,chunk_id
Lanzhou,collaborated with,NEU-China,Lanzhou,2017.0,2,0
Lanzhou,collaborated with,BIT-China,Lanzhou,2017.0,2,0
Cologne-Duesseldorf,collaborated with,Aachen,Cologne-Duesseldorf,2017.0,2,1
Queens Canada,collaborated with,University of Calgary,Queens_Canada,2018.0,2,3
Queens Canada,met up with,University of Calgary,Queens_Canada,2018.0,2,3
Queens Canada,had skype calls with,University of Calgary,Queens_Canada,2018.0,2,3
Queens Canada,worked alongside,University of Calgary,Queens_Canada,2018.0,2,3
Queens Canada,shared protocols and tips with,Makerere University,Queens_Canada,2018.0,2,3
Queens Canada,shared knowledge and experiences with,Makerere University,Queens_Canada,2018.0,2,3
TU-Eindhoven,collaborated,Franconia,TU-Eindhoven,2017.0,2,4
Franconia,collaborated,TU-Eindhoven,TU-Eindhoven,2017.0,2,4
TU-Eindhoven,translated game,Franconia,TU-Eindhoven,2017.0,2,4
Franconia,translated game,TU-Eindhoven,TU-Eindhoven,2017.0,2,4
TU-Eindhoven,collaborated,Waterloo,TU-Eindhoven,2017.0,2,4
Waterloo,surveyed,TU-Eindhoven,TU-Eindhoven,2017.0,2,4
TU-Eindhoven,surveyed,Nebraska,TU-Eindhoven,2017.0,2,4
Nebraska,surveyed,TU-Eindhoven,TU-Eindhoven,2017.0,2,4
AUC TURKEY,characterized parts for,ATOMS_Turkiye,AUC_TURKEY,2015.0,2,7
AUC TURKEY,helped with wiki coding for,ATOMS_Turkiye,AUC_TURKEY,2015.0,2,7
AUC TURKEY,participated in Synthetic Biology Day with,ATOMS Turkiye,AUC_TURKEY,2015.0,2,7
AUC TURKEY,participated in Synthetic Biology Day with,METU Ankara,AUC_TURKEY,2015.0,2,7
AUC TURKEY,participated in Synthetic Biology Day with,METU HS,AUC_TURKEY,2015.0,2,7
TEC GenetiX CCM,visited,INMEGEN,TEC_GenetiX_CCM,2016.0,2,8
TEC GenetiX CCM,participated in meetup,iGem Latin-America teams,TEC_GenetiX_CCM,2016.0,2,8
TEC GenetiX CCM,cooperated with,iGem teams for sponsorships,TEC_GenetiX_CCM,2016.0,2,8
TEC GenetiX CCM,cooperated with,iGem teams for surveys,TEC_GenetiX_CCM,2016.0,2,8
TAS_Taipei,validated ElectroPen with,Lambert_GA,TAS_Taipei,2018.0,2,9
TAS_Taipei,attended,6th Annual Asia-Pacific iGEM Conference,TAS_Taipei,2018.0,2,9
TAS_Taipei,met,"over 20 teams from China, Taiwan, and Japan",TAS_Taipei,2018.0,2,9
TAS_Taipei,received feedback from,Dr. Ying Chieh Tsai,TAS_Taipei,2018.0,2,9
TAS_Taipei,contacted by,TecCem iGEM 2018,TAS_Taipei,2018.0,2,9
TAS Taipei 2016,shared SEM imaging protocol with,TecCem iGEM 2018,TAS_Taipei,2018.0,2,9
TAS_Taipei,visited by,Harry Jiang from RDFZ-China,TAS_Taipei,2018.0,2,9
TAS_Taipei,participated in postcard swap with,iGEM team Dusseldorf,TAS_Taipei,2018.0,2,9
TAS_Taipei,advised,Sorbonne U Paris on wiki design and layout,TAS_Taipei,2018.0,2,9
NU Kazakhstan,collaborated with,other iGEM teams,NU_Kazakhstan,2015.0,2,10
NU Kazakhstan,can work with,software teams,NU_Kazakhstan,2015.0,2,10
NU Kazakhstan,can work with,hardware teams,NU_Kazakhstan,2015.0,2,10
NU Kazakhstan,can work with,high school teams,NU_Kazakhstan,2015.0,2,10
NU Kazakhstan,can work with,non-iGEM research groups,NU_Kazakhstan,2015.0,2,10
NU Kazakhstan,can mentor,high-school team,NU_Kazakhstan,2015.0,2,10
CCU Taiwan,collaborated with,NYMU-Taipei team,CCU_Taiwan,2018.0,2,11
CCU Taiwan,attended conference with,Asia Pacific Conference,CCU_Taiwan,2018.0,2,11
CCU Taiwan,visited,NCKU Tainan iGEM Team,CCU_Taiwan,2018.0,2,11
Utrecht,reached out to,NRC,Utrecht,2018.0,2,12
Utrecht,invited,Eindhoven,Utrecht,2018.0,2,12
Utrecht,invited,Leiden,Utrecht,2018.0,2,12
Utrecht,invited,Groningen,Utrecht,2018.0,2,12
Utrecht,collaborated with,NRC,Utrecht,2018.0,2,12
Utrecht,collaborated with,Eindhoven,Utrecht,2018.0,2,12
Utrecht,collaborated with,Leiden,Utrecht,2018.0,2,12
Utrecht,collaborated with,Groningen,Utrecht,2018.0,2,12
NAU-CHINA,collaborated,AHUT_China,NAU-CHINA,2016.0,2,14
NAU-CHINA,exchanged ideas with,AHUT_China,NAU-CHINA,2016.0,2,14
NAU-CHINA,gave advice to,AHUT_China,NAU-CHINA,2016.0,2,14
NAU-CHINA,received advice from,NTHU_Taiwan,NAU-CHINA,2016.0,2,14
NCKU_Tainan,collaborated with,UESTC-China,NCKU_Tainan,2018.0,2,15
NCKU_Tainan,provided,UESTC-China,NCKU_Tainan,2018.0,2,15
NCKU_Tainan,helped design,UESTC-China,NCKU_Tainan,2018.0,2,15
NCKU_Tainan,met with,Tec-Monterrey,NCKU_Tainan,2018.0,2,15
NCKU_Tainan,discussed project with,Tec-Monterrey,NCKU_Tainan,2018.0,2,15
NCKU_Tainan,considered suggestions from,Tec-Monterrey,NCKU_Tainan,2018.0,2,15
NCKU_Tainan,planned collaboration with,Tec-Monterrey,NCKU_Tainan,2018.0,2,15
NJU-China,received target DNA from,NUDT_CHINA team,NJU-China,2016.0,2,16
NJU-China,collaborated with,SCUT-China,NJU-China,2016.0,2,16
NJU-China,collaborated with,JSNU-China,NJU-China,2016.0,2,16
Calgary,collaborated with,University of Chicago,Calgary,2009.0,2,17
Calgary,collaborated with,University of Illinois,Calgary,2009.0,2,17
Osaka,collaborated with,Kyoto Institute of Technology KIT-Kyoto,Osaka,2012.0,2,18
Osaka,collaborated with,Ehime-Japan,Osaka,2012.0,2,18
Osaka,received help from,Radiation Biology and Medical Genetics Lab at Osaka University,Osaka,2012.0,2,18
Osaka,received help from,Ion Beam Mutagenesis Research Group at Japan Atomic Energy Agency,Osaka,2012.0,2,18
Osaka,received help from,laboratory of Hayano at the University of Tokyo and ASACUSA at CERN,Osaka,2012.0,2,18
CSU_CHINA,collaborated,NUDT_CHINA,CSU_CHINA,2018.0,2,19
CSU_CHINA,communicated with,SJTU-BioX-Shanghai,CSU_CHINA,2018.0,2,19
SJTU-BioX-Shanghai,presented projects to,CSU_CHINA,CSU_CHINA,2018.0,2,19
CSU_CHINA,formed connection with,Nanjing-China,CSU_CHINA,2018.0,2,19
