team,context,target,source_team,year,batch_id,chunk_id
Lanzhou,collaborated,downstream circuits,Lanzhou,2017,2,0
Lanzhou,combined,functional dsRNA,Lanzhou,2017,2,0
Lanzhou,verified expression of,pectinase,Lanzhou,2017,2,0
Lanzhou,promoted project progress with help from,NEU-China,Lanzhou,2017,2,0
Lanzhou,promoted project progress with help from,BIT-China,Lanzhou,2017,2,0
Lanzhou,visited wiki of,NEU-China,Lanzhou,2017,2,0
Lanzhou,visited wiki of,BIT-China,Lanzhou,2017,2,0
Lanzhou,participated in iGEM with,NEU-China,Lanzhou,2017,2,0
Lanzhou,participated in iGEM with,BIT-China,Lanzhou,2017,2,0
Lanzhou,participated in iGEM with,Lanzhou 2017,Lanzhou,2017,2,0
Lanzhou,participated in iGEM with,L. with Material Components for the web Made by L.,Lanzhou,2017,2,0
Cologne-Duesseldorf,collaborated with,Aachen,Cologne-Duesseldorf,2017,2,1
Cologne-Duesseldorf,consulted,Aachen,Cologne-Duesseldorf,2017,2,1
Cologne-Duesseldorf,improved results with,Aachen,Cologne-Duesseldorf,2017,2,1
Cologne-Duesseldorf,verified function with,Aachen,Cologne-Duesseldorf,2017,2,1
Nanjing-China,participated in,iGEM,Nanjing-China,2015,2,2
Nanjing-China,collaborated with,DNA purification/AxyPrep PCR DNA purification PCR,Nanjing-China,2015,2,2
Nanjing-China,collaborated with,Plasmid extraction,Nanjing-China,2015,2,2
Nanjing-China,received support from,Buffer PCR-A,Nanjing-China,2015,2,2
Nanjing-China,received support from,Miniprep column,Nanjing-China,2015,2,2
Nanjing-China,received support from,Buffer W2,Nanjing-China,2015,2,2
Nanjing-China,received support from,Eluent or deionized water,Nanjing-China,2015,2,2
Nanjing-China,received support from,Buffer S1,Nanjing-China,2015,2,2
Nanjing-China,received support from,Buffer S2,Nanjing-China,2015,2,2
Nanjing-China,received support from,Buffer S3,Nanjing-China,2015,2,2
Nanjing-China,received support from,Buffer S4,Nanjing-China,2015,2,2
TU-Eindhoven,participated in,iGEM,TU-Eindhoven,2017,2,4
TU-Eindhoven,collaborated,Franconia,TU-Eindhoven,2017,2,4
Franconia,translated,TU-Eindhoven,TU-Eindhoven,2017,2,4
TU-Eindhoven,collaborated,Waterloo,TU-Eindhoven,2017,2,4
TU-Eindhoven,answered survey from,Waterloo,TU-Eindhoven,2017,2,4
TU-Eindhoven,answered survey from,UNebraska-Lincoln,TU-Eindhoven,2017,2,4
AUC TURKEY,collaborated,ATOMS_Turkiye,AUC_TURKEY,2015,2,7
AUC TURKEY,helped form wiki,ATOMS_Turkiye,AUC_TURKEY,2015,2,7
AUC TURKEY,co-organized event,ATOMS_Turkiye,AUC_TURKEY,2015,2,7
AUC TURKEY,co-presented,ATOMS_Turkiye,AUC_TURKEY,2015,2,7
AUC TURKEY,discussed ideas with,ATOMS_Turkiye,AUC_TURKEY,2015,2,7
AUC TURKEY,established roots for future collaborations with,ATOMS_Turkiye,AUC_TURKEY,2015,2,7
AUC TURKEY,collaborated with,METU Ankara,AUC_TURKEY,2015,2,7
AUC TURKEY,collaborated with,METU HS,AUC_TURKEY,2015,2,7
