team,context,target,source_team,year,batch_id,chunk_id
Lanzhou,received help from,NEU-China,Lanzhou,2017,2,0
Lanzhou,received help from,BIT-China,Lanzhou,2017,2,0
Cologne-Duesseldorf,collaborated,Aachen,Cologne-Duesseldorf,2017,2,1
Queens_Canada,collaborated,University of Calgary,Queens_Canada,2018,2,3
Queens_Canada,shared knowledge,Makerere University,Queens_Canada,2018,2,3
TU-Eindhoven,participated in exchange,European iGEM teams,TU-Eindhoven,2017,2,4
TU-Eindhoven,collaborated,Franconia,TU-Eindhoven,2017,2,4
TU-Eindhoven,answered survey,Waterloo,TU-Eindhoven,2017,2,4
TU-Eindhoven,answered survey,UNebraska-Lincoln,TU-Eindhoven,2017,2,4
AUC TURKEY,characterized parts for,ATOMS_Turkiye,AUC_TURKEY,2015,2,7
AUC TURKEY,collaborated on wiki coding,ATOMS_Turkiye,AUC_TURKEY,2015,2,7
AUC TURKEY,co-organized SynBioDay with,ATOMS Turkiye,AUC_TURKEY,2015,2,7
AUC TURKEY,co-organized SynBioDay with,METU Ankara,AUC_TURKEY,2015,2,7
AUC TURKEY,co-organized SynBioDay with,METU HS,AUC_TURKEY,2015,2,7
AUC TURKEY,co-organized SynBioDay at,Turgut Ozal University,AUC_TURKEY,2015,2,7
TEC GenetiX CCM,visited with,TecCEM_HS,TEC_GenetiX_CCM,2016,2,8
TEC GenetiX CCM,visited,INMEGEN,TEC_GenetiX_CCM,2016,2,8
TEC GenetiX CCM,participated in organization of,iGem Latin-America Meetup,TEC_GenetiX_CCM,2016,2,8
TEC GenetiX CCM,cooperated in sponsorship searching with,iGem teams from Tecnológico de Monterrey system,TEC_GenetiX_CCM,2016,2,8
TEC GenetiX CCM,discussed kit delivery system with,iGem teams from Tecnológico de Monterrey system,TEC_GenetiX_CCM,2016,2,8
TEC GenetiX CCM,cooperated by answering surveys from,a wide variety of iGem teams,TEC_GenetiX_CCM,2016,2,8
TAS_Taipei,used tool from,Lambert_GA,TAS_Taipei,2018,2,9
TAS_Taipei,attended conference,NCHU,TAS_Taipei,2018,2,9
TAS_Taipei,interacted with,TecCem,TAS_Taipei,2018,2,9
TAS_Taipei,provided protocol to,TecCem,TAS_Taipei,2018,2,9
TAS_Taipei,interacted with,RDFZ-China,TAS_Taipei,2018,2,9
TAS_Taipei,participated in activity,Dusseldorf,TAS_Taipei,2018,2,9
TAS_Taipei,offered advice to,Sorbonne U Paris,TAS_Taipei,2018,2,9
CCU Taiwan,assisted by,NYMU-Taipei team,CCU_Taiwan,2018,2,11
CCU Taiwan,attended,Asia Pacific Conference,CCU_Taiwan,2018,2,11
CCU Taiwan,exchange visit,NCKU Tainan iGEM Team,CCU_Taiwan,2018,2,11
Utrecht,reached out,NRC,Utrecht,2018,2,12
Utrecht,invited,Eindhoven,Utrecht,2018,2,12
Utrecht,invited,Leiden,Utrecht,2018,2,12
Utrecht,invited,Groningen,Utrecht,2018,2,12
Utrecht,collaborated,Eindhoven,Utrecht,2018,2,12
Utrecht,collaborated,Leiden,Utrecht,2018,2,12
Utrecht,collaborated,Groningen,Utrecht,2018,2,12
NAU-CHINA,adjusted model with,AHUT_China,NAU-CHINA,2016,2,14
NAU-CHINA,collaborated,AHUT_China,NAU-CHINA,2016,2,14
NAU-CHINA,received advice from,NTHU_Taiwan,NAU-CHINA,2016,2,14
AHUT_China,provided 3D printing support to,NAU-CHINA,NAU-CHINA,2016,2,14
NCKU_Tainan,collaborated,UESTC-China,NCKU_Tainan,2018,2,15
NCKU_Tainan,received feedback from,Tec-Monterrey,NCKU_Tainan,2018,2,15
NCKU_Tainan,planned collaboration with,Tec-Monterrey,NCKU_Tainan,2018,2,15
NJU-China,used target DNA from,NUDT_CHINA,NJU-China,2016,2,16
NJU-China,thanked,NUDT_CHINA,NJU-China,2016,2,16
NJU-China,received support from,SCUT-CHINA,NJU-China,2016,2,16
NJU-China,provided cells and advice to,JSNU-China,NJU-China,2016,2,16
Calgary,collaborated within,Calgary,Calgary,2009,2,17
Calgary,collaborated,University of Chicago,Calgary,2009,2,17
Calgary,collaborated,Illinois,Calgary,2009,2,17
Osaka,collaborated,Kyoto Institute of Technology KIT-Kyoto,Osaka,2012,2,18
Osaka,collaborated,Ehime-Japan,Osaka,2012,2,18
Osaka University,provided lab space,Osaka,Osaka,2012,2,18
Japan Atomic Energy Agency,supplied materials and advice,Osaka,Osaka,2012,2,18
University of Tokyo and ASACUSA at CERN,provided advice,Osaka,Osaka,2012,2,18
CSU_CHINA,collaborated,NUDT_CHINA,CSU_CHINA,2018,2,19
CSU_CHINA,communicated,SJTU-BioX-Shanghai,CSU_CHINA,2018,2,19
CSU_CHINA,formed close connection,Nanjing-China,CSU_CHINA,2018,2,19
CSU_CHINA,mentored by,UESTC-China,CSU_CHINA,2018,2,19
USP-EEL-Brazil,collaborated,USP-Brazil,USP-EEL-Brazil,2018,2,20
USP-EEL-Brazil,collaborated,Unesp_Brazil,USP-EEL-Brazil,2018,2,20
USP-EEL-Brazil,participated,Brazilian Meetup,USP-EEL-Brazil,2018,2,20
USP-EEL-Brazil,presented at,USP-ESALQ,USP-EEL-Brazil,2018,2,20
USP-EEL-Brazil,participated,Latin America Meet Up hosted by Tec CEM,USP-EEL-Brazil,2018,2,20
USP-EEL-Brazil,received feedback from,Tec CEM,USP-EEL-Brazil,2018,2,20
USP-EEL-Brazil,communicated via,"WhatsApp group with teams from Brazil, Chile, Ecuador, and México",USP-EEL-Brazil,2018,2,20
USP-EEL-Brazil,participated in video project,Tec CEM,USP-EEL-Brazil,2018,2,20
USP-EEL-Brazil,participated in video project with,IISER Bhopal,USP-EEL-Brazil,2018,2,20
USP-EEL-Brazil,participated in video project with,AFCM,USP-EEL-Brazil,2018,2,20
USP-EEL-Brazil,participated in video project with,UNESP Brazil,USP-EEL-Brazil,2018,2,20
USP-EEL-Brazil,participated in video project with,WASHINGTON,USP-EEL-Brazil,2018,2,20
USP-EEL-Brazil,participated in video project with,Tust China,USP-EEL-Brazil,2018,2,20
USP-EEL-Brazil,participated in video project with,Bielefeld-CeBiTec,USP-EEL-Brazil,2018,2,20
USP-EEL-Brazil,participated in video project with,IISc-Bangalore,USP-EEL-Brazil,2018,2,20
USP-EEL-Brazil,participated in video project with,USP-Brazil,USP-EEL-Brazil,2018,2,20
USP-EEL-Brazil,participated in video project with,DUSSELDORF,USP-EEL-Brazil,2018,2,20
USP-EEL-Brazil,participated in video project with,GRONINGEN,USP-EEL-Brazil,2018,2,20
USP-EEL-Brazil,participated in video project with,DALHOUSIE,USP-EEL-Brazil,2018,2,20
USP-EEL-Brazil,participated in video project with,LEIDEN,USP-EEL-Brazil,2018,2,20
USP-EEL-Brazil,participated in video project with,UFLORIDA,USP-EEL-Brazil,2018,2,20
USP-EEL-Brazil,participated in video project with,TartuTUIT_IGEM,USP-EEL-Brazil,2018,2,20
USP-EEL-Brazil,participated in video project with,Toulouse NSA,USP-EEL-Brazil,2018,2,20
NYU_Abu_Dhabi,collaborated,REC Chennai,NYU_Abu_Dhabi,2018,2,22
NYU_Abu_Dhabi,collaborated,ICT-Mumbai,NYU_Abu_Dhabi,2018,2,22
NYU_Abu_Dhabi,collaborated,CPU China,NYU_Abu_Dhabi,2018,2,22
NYU_Abu_Dhabi,collaborated,Uppsala,NYU_Abu_Dhabi,2018,2,22
NYU_Abu_Dhabi,collaborated,Linkoping Sweden,NYU_Abu_Dhabi,2018,2,22
NYU_Abu_Dhabi,collaborated,IIT-Madras,NYU_Abu_Dhabi,2018,2,22
NYU_Abu_Dhabi,workshop participation,VIT,NYU_Abu_Dhabi,2018,2,22
KAIT_JAPAN,intermediated reagent support,Promega,KAIT_JAPAN,2018,2,24
KAIT_JAPAN,distributed reagents,5 undergraduate iGEM Teams in Japan,KAIT_JAPAN,2018,2,24
KAIT_JAPAN,participated in meetup,Tokyo-Tech,KAIT_JAPAN,2018,2,24
KAIT_JAPAN,discussed with,Bielefeld University,KAIT_JAPAN,2018,2,24
Hong_Kong_JSS,collaborated,Hong_Kong-CUHK,Hong_Kong_JSS,2018,2,25
Hong_Kong-CUHK,lent lab for interlab study,Hong_Kong_JSS,Hong_Kong_JSS,2018,2,25
Hong_Kong-CUHK,provided LB agars for interlab experiments,Hong_Kong_JSS,Hong_Kong_JSS,2018,2,25
Hong_Kong-CUHK,provided competent cells E.coliTOP10,Hong_Kong_JSS,Hong_Kong_JSS,2018,2,25
Hong_Kong-CUHK,taught basic lab techniques,Hong_Kong_JSS,Hong_Kong_JSS,2018,2,25
Hong_Kong_JSS,collaborated,Hong_Kong_HKUST,Hong_Kong_JSS,2018,2,25
Hong_Kong_HKUST,hoped to use copper absorbing device,Hong_Kong_JSS,Hong_Kong_JSS,2018,2,25
Hong_Kong_HKUST,suggested teaching modelling,Hong_Kong_JSS,Hong_Kong_JSS,2018,2,25
Peshawar,collaborated,DU Dresden,Peshawar,2017,2,26
Peshawar,participated in discussion,Uppsala,Peshawar,2017,2,26
Peshawar,collaborated,Technion Israel,Peshawar,2017,2,26
Peshawar,beta tested software,Michigan,Peshawar,2017,2,26
Peshawar,collaborated,Franconia,Peshawar,2017,2,26
Peshawar,collaborated,KU Leuven,Peshawar,2017,2,26
Peshawar,gathered data for,Sheffield,Peshawar,2017,2,26
Peshawar,conducted Skype session,Tel Hai,Peshawar,2017,2,26
Peshawar,provided information,SMS China,Peshawar,2017,2,26
Aix-Marseille,acknowledged,TU DELFT,Aix-Marseille,2015,2,28
Aix-Marseille,acknowledged,HEIDELBERG,Aix-Marseille,2015,2,28
Aix-Marseille,acknowledged,UAM_Poznan,Aix-Marseille,2015,2,28
Aix-Marseille,acknowledged,Westminster,Aix-Marseille,2015,2,28
Aix-Marseille,acknowledged,SDU-Denmark,Aix-Marseille,2015,2,28
Aix-Marseille,acknowledged,UFMG_Brazil,Aix-Marseille,2015,2,28
Aix-Marseille,acknowledged,OUC China,Aix-Marseille,2015,2,28
Aix-Marseille,acknowledged,KU_LEUVEN,Aix-Marseille,2015,2,28
Aix-Marseille,acknowledged,METU TURKEY,Aix-Marseille,2015,2,28
Aix-Marseille,acknowledged,GRONINGEN,Aix-Marseille,2015,2,28
Aix-Marseille,acknowledged,BGU ISRAEL,Aix-Marseille,2015,2,28
Aix-Marseille,acknowledged,Tec_Chihuahua,Aix-Marseille,2015,2,28
Aix-Marseille,acknowledged,NAIT EDMONTON,Aix-Marseille,2015,2,28
Aix-Marseille,acknowledged,AMOY,Aix-Marseille,2015,2,28
TU_Darmstadt,feedback to,iGEM Berlin diagnostX,TU_Darmstadt,2017,2,30
TU_Darmstadt,beta-tested for,iGEM Bielefeld-CeBiTec,TU_Darmstadt,2017,2,30
TU_Darmstadt,shared experience with,NAWI Graz,TU_Darmstadt,2017,2,30
TU_Darmstadt,discussed collaboration with,NAWI Graz,TU_Darmstadt,2017,2,30
TU_Darmstadt,tested tool from,HFUT-China,TU_Darmstadt,2017,2,30
REC-CHENNAI,collaborated,IIT Madras,REC-CHENNAI,2018,2,31
REC-CHENNAI,collaborated,NYU Abu Dhabi,REC-CHENNAI,2018,2,31
Rotterdam_HR,participated in event organized by,TU Eindhoven,Rotterdam_HR,2018,2,32
CIEI-BJ,provided lab access,BNDS-China,CIEI-BJ,2016,2,33
CIEI-BJ,provided experimental help,BNDS-China,CIEI-BJ,2016,2,33
CIEI-BJ,guided,BNDS-China,CIEI-BJ,2016,2,33
CIEI-BJ,sent parts,BNDS-China,CIEI-BJ,2016,2,33
FAFU-CHINA,received feedback from,China,FAFU-CHINA,2017,2,34
FAFU-CHINA,collaborated,BNU-China,FAFU-CHINA,2017,2,34
FAFU-CHINA,helped,BNU-China,FAFU-CHINA,2017,2,34
FAFU-CHINA,collaborated,XMU-China,FAFU-CHINA,2017,2,34
XMU-China,helped,FAFU-CHINA,FAFU-CHINA,2017,2,34
FAFU-CHINA,helped,UCAS,FAFU-CHINA,2017,2,34
Cornell,survey collaboration,Stony Brook,Cornell,2017,2,35
Lund,collaborated,Sri Venkateswara College of Engineering Chennai,Lund,2017,2,36
SUSTech_Shenzhen,presented to,teams and professors at NCHU,SUSTech_Shenzhen,2018,2,37
SUSTech_Shenzhen,inspired by,teams from Taipei,SUSTech_Shenzhen,2018,2,37
SUSTech_Shenzhen,received suggestions from,iGEMers at CCiC,SUSTech_Shenzhen,2018,2,37
SUSTech_Shenzhen,had Q&A session provided by,Shanghai_tech,SUSTech_Shenzhen,2018,2,37
SUSTech_Shenzhen,discussed with,Dr.Zhang Haoqian from Langene technology company,SUSTech_Shenzhen,2018,2,37
SUSTech_Shenzhen,wished to host,2019 CCiC Conference,SUSTech_Shenzhen,2018,2,37
Aachen,built expression system for,Technion,Aachen,2016,2,38
Aachen,received feedback on project from,Technion,Aachen,2016,2,38
Technion,helped,Aachen,Aachen,2016,2,38
Technion,provided independent opinion to,Aachen,Aachen,2016,2,38
Technion,gave hints on protein modelling to,Aachen,Aachen,2016,2,38
Aachen,inspired by,Prof. Dekker,Aachen,2017,2,40
Aachen,encouraged by,Dr. Stemmering,Aachen,2017,2,40
Aachen,advised on data usage by,Prof. Murphy,Aachen,2017,2,40
Aachen,potential collaboration,Cologne/Duesseldorf,Aachen,2017,2,40
Aachen,attended event organized by,KU Leuven,Aachen,2017,2,40
KU Leuven,organized,European Practice Jamboree,Aachen,2017,2,40
Aachen,welcomed by,Professor Gerard Govers,Aachen,2017,2,40
Aachen,informed by,Johan Robben,Aachen,2017,2,40
Aachen,lectured by,Professor Jos Vander Sloten,Aachen,2017,2,40
Stockholm,co-hosted event,iGEM Lund,Stockholm,2018,2,41
Stockholm,had social gatherings,iGEM Uppsala,Stockholm,2018,2,41
Stockholm,collaborated,iGEM USP-EEL-Brazil,Stockholm,2018,2,41
Stockholm,shared outreach strategies,iGEM Warwick,Stockholm,2018,2,41
Stockholm,co-created educational material,iGEM Warwick,Stockholm,2018,2,41
Stockholm,co-created social media group,iGEM Warwick,Stockholm,2018,2,41
Exeter,collaborated,Purdue,Exeter,2016,2,42
NTNU Trondheim,conference and feedback,Oslo team,NTNU_Trondheim,2016,2,43
NTNU Trondheim,tested for,Oslo team,NTNU_Trondheim,2016,2,43
Oslo team,tested for,NTNU Trondheim,NTNU_Trondheim,2016,2,43
NTNU Trondheim,joined campaign of,Tel-Hai,NTNU_Trondheim,2016,2,43
XMU-China,participated in conference,CCiC,XMU-China,2018,2,45
XMU-China,communicated with,iGEM_BIT,XMU-China,2018,2,45
XMU-China,communicated with,iGEM Tianjin,XMU-China,2018,2,45
XMU-China,communicated with,LZU_China,XMU-China,2018,2,45
XMU-China,received advice from,iGEM_BIT,XMU-China,2018,2,45
XMU-China,received advice from,iGEM Tianjin,XMU-China,2018,2,45
XMU-China,received advice from,LZU_China,XMU-China,2018,2,45
XMU-China,attended lecture by,Meagan Lizarazo,XMU-China,2018,2,45
XMU-China,won award at,CCiC,XMU-China,2018,2,45
HebrewU,organized,safety poetry contest,HebrewU,2018,2,47
HebrewU,participant,Jakob from Bielefeld team,HebrewU,2018,2,47
HebrewU,participant,Grigorios from Thessaloniki,HebrewU,2018,2,47
HebrewU,collaborated,Imperial College,HebrewU,2018,2,47
Sorbonne_U_Paris,translated for,Washington,Sorbonne_U_Paris,2018,2,49
Sorbonne_U_Paris,exchanged postcards with,Duesseldorf,Sorbonne_U_Paris,2018,2,49
Osaka,participated in,iGEM Japan,Osaka,2011,2,50
Osaka,acknowledges support from,Cell Tech Lab at Osaka University,Osaka,2011,2,50
Osaka,received materials and advice from,Ion Beam Mutagenesis Research Group at Japan Atomic Energy Agency,Osaka,2011,2,50
Osaka,received advice from,laboratory of Hayano at the University of Tokyo and ASACUSA at CERN,Osaka,2011,2,50
William_and_Mary,collaborated,UGA iGEM,William_and_Mary,2015,2,51
William_and_Mary,provided samples to,Cambridge-JIC,William_and_Mary,2015,2,51
Chalmers-Gothenburg,congratulated,Stockholm iGEM team,Chalmers-Gothenburg,2015,2,52
William_and_Mary,received feedback from,University of Pittsburgh,William_and_Mary,2018,2,53
William_and_Mary,received feedback from,UVirginia,William_and_Mary,2018,2,53
William_and_Mary,received parts from,UVirginia,William_and_Mary,2018,2,53
William_and_Mary,sent package to,University of Virginia,William_and_Mary,2018,2,53
William_and_Mary,sent package to,University of Pittsburgh,William_and_Mary,2018,2,53
William_and_Mary,mentored,University of Saint Andrew’s,William_and_Mary,2018,2,53
Exeter,received analysis from,Glasgow iGEM,Exeter,2016,2,54
Exeter,discussed,Edinburgh,Exeter,2016,2,54
Uppsala,attended,DTU Biobrick Tutorial,Uppsala,2018,2,55
University of Copenhagen,attended,DTU Biobrick Tutorial,Uppsala,2018,2,55
Linkoping University,attended,DTU Biobrick Tutorial,Uppsala,2018,2,55
Stockholm,attended,DTU Biobrick Tutorial,Uppsala,2018,2,55
Lund,attended,DTU Biobrick Tutorial,Uppsala,2018,2,55
Chalmers-Gothenburg,attended,DTU Biobrick Tutorial,Uppsala,2018,2,55
Ui Oslo,attended,DTU Biobrick Tutorial,Uppsala,2018,2,55
Uppsala,attended,Nordic iGEM Conference,Uppsala,2018,2,55
Aalto Helsinki,attended,Nordic iGEM Conference,Uppsala,2018,2,55
Stockholm,attended,Nordic iGEM Conference,Uppsala,2018,2,55
Linkoping University,attended,Nordic iGEM Conference,Uppsala,2018,2,55
Chalmers-Gothenburg,attended,Nordic iGEM Conference,Uppsala,2018,2,55
