team,context,target,source_team,year,batch_id,chunk_id
Cologne-Duesseldorf,collaborated,Aachen,Cologne-Duesseldorf,2017,2,1
Queens_Canada,collaborated,University of Calgary,Queens_Canada,2018,2,3
Queens_Canada,shared ideas and troubleshoot problems,University of Calgary,Queens_Canada,2018,2,3
Queens_Canada,shared protocols and tips,Makerere University,Queens_Canada,2018,2,3
Queens_Canada,answered questions,Makerere University,Queens_Canada,2018,2,3
Makerere University,answered questions,Queens_Canada,Queens_Canada,2018,2,3
TU-Eindhoven,participated in exchange,European iGEM teams,TU-Eindhoven,2017,2,4
TU-Eindhoven,collaborated,Franconia,TU-Eindhoven,2017,2,4
TU-Eindhoven,answered survey,Waterloo,TU-Eindhoven,2017,2,4
TU-Eindhoven,answered survey,UNebraska-Lincoln,TU-Eindhoven,2017,2,4
AUC_TURKEY,collaborated,ATOMS_Turkiye,AUC_TURKEY,2015,2,7
AUC_TURKEY,co-organized meetup,ATOMS Turkiye,AUC_TURKEY,2015,2,7
AUC_TURKEY,co-organized meetup,METU Ankara,AUC_TURKEY,2015,2,7
AUC_TURKEY,co-organized meetup,METU HS,AUC_TURKEY,2015,2,7
TEC_GenetiX_CCM,visited,INMEGEN,TEC_GenetiX_CCM,2016,2,8
TEC_GenetiX_CCM,collaborated,TecCEM_HS,TEC_GenetiX_CCM,2016,2,8
TEC_GenetiX_CCM,co-organized meetup,iGem Latin-America Meetup,TEC_GenetiX_CCM,2016,2,8
TEC_GenetiX_CCM,cooperated in search for sponsorships,iGem teams from Mexico and Tecnológico de Monterrey system,TEC_GenetiX_CCM,2016,2,8
TEC_GenetiX_CCM,discussing delivery system,iGem teams from Tecnológico de Monterrey system,TEC_GenetiX_CCM,2016,2,8
TEC_GenetiX_CCM,answered surveys,variety of iGem teams,TEC_GenetiX_CCM,2016,2,8
TAS_Taipei,used and verified product of,Lambert_GA,TAS_Taipei,2018,2,9
TAS_Taipei,attended conference at,National Chung Hsing University,TAS_Taipei,2018,2,9
TAS_Taipei,interacted with,TecCem,TAS_Taipei,2018,2,9
TAS_Taipei,interacted with,RDFZ-China,TAS_Taipei,2018,2,9
TAS_Taipei,participated in activity of,Dusseldorf,TAS_Taipei,2018,2,9
TAS_Taipei,offered advice to,Sorbonne U Paris,TAS_Taipei,2018,2,9
CCU_Taiwan,received help from,NYMU-Taipei team,CCU_Taiwan,2018,2,11
CCU_Taiwan,attended conference with,Asia Pacific Conference,CCU_Taiwan,2018,2,11
CCU_Taiwan,visited,NCKU Tainan iGEM Team,CCU_Taiwan,2018,2,11
Utrecht,discussed results of,Eindhoven,Utrecht,2018,2,12
Utrecht,invited,NRC,Utrecht,2018,2,12
