team,matching,year
University of Chicago,UChicago,2009
University of Illinois,Illinois,2009
iGEM Japan,other,2011
Cell Tech Lab at Osaka University,Osaka,2011
Ion Beam Mutagenesis Research Group at Japan Atomic Energy Agency,other,2011
laboratory of Hayano at the University of Tokyo,UT-Tokyo,2011
ASACUSA at CERN,other,2011
Kyoto Institute of Technology KIT-Kyoto,Kyoto,2012
Radiation Biology and Medical Genetics Lab at Osaka University,Osaka,2012
Ion Beam Mutagenesis Research Group at Japan Atomic Energy Agency,other,2012
laboratory of Hayano at the University of Tokyo,UT-Tokyo,2012
ASACUSA at CERN,other,2012
Imperial College London,Imperial,2014
Brasil-SP Team,Brasil-SP,2014
IvyTech,other,2014
University of Pittsburgh iGEM team,Pitt,2014
Interlab Measurement Study,other,2014
Colegio EmelinaU,other,2015
UNC-Chapel Hill,UNC-Chapel Hill,2015
IIT Kharagpur,IIT_Kharagpur,2015
NJAU China,NJAU_China,2015
ETH Zurich,ETH_Zurich,2015
BNU-China,BNU-China,2015
Sebastian Hernandez,other,2015
Cambridge-JIC team,Cambridge-JIC,2015
Aix-Marseille Université,Aix-Marseille,2015
SJTU,SJTU,2015
SYSU,SYSU_CHINA,2015
other iGEM teams,other,2015
software teams,other,2015
hardware teams,other,2015
high school teams,other,2015
non-iGEM research groups,other,2015
another team's BioBrick Part or Device,other,2015
another team's part,other,2015
a construct,other,2015
another team's system,other,2015
another team's software,other,2015
another team's hardware project,other,2015
a high-school team,other,2015
high-school team,other,2015
HumHub collaboration platform with Stockholm,other,2015
Nordic iGEM Conference with Stockholm Uppsala Linköping Chalmers-Gothenburg UI Oslo Copenhagen and SDU Denmark,other,2015
Stockholm Uppsala Linköping Chalmers-Gothenburg UI Oslo Copenhagen and SDU Denmark,other,2015
Pasteur from Paris,Pasteur_Paris,2015
Dundee and Edinburgh,Edinburgh,2015
HS Slovenia,Slovenia_HS,2015
UChicago iGEM Team,UChicago,2015
NEFU China,NEFU_China,2015
Korea U Seoul,Korea_U_Seoul,2015
Paris-Saclay,Paris_Saclay,2015
Nanjing University,Nanjing-China,2015
Shanghai Jiao Tong University SJTU_China,SJTU-Software,2015
Tongji University China_Tongji,China_Tongji,2015
National Chiao Tung University team NCTU_formosa,NCTU_Formosa,2015
NJU_China,NJU-China,2015
WHU_China,WHU-China,2015
IPPE,other,2015
VSETCAB,other,2015
Pennsylvania State University iGEM 2015,other,2015
Center for Biological Systems Engineering,other,2015
Department of Chemistry,other,2015
Focht Family,other,2015
Heeney/Toomey Family,other,2015
Bourg Family,other,2015
NSF-MCB Award #1331194,other,2015
Washington University in St. Louis,Washington,2015
SZU,SZU_China,2015
Amoy/XMU-China,Amoy,2015
Spring,other,2015
AUC TURKEY,AUC_TURKEY,2015
NU Kazakhstan,NU_Kazakhstan,2015
UGA iGEM team,UGA-Georgia,2015
ATOMS_Turkiye,ATOMS-Turkiye,2015
ATOMS Turkiye,ATOMS-Turkiye,2015
METU Ankara,METU_Turkey,2015
METU HS,METU_HS_Ankara,2015
TU DELFT,TU_Delft,2015
HEIDELBERG,Heidelberg,2015
OUC China,OUC-China,2015
KU_LEUVEN,KU_Leuven,2015
METU TURKEY,METU_Turkey,2015
GRONINGEN,Groningen,2015
BGU ISRAEL,BGU_Israel,2015
Tec_Chihuahua,Tec-Chihuahua,2015
NAIT EDMONTON,NAIT_Edmonton,2015
AMOY,Amoy,2015
Cambridge-JIC iGEM 2015,Cambridge-JIC,2015
iGEM competition,other,2015
Nordic iGEM Conference,other,2015
Stockholm iGEM team,Stockholm,2015
other teams,other,2015
Bar Crawl,other,2015
Uppsala and Stockholm,other,2015
annual NiC event,other,2015
Boston,BostonU,2015
UGA-Georgia iGEM Team,UGA-Georgia,2015
NCTU iGEM Conference,other,2015
Team HSNU-TAIPEI,HSNU-TAIPEI,2015
TCU,TCU_Taiwan,2015
Canmore,OLS_Canmore_AB_CA,2015
iGEM Nankai,Nankai,2015
Santa Clara University,Santa_Clara,2015
Brown University,Brown_University,2015
Purdue iGEM,Purdue,2016
Technion Israel,Technion_Israel,2016
BGIC China,BGIC_China,2016
SFLS,Shenzhen_SFLS,2016
Hong Kong HKUST,Hong_Kong_HKUST,2016
Nanjing University,Nanjing-China,2016
Nankai University,NKU_China,2016
LMU-TUM Munich,LMU-TUM_Munich,2016
University of Toronto iGEM,Toronto,2016
Rose-Hulman Institute of Technology (RHIT),RHIT,2016
Purdue’s Bioscience Imaging Facility,other,2016
University of Exeter’s team,Exeter,2016
Sri Venkateswara College of Engineering (SVCE),other,2016
NAWI Graz iGEM Team,NAWI-Graz,2016
Rice University,Rice,2016
Indian Institute of Technology Madras,IIT-Madras,2016
National University of Singapore,NUS_Singapore,2016
igem.today,other,2016
30 teams on igem.today,other,2016
30 teams through social media,other,2016
SCUT-CHINA_B,SCUT-China_B,2016
BIT experiment and Web design,BIT,2016
NCKU graduate student,NCKU_Tainan,2016
Copenhagen,UNIK_Copenhagen,2016
Technion - Israel,Technion_Israel,2016
KoreaSonyeod,KoreaSonyeodul,2016
TU Darmstadt,TU_Darmstadt,2016
NAU-China,NAU-CHINA,2016
CCiC,other,2016
SYSU_China,SYSU-CHINA,2016
high school team,other,2016
iGEM,BioBricks,2016
other iGEM teams,other,2016
AHUT China,AHUT_China,2016
SJTU_software,SJTU-Software,2016
William & Mary,William_and_Mary,2016
Helsinki,Aalto-Helsinki,2016
NYU Abu-Dhabi,NYU-AD,2016
University College of London,UCL,2016
University of Virginia,Virginia,2016
University of Paris-Saclay,Paris_Saclay,2016
NEFU-China,NEFU_China,2016
Southeast University,SEU-China,2016
TMMU-China,TMMU_China,2016
Sheffield iGEM Team,Sheffield,2016
iGEM IONIS,Ionis_Paris,2016
iGEM EVRY,Evry,2016
Cardiff team,Cardiff_Wales,2016
TEC CEM,TecCEM,2016
Doctor Gong Yali,other,2016
Southwest Union,other,2016
CCiC Conference,other,2016
software teams,other,2016
hardware teams,other,2016
high school teams,other,2016
non-iGEM research groups,other,2016
another team's BioBrick Part or Device,other,2016
another team's part,other,2016
a construct,other,2016
another team's system,other,2016
another team's software,other,2016
another team's hardware project,other,2016
a high-school team,other,2016
MUSE Bio,other,2016
