team,matching,year
University of Chicago,UChicago,2009
University of Illinois at Urbana-Champaign,Illinois,2009
University of Calgary,Calgary,2009
Synthetic Blogology,other,2009
iGEM Summer Camp,other,2009
Highschool Presentations,other,2009
Campus Events,other,2009
Outreach Kits,other,2009
Project Handouts,other,2009
Biological Safety,other,2009
BioBricks Foundation,other,2009
Notebook & Parts,other,2009
University of Washington,Washington,2009
"University of California, Berkeley",Berkeley_Software,2009
"University of California, San Francisco",UCSF,2009
Kyoto Institute of Technology KIT-Kyoto,KIT-Kyoto,2012
various universities' open campus events,other,2012
general public,other,2012
various fields of study,other,2012
various walks of life,other,2012
Professor Todo and Radiation Biology and Medical Genetics Lab at Osaka University,Osaka,2012
Issay Narumi and Ion Beam Mutagenesis Research Group at Japan Atomic Energy Agency,Japan Atomic Energy Agency,2012
Professor Hayano and the laboratory of Hayano at the University of Tokyo and ASACUSA at CERN,University of Tokyo,2012
UC Chile,UC_Chile,2013
British Columbia,British_Columbia,2013
iGEM,other,2013
PSB Lab,other,2013
Modelling and Mathematical Model,other,2013
Human Practices,other,2013
Biosafety,other,2013
Whateversisoma,other,2013
Biobricks,other,2013
Side project and Methodology,other,2013
Software Team,other,2013
Judging Criteria,other,2013
Acknowledgments,other,2013
Project and Protocols,other,2013
Other teams,other,2013
VINEiGEM2013,other,2013
iGEM teams,other,2013
UBC iGEM 2013,other,2013
Imperial College London,Imperial,2014
Brasil-SP Team,Brasil-SP,2014
Carnegie Mellon,Carnegie_Mellon,2014
IvyTech,IvyTech_SouthBend_IN,2014
University of Pittsburgh,Pitt,2014
Interlab Measurement Study,other,2014
other teams,other,2014
SJTU,SJTU,2015
SYSU,SYSU,2015
Tsinghua A,Tsinghua-A,2015
UNC-Chapel Hill,UNC-Chapel_Hill,2015
IIT Kharagpur,IIT_Kharagpur,2015
UChicago iGEM Team,UChicago,2015
NJAU China,NJAU_China,2015
ETH Zurich,ETH_Zurich,2015
BNU-China,BNU-China,2015
Cambridge-JIC team,Cambridge-JIC,2015
Aix-Marseille Université,Aix-Marseille,2015
other teams,other,2015
software teams,other,2015
hardware teams,other,2015
high school teams,other,2015
non-iGEM research groups,other,2015
another team's BioBrick Part or Device,other,2015
another team's part,other,2015
a construct,other,2015
another team's system,other,2015
another team's software,other,2015
another team's hardware,other,2015
another team's software,other,2015
another team's hardware project,other,2015
a high-school team,other,2015
improving function of another team's BioBrick Part or Device,other,2015
iGEM,other,2015
Group D,other,2015
Group E,other,2015
Nordic iGEM Conference,other,2015
Linköping,Linkoping_Sweden,2015
UI Oslo,UiOslo_Norway,2015
Uppsala,Uppsala,2015
Uppsala iGEM,other,2015
