team,matching,year
University of Chicago,UChicago,2009
iGEM Japan,other,2011
Cell Tech Lab at Osaka University,Osaka,2011
Ion Beam Mutagenesis Research Group at Japan Atomic Energy Agency,other,2011
laboratory of Hayano at the University of Tokyo,UT-Tokyo,2011
ASACUSA at CERN,other,2011
Osaka University,other,2012
Japan Atomic Energy Agency,other,2012
University of Tokyo,UT-Tokyo,2012
ASACUSA at CERN,other,2012
Kyoto Institute of Technology,KIT-Kyoto,2012
Imperial College London,Imperial,2014
Brasil-SP Team,Brasil-SP,2014
Ivy Tech,IvyTech_SouthBend_IN,2014
University of Pittsburgh,Pitt,2014
iGEM Interlab Measurement Study,other,2014
SJTU,SJTU-BioX-Shanghai,2015
SYSU,SYSU_CHINA,2015
UChicago iGEM Team,UChicago,2015
ETH Zurich,ETH_Zurich,2015
BNU-China,BNU-CHINA,2015
Aix-Marseille Université,Aix-Marseille,2015
Nordic iGEM Conference,other,2015
Linköping,Linkoping_Sweden,2015
UI Oslo,UiOslo_Norway,2015
Copenhagen,UNIK_Copenhagen,2015
SDU Denmark,SDU-Denmark,2015
Pasteur,Pasteur_Paris,2015
HS Slovenia,Slovenia_HS,2015
NEFU China,NEFU_China,2015
Korea U Seoul,Korea_U_Seoul,2015
Paris-Saclay,Paris_Saclay,2015
Nanjing University,Nanjing-China,2015
Nanjing University,NJU-China,2015
SJTU_China,SJTU-BioX-Shanghai,2015
NCTU_formosa,NCTU_Formosa,2015
NJU_China,NJU-China,2015
WHU_China,WHU-China,2015
IPPE,other,2015
VSETCAB,other,2015
Center for Biological Systems Engineering,other,2015
Department of Chemistry,other,2015
Focht Family,other,2015
Heeney/Toomey Family,other,2015
Bourg Family,other,2015
NSF-MCB Award #1331194,other,2015
Washington University in St. Louis,WashU_StLouis,2015
Pennsylvania State University iGEM 2015,other,2015
AUC TURKEY,AUC_TURKEY,2015
ATOMS_Turkiye,ATOMS-Turkiye,2015
ATOMS Turkiye,ATOMS-Turkiye,2015
METU Ankara,METU_Turkey,2015
METU HS,METU_HS_Ankara,2015
Turgut Ozal University,other,2015
TU DELFT,TU_Delft,2015
HEIDELBERG,Heidelberg,2015
OUC China,OUC-China,2015
KU_LEUVEN,KU_Leuven,2015
METU TURKEY,METU_Turkey,2015
GRONINGEN,Groningen,2015
BGU ISRAEL,BGU_Israel,2015
Tec_Chihuahua,Tec-Chihuahua,2015
NAIT EDMONTON,NAIT_Edmonton,2015
AMOY,Amoy,2015
UGA iGEM,UGA-Georgia,2015
Stockholm iGEM team,Stockholm,2015
UGA-Georgia iGEM Team,UGA-Georgia,2015
NCTU iGEM Conference,NCTU_Formosa,2015
Conference Participants,other,2015
TCU,TCU_Taiwan,2015
Canmore,OLS_Canmore_AB_CA,2015
iGEM Nankai,Nankai,2015
Santa Clara University,Santa_Clara,2015
Brown University,Stanford-Brown,2015
Rose-Hulman Institute of Technology,other,2016
Sri Venkateswara College of Engineering,SVCE_CHENNAI,2016
Technion Israel,Technion_Israel,2016
BGIC China,BGIC_China,2016
Hong Kong HKUST,Hong_Kong_HKUST,2016
SCUT-CHINA_B,SCUT-China_B,2016
Weizmann Institute Israel,other,2016
Nanjing University,Nanjing-China,2016
Nankai University,other,2016
LMU-TUM Munich,LMU-TUM_Munich,2016
IONIS,Ionis_Paris,2016
EVRY,Evry,2016
CCiC Conference,other,2016
TAS TAIWAN,TAS_Taipei,2016
CGU,CGU_Taiwan,2016
NCTU,NCTU_Formosa,2016
NTHU,NTHU_Taiwan,2016
University of Toronto iGEM,Toronto,2016
Rice University,Rice,2016
Indian Institute of Technology Madras,IIT-Madras,2016
National University of Singapore,NUS_Singapore,2016
30 iGEM teams,other,2016
NCKU graduate student,NCKU_Tainan,2016
Copenhagen,UNIK_Copenhagen,2016
KoreaSonyeod,KoreaSonyeodul,2016
Technion - Israel,Technion_Israel,2016
TU Darmstadt,TU_Darmstadt,2016
NAU-China,NAU-CHINA,2016
CCiC,other,2016
SYSU_China,SYSU-CHINA,2016
AHUT China,AHUT_China,2016
SJTU_software,SJTU-Software,2016
William & Mary,William_and_Mary,2016
Helsinki,Aalto-Helsinki,2016
NYU Abu-Dhabi,NYU-AD,2016
University College of London,UCL,2016
University of Virginia,Virginia,2016
University of Paris-Saclay,Paris_Saclay,2016
NEFU-China,NEFU_China,2016
Southeast University,SEU-China,2016
TMMU-China,TMMU_China,2016
Sheffield iGEM Team,Sheffield,2016
Erlangen iGEM Team,FAU_Erlangen,2016
TU Darmstadt iGEM Team,TU_Darmstadt,2016
The European Experience Paris,Paris_Bettencourt,2016
iGEM meets Marburg Marburg,Marburg,2016
METU HS Ankara iGEM team,METU_HS_Ankara,2016
iGEM team Tel Hai,Tel-Hai,2016
Vive le France!,other,2016
The far east,other,2016
Our dutch neighbours,other,2016
Double Kill,other,2016
European Experience 2016,other,2016
Cardiff,Cardiff_Wales,2016
TEC CEM,TecCEM,2016
Doctor Gong Yali,other,2016
Southwest Union,other,2016
SICAU-China,SCAU-China,2016
Sun Yat-sen University,SYSU-CHINA,2016
MUSE Bio,other,2016
TAS,TAS_Taipei,2016
NCCU,other,2016
Tongji University,Tongji_Shanghai,2016
TEC GenetiX CCM,TEC_GenetiX_CCM,2016
Technion,Technion_Israel,2016
NTNU Trondheim,NTNU_Trondheim,2016
Oslo team,UiOslo_Norway,2016
INMEGEN,other,2016
iGem Latin-America Meetup,other,2016
iGem teams from Tecnológico de Monterrey system,Tec-Monterrey,2016
a wide variety of iGem teams,other,2016
SCUT-CHINA,SCUT-China_A,2016
BNDS-China,BNDS_China,2016
Glasgow iGEM,Glasgow,2016
Edinburgh,Edinburgh_OG,2016
Ryerson iGEM,Ryerson_Toronto,2016
Ontario Genomics,other,2016
Dalhousie Halifax NS,Dalhousie_Halifax_NS,2016
Tsinghua University,Tsinghua,2016
Tokyo Tech team,TokyoTech,2017
PARIS Bettencourt team,Paris_Bettencourt,2017
Evry Paris-Saclay,Evry_Paris-Saclay,2017
LASA High School,Austin_UTexas_LASA,2017
U-China,other,2017
NYU Shanghai,NYU_Shanghai,2017
iGEM Nagahama,Nagahama,2017
KAIT JAPAN,KAIT_JAPAN,2017
Tokyo Tech,TokyoTech,2017
Kyoto team,Kyoto,2017
Kobe team,Kobe,2017
Nagahama team,Nagahama,2017
Gifu team,Gifu,2017
Manchester team,Manchester,2017
Virginia team,Virginia,2017
AQA Unesp team,AQA_Unesp,2017
UChile_OpenBio-CeBiB team,UChile_OpenBio-CeBiB,2017
ITB_Indonesia team,ITB_Indonesia,2017
KUAS_Korea team,KUAS_Korea,2017
IIT_Delhi team,IIT_Delhi,2017
UAlberta team,UAlberta,2017
Jérémy,other,2017
Evry,Evry_Paris-Saclay,2017
iGEM Delft,TUDelft,2017
Prof. Dr. Thorsten Mascher,other,2017
Marcel Thiele,other,2017
Prof. Dr. Hans-Georg Braun,other,2017
TU Darmstadt,TU_Darmstadt,2017
Gaston,Gaston_Day_School,2017
Taipei-SDS,SDS-Shenzhen,2017
IGEM Tokyo Tech,TokyoTech,2017
KAIT Japan,KAIT_JAPAN,2017
Team KU Leuven,KU_Leuven,2017
Prof. Jiangyun WANG IBP CAS,other,2017
Prof. Xien-en ZHANG IBP CAS,other,2017
Prof. Dianbing WANG,other,2017
College of Life Sciences UCAS in Institute of Tibetan Plateau Research CAS,UCAS,2017
Peking University Health Science Center,Peking,2017
Beijing National Day School,BNDS_China,2017
Cheng HU,other,2017
Jian HUANG,other,2017
Prof. Pingyong XU,other,2017
Lewis Sandler,other,2017
Prof. Chunbo LOU,other,2017
Wenqi PENG,other,2017
Prof. Zhisheng YU,other,2017
Bluepha Microbe Technology Co.,other,2017
China Aquaculture Website,other,2017
Beijing Shuianyuge Food Company,other,2017
Sturgeon Breeding Technology Engineering Center of the Chinese Academy of Fishery Sciences,other,2017
Yancheng Ocean and Fisheries Bureau,other,2017
Yancheng Chengdong foul water purifying factory,other,2017
Dr. Haoqian ZHANG,other,2017
Leying CHEN,other,2017
Xiaoding LI,other,2017
Xiaohong LIU  Ph.D  Prof.,other,2017
an unnamed team,other,2017
Tu Delft,TUDelft,2017
Tu_Darmstadt,TU_Darmstadt,2017
Gifu University,Gifu,2017
University of Washington - Tacoma,Washington,2017
Tacoma Community College,other,2017
United States Military Academy,USMA-West_Point,2017
iGEM Franconia,Franconia,2017
Asia Pacific Conference,other,2017
National Chang,other,2017
Biosafety Sharing Session,other,2017
iGEM teams,other,2017
DIYBIO HK,other,2017
Dr. Tanner,other,2017
HKUST,Hong_Kong_HKUST,2017
CUHK,Hong_Kong-CUHK,2017
UCCKE,Hong_Kong_UCCKE,2017
LPSS,other,2017
SUSTech iGEM 2017,SUSTech_Shenzhen,2017
iGEM McMasterU,McMasterU,2017
SCAU-CHINA,SiCAU-China,2017
Greece iGEM team,Greece,2017
Sweden,Linkoping_Sweden,2017
Denmark,DTU-Denmark,2017
Finland,other,2017
global iGEM teams,other,2017
Fudan University,Fudan,2017
college team,other,2017
East Chapel Hill High school,East_Chapel_Hill,2017
Peshawar 2017,Peshawar,2017
UNBC 2017,UNBC-Canada,2017
East Chapel Hill 2017,East_Chapel_Hill,2017
igemusp(Brazil),USP-Brazil,2017
British_Columbia IGEM,British_Columbia,2017
REC_CHENNAI,REC-CHENNAI,2017
LUND,Lund,2017
NAWI_GRAZ,NAWI_Graz,2017
KU Leuven,KU_Leuven,2017
CPU CHINA,CPU_CHINA,2017
NJU_CHINA,NJU-China,2017
University of Waterloo,Waterloo,2017
University of Toronto,Toronto,2017
University of Calgary/Canadian iGEM,Calgary,2017
Chung Cheng University (CCU Taiwan),CCU_Taiwan,2017
Taipei American School (TAS Taipei),TAS_Taipei,2017
Chung Cheng University,CCU_Taiwan,2017
TEC-CHIHUAHUA,Tec-Chihuahua,2017
Jilin China,Jilin_China,2017
European iGEM teams,other,2017
DU Dresden,TU_Dresden,2017
Technion Israel,TECHNION-ISRAEL,2017
Tel Hai,Tel-Hai,2017
SMS China,SMS_Shenzhen,2017
iGEM Berlin diagnostX,Berlin_diagnostX,2017
iGEM Bielefeld-CeBiTec,Bielefeld-CeBiTec,2017
NAWI Graz,NAWI_Graz,2017
China,other,2017
Stony Brook,Stony_Brook,2017
Sri Venkateswara College of Engineering Chennai,SVCE_CHENNAI,2017
Prof. Dekker,other,2017
Dr. Stemmering,other,2017
Prof. Murphy,other,2017
Cologne/Duesseldorf,Cologne-Duesseldorf,2017
European Practice Jamboree,other,2017
Professor Gerard Govers,other,2017
Johan Robben,other,2017
Professor Jos Vander Sloten,other,2017
