team,matching,year
University of Chicago,UChicago,2009
University of Illinois,Illinois,2009
iGEM Japan,Tokyo_Tech,2011
Cell Tech Lab at Osaka University,Osaka,2011
Ion Beam Mutagenesis Research Group at Japan Atomic Energy Agency,other,2011
Laboratory of Hayano at the University of Tokyo,Tokyo_Tech,2011
ASACUSA at CERN,other,2011
Osaka University,Osaka,2012
Japan Atomic Energy Agency,other,2012
University of Tokyo,UT-Tokyo,2012
ASACUSA at CERN,other,2012
Kyoto Institute of Technology,KIT-Kyoto,2012
Imperial College London,Imperial,2014
Brasil-SP Team,Brasil-SP,2014
IvyTech,IvyTech_SouthBend_IN,2014
University of Pittsburgh,Pitt,2014
iGEM Interlab Measurement Study,other,2014
SJTU,SJTU-BioX-Shanghai,2015
SYSU,SYSU_CHINA,2015
UChicago iGEM Team,UChicago,2015
NEFU China,NEFU_China,2015
Korea U Seoul,Korea_U_Seoul,2015
Paris-Saclay,Paris_Saclay,2015
ETH Zurich,ETH_Zurich,2015
BNU-China,BNU-CHINA,2015
Aix-Marseille Université,Aix-Marseille,2015
Linköping,Linkoping_Sweden,2015
UI Oslo,UiOslo_Norway,2015
Copenhagen,UNIK_Copenhagen,2015
SDU Denmark,SDU-Denmark,2015
Pasteur,Pasteur_Paris,2015
HS Slovenia,Slovenia_HS,2015
Nanjing University,Nanjing-China,2015
SJTU_China,SJTU-BioX-Shanghai,2015
NCTU_formosa,NCTU_Formosa,2015
NJU_China,NJU-China,2015
WHU_China,WHU-China,2015
IPPE,other,2015
VSETCAB,other,2015
Key Laboratory of Systems Bioengineering (Tianjin University),Tianjin,2015
UGA-Georgia iGEM Team,UGA-Georgia,2015
ATOMS_Turkiye,ATOMS-Turkiye,2015
METU Ankara,METU_Turkey,2015
METU HS,METU_HS_Ankara,2015
Turgut Ozal University,other,2015
TU DELFT,TU_Delft,2015
HEIDELBERG,Heidelberg,2015
OUC China,OUC-China,2015
KU_LEUVEN,KU_Leuven,2015
METU TURKEY,METU_Turkey,2015
GRONINGEN,Groningen,2015
BGU ISRAEL,BGU_Israel,2015
Tec_Chihuahua,Tec-Chihuahua,2015
NAIT EDMONTON,NAIT_Edmonton,2015
AMOY,Amoy,2015
UGA iGEM,UGA-Georgia,2015
Stockholm iGEM,Stockholm,2015
other teams,other,2015
NCTU iGEM Conference,NCTU_Formosa,2015
TCU,TCU_Taiwan,2015
Team HSNU-TAIPEI,HSNU-TAIPEI,2015
Canmore,OLS_Canmore_AB_CA,2015
iGEM Nankai,Nankai,2015
Santa Clara University,other,2015
Brown University,Stanford-Brown,2015
other teams,other,2015
NCTU iGEM Conference,NCTU_Formosa,2015
TCU,TCU_Taiwan,2015
Team HSNU-TAIPEI,HSNU-TAIPEI,2015
Canmore,OLS_Canmore_AB_CA,2015
iGEM Nankai,Nankai,2015
Santa Clara University,other,2015
Brown University,Stanford-Brown,2015
Rose-Hulman Institute of Technology,other,2016
Sri Venkateswara College of Engineering,other,2016
Technion Israel,Technion_Israel,2016
BGIC China,BGIC_China,2016
SFLS,Shenzhen_SFLS,2016
Hong Kong HKUST,Hong_Kong_HKUST,2016
SCUT-CHINA_B,SCUT-China_B,2016
Copenhagen,UNIK_Copenhagen,2016
Technion,Technion_Israel,2016
Nanjing University,Nanjing-China,2016
Nankai University,NKU_China,2016
LMU-TUM Munich,LMU-TUM_Munich,2016
TAS TAIWAN,TAS_Taipei,2016
University of Toronto iGEM,Toronto,2016
iGEM Peshawar,Peshawar,2016
Rice University,Rice,2016
Indian Institute of Technology Madras,IIT-Madras,2016
National University of Singapore,NUS_Singapore,2016
30 iGEM teams,other,2016
KoreaSonyeod,KoreaSonyeodul,2016
TU Darmstadt,TU_Darmstadt,2016
NAU-China,NAU-CHINA,2016
CCiC,other,2016
SYSU_China,SYSU-CHINA,2016
a high school team,other,2016
AHUT China,AHUT_China,2016
SJTU_software,SJTU-Software,2016
William & Mary,William_and_Mary,2016
Helsinki,Aalto-Helsinki,2016
NYU Abu-Dhabi,NYU-AD,2016
University College of London,UCL,2016
University of Virginia,Virginia,2016
University of Paris-Saclay,Paris_Saclay,2016
NEFU-China,NEFU-China,2016
Southeast University,other,2016
TMMU-China,TMMU_China,2016
Sheffield iGEM Team,Sheffield,2016
Erlangen iGEM Team,FAU_Erlangen,2016
TU Darmstadt iGEM Team,TU_Darmstadt,2016
Matthieu Fritz (Pasteur Institute of Paris),Pasteur_Paris,2016
Civic Drone,other,2016
iGEM IONIS,Ionis_Paris,2016
iGEM EVRY,Evry,2016
iGEM Cardiff,Cardiff_Wales,2016
iGEM EPFL,EPFL,2016
iGEM TEC CEM,TecCEM,2016
Doctor Gong Yali,other,2016
Southwest Union,other,2016
SICAU-China,SCAU-China,2016
CCiC Conference,other,2016
MUSE Bio,other,2016
NCTU,NCTU_Formosa,2016
TAS,TAS_Taipei,2016
CGU,CGU_Taiwan,2016
NTHU,NTHU_Taiwan,2016
NCCU,other,2016
Tongji University,Tongji_Shanghai,2016
NTNU Trondheim,NTNU_Trondheim,2016
Oslo team,other,2016
BNDS-China,BNDS_China,2016
INMEGEN,other,2016
iGem Latin-America Meetup,other,2016
iGem teams from Tecnológico de Monterrey,Tec-Monterrey,2016
various iGem teams,other,2016
SCUT-China,SCUT-China_A,2016
Purdue's database,Purdue,2016
Tel-Hai team,Tel-Hai,2016
Glasgow iGEM,Glasgow,2016
Edinburgh,Edinburgh_UG,2016
BNU China,BNU-China,2016
Ryerson iGEM,Ryerson_Toronto,2016
Dalhousie Halifax NS,Dalhousie_Halifax_NS,2016
Evry Paris-Saclay,Evry_Paris-Saclay,2017
Gaston,Gaston_Day_School,2017
East,East_Chapel_Hill,2017
Team Peking,Peking,2017
TEAM 1,other,2017
Gifu University,Gifu,2017
iGEM McMasterU,McMasterU,2017
Greece iGEM,Greece,2017
NYU Shanghai,NYU_Shanghai,2017
NAWI_GRAZ,NAWI_Graz,2017
iGEM Nagahama,Nagahama,2017
KAIT JAPAN,KAIT_JAPAN,2017
Tokyo Tech,TokyoTech,2017
Kyoto team,Kyoto,2017
Kobe team,Kobe,2017
Nagahama team,Nagahama,2017
Gifu team,Gifu,2017
Manchester team,Manchester,2017
