team,matching,year
University of Chicago,UChicago,2009
University of Illinois,Illinois,2009
Tokyo,Todai-Tokyo,2009
Western,MoWestern_Davidson,2009
Addgene,other,2009
iGEM Japan,other,2011
Cell Tech Lab at Osaka University,Osaka,2011
Ion Beam Mutagenesis Research Group at Japan Atomic Energy Agency,other,2011
Laboratory of Hayano at the University of Tokyo,UT-Tokyo,2011
ASACUSA at CERN,other,2011
Kyoto Institute of Technology,KIT-Kyoto,2012
Radiation Biology and Medical Genetics Lab at Osaka University,Osaka,2012
Ion Beam Mutagenesis Research Group at Japan Atomic Energy Agency,other,2012
the laboratory of Hayano at the University of Tokyo,UT-Tokyo,2012
ASACUSA at CERN,other,2012
Imperial College London,Imperial,2014
Brasil-SP Team,Brasil-SP,2014
IvyTech,IvyTech_SouthBend_IN,2014
University of Pittsburgh,Pitt,2014
Interlab Measurement Study,other,2014
SJTU,SJTU-BioX-Shanghai,2015
SYSU,SYSU-Software,2015
Tsinghua A,Tsinghua-A,2015
Paris-Saclay,Paris_Saclay,2015
NJU_China,NJU-China,2015
WHU_China,WHU-China,2015
IPPE,other,2015
VSETCAB,other,2015
BNU-China,BNU-CHINA,2015
Aix-Marseille Université,Aix-Marseille,2015
Linköping,Linkoping_Sweden,2015
UI Oslo,UiOslo_Norway,2015
Copenhagen,UNIK_Copenhagen,2015
SDU Denmark,SDU-Denmark,2015
Pasteur,Pasteur_Paris,2015
HS Slovenia,Slovenia_HS,2015
UChicago iGEM Team,UChicago,2015
NEFU China,NEFU_China,2015
Korea U Seoul,Korea_U_Seoul,2015
Nanjing University,NJU-China,2015
Shanghai Jiao Tong University SJTU_China,SJTU-BioX-Shanghai,2015
Tongji University,China_Tongji,2015
National Chiao Tung University team,NCTU_Formosa,2015
Center for Biological Systems Engineering,other,2015
Department of Chemistry,other,2015
Focht Family,other,2015
Heeney/Toomey Family,other,2015
Bourg Family,other,2015
NSF-MCB Award #1331194,other,2015
Washington University in St. Louis,WashU_StLouis,2015
Pennsylvania State University,other,2015
KH2PO4,other,2015
ATOMS_Turkiye,ATOMS-Turkiye,2015
ATOMS Turkiye,ATOMS-Turkiye,2015
METU Ankara,METU_Turkey,2015
METU HS,METU_HS_Ankara,2015
TU DELFT,TU_Delft,2015
HEIDELBERG,Heidelberg,2015
OUC China,OUC-China,2015
KU_LEUVEN,KU_Leuven,2015
METU TURKEY,METU_Turkey,2015
GRONINGEN,Groningen,2015
BGU ISRAEL,BGU_Israel,2015
Tec_Chihuahua,Tec-Chihuahua,2015
NAIT EDMONTON,NAIT_Edmonton,2015
AMOY,Amoy,2015
UGA iGEM,UGA-Georgia,2015
Nordic iGEM Conference,other,2015
Stockholm iGEM team,Stockholm,2015
Bar Crawl,other,2015
Uppsala University nations,Uppsala,2015
UGA-Georgia iGEM Team,UGA-Georgia,2015
NCTU iGEM Conference,NCTU_Formosa,2015
Team HSNU-TAIPEI,HSNU-TAIPEI,2015
TCU,TCU_Taiwan,2015
Canmore,OLS_Canmore_AB_CA,2015
iGEM Nankai,Nankai,2015
Santa Clara University,Santa_Clara,2015
Brown University,Stanford-Brown,2015
Rose-Hulman Institute of Technology’s (RHIT),RHIT,2016
Sri Venkateswara College of Engineering (SVCE),SVCE_CHENNAI,2016
Technion Israel,Technion_Israel,2016
SFLS,Shenzhen_SFLS,2016
Technion - Israel,Technion_Israel,2016
Nanjing University,Nanjing-China,2016
Nankai University,NKU_China,2016
LMU-TUM Munich,LMU-TUM_Munich,2016
TAS TAIWAN,TAS_Taipei,2016
University of Toronto iGEM,Toronto,2016
iGEM Peshawar,Peshawar,2016
Rice University,Rice,2016
Indian Institute of Technology Madras,IIT-Madras,2016
National University of Singapore,NUS_Singapore,2016
30 iGEM teams,other,2016
SCUT-CHINA_B,SCUT-China_B,2016
Copenhagen,UNIK_Copenhagen,2016
KoreaSonyeod,KoreaSonyeodul,2016
iGEM TU Darmstadt,TU_Darmstadt,2016
NAU-China,NAU-CHINA,2016
CCiC,other,2016
SYSU_China,SYSU-CHINA,2016
unspecified high school team,other,2016
AHUT China,AHUT_China,2016
SJTU_software,SJTU-Software,2016
William & Mary,William_and_Mary,2016
Helsinki,Aalto-Helsinki,2016
NYU Abu-Dhabi,NYU-AD,2016
University College of London,UCL,2016
University of Virginia,Virginia,2016
University of Paris-Saclay,Paris_Saclay,2016
NEFU-China,NEFU_China,2016
Southeast University,other,2016
TMMU-China,TMMU_China,2016
Sheffield iGEM Team,Sheffield,2016
Erlangen iGEM Team,FAU_Erlangen,2016
TU Darmstadt iGEM Team,TU_Darmstadt,2016
The European Experience Paris,Paris_Saclay,2016
iGEM meets Marburg Marburg,Marburg,2016
METU HS Ankara iGEM team,METU_HS_Ankara,2016
iGEM team Tel Hai,Tel-Hai,2016
Vive le France!,other,2016
The far east,other,2016
Our dutch neighbours,other,2016
Double Kill,other,2016
iGEM teams,other,2016
European Experience 2016,other,2016
iGEM Cardiff,Cardiff_Wales,2016
iGEM EPFL,EPFL,2016
iGEM TEC CEM,TecCEM,2016
Doctor Gong Yali,other,2016
Southwest Union,other,2016
CCiC Conference,other,2016
MUSE Bio,other,2016
MUSE,other,2016
NCTU,NCTU_Formosa,2016
TAS,TAS_Taipei,2016
CGU,CGU_Taiwan,2016
NTHU,NTHU_Taiwan,2016
NCCU,other,2016
Tongji University,Tongji_Shanghai,2016
Technion,Technion_Israel,2016
Oslo team,UiOslo_Norway,2016
INMEGEN,other,2016
iGem Latin-America Meetup,other,2016
iGem teams from Mexico and Tecnológico de Monterrey system,Tec-Monterrey,2016
iGem teams from Tecnológico de Monterrey system,Tec-Monterrey,2016
variety of iGem teams,other,2016
SCUT-China,SCUT-China_A,2016
BNDS-China,BNDS_China,2016
Purdue's database,Purdue,2016
Israel team from Tel-Hai,Tel-Hai,2016
Glasgow iGEM,Glasgow,2016
Edinburgh,Edinburgh_UG,2016
Ryerson iGEM,Ryerson_Toronto,2016
Ontario Genomics,other,2016
Dalhousie Halifax NS,Dalhousie_Halifax_NS,2016
CSMU_NCHUI_Taiwan,CSMU_NCHU_Taiwan,2017
Fudan University,Fudan,2017
NAWI_GRAZ,NAWI_Graz,2017
