team,context,target,source_team,year,batch_id,chunk_id
Concordia,received plasmids from,University of Toronto iGEM,Concordia,2016,1,0
Concordia,collaborated,University of Toronto iGEM,Concordia,2016,1,0
Purdue,collaborated,Rose-Hulman Institute of Technology’s (RHIT),Purdue,2016,1,1
Rose-Hulman Institute of Technology’s (RHIT),used facility,Purdue,Purdue,2016,1,1
Rose-Hulman Institute of Technology’s (RHIT),contributed,Purdue,Purdue,2016,1,1
Purdue,collaborated,Sri Venkateswara College of Engineering (SVCE),Purdue,2016,1,1
Sri Venkateswara College of Engineering (SVCE),distributed survey,Purdue,Purdue,2016,1,1
Purdue,"constructed, transformed and characterized",Sri Venkateswara College of Engineering (SVCE),Purdue,2016,1,1
Athens,collaborated,UNSW 2018 iGEM Team,Athens,2018,1,2
Athens,collaborated,iGEM Paris - Bettencourt Team,Athens,2018,1,2
Athens,completed survey,iGEM Bulgaria,Athens,2018,1,2
Athens,completed survey,iGEM Dusseldorf,Athens,2018,1,2
Athens,completed survey,iGEM Montpellier 2018,Athens,2018,1,2
Athens,completed survey,UNAMBG iGEM 2018,Athens,2018,1,2
Botchan_Lab_Tokyo,helped,iGEM Nagahama,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,participated with,KAIT JAPAN,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,participated with,Tokyo Tech,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,participated with,Kyoto,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,participated with,Kobe,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,participated with,Nagahama,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,participated with,Gifu,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,collaborated,Manchester,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,collaborated,Virginia,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,collaborated,AQA Unesp,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,collaborated,UChile_OpenBio-CeBiB,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,collaborated,ITB_Indonesia,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,collaborated,KUAS_Korea,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,collaborated,IIT_Delhi,Botchan_Lab_Tokyo,2017,1,3
Botchan_Lab_Tokyo,collaborated,UAlberta,Botchan_Lab_Tokyo,2017,1,3
IONIS-PARIS,collaborated,Tokyo Tech team,IONIS-PARIS,2017,1,4
IONIS-PARIS,collaborated,PARIS Bettencourt team,IONIS-PARIS,2017,1,4
Hamburg,received support from,Jérémy,Hamburg,2017,1,7
Hamburg,received support from,Evry,Hamburg,2017,1,7
Hamburg,collaborated,TU Delft,Hamburg,2017,1,7
Hamburg,planned collaboration,Delft,Hamburg,2017,1,7
Hamburg,planned collaboration,Aalto Helsinki,Hamburg,2017,1,7
Westminster,attended workshop,Cambridge-JIC,Westminster,2015,1,8
Westminster,helped with data collection,Aix-Marseille Université,Westminster,2015,1,8
Technion Israel,provided guidance,iGEM Peshawar,Technion_Israel,2016,1,9
Technion Israel,aided in modeling process,iGEM Peshawar,Technion_Israel,2016,1,9
Technion Israel,debugged protocol,iGEM Peshawar,Technion_Israel,2016,1,9
Technion Israel,shared protocols,iGEM Peshawar,Technion_Israel,2016,1,9
Technion Israel,shared educational program,iGEM Peshawar,Technion_Israel,2016,1,9
Technion Israel,advised,iGEM Peshawar,Technion_Israel,2016,1,9
BGIC_China,assisted,SFLS,BGIC_China,2016,1,10
SFLS,helped,BGIC_China,BGIC_China,2016,1,10
SFLS,shared laboratory with,BGIC_China,BGIC_China,2016,1,10
SFLS,shared materials with,BGIC_China,BGIC_China,2016,1,10
