text,year
"[[""University of Chicago"", ""UChicago""], [""University of Illinois"", ""Illinois""]]",2009.0
"[[""iGEM Japan"", ""other""], [""Cell Tech Lab at Osaka University"", ""Osaka""], [""Ion Beam Mutagenesis Research Group at Japan Atomic Energy Agency"", ""other""], [""laboratory of Hayano at the University of Tokyo"", ""UT-Tokyo""], [""ASACUSA at CERN"", ""other""]]",2011.0
"[[""Kyoto Institute of Technology KIT-Kyoto"", ""Kyoto""],[""Radiation Biology and Medical Genetics Lab at Osaka University"", ""Osaka""],[""Ion Beam Mutagenesis Research Group at Japan Atomic Energy Agency"", ""other""],[""laboratory of Hayano at the University of Tokyo"", ""UT-Tokyo""],[""ASACUSA at CERN"", ""other""]]",2012.0
"[[""Imperial College London"", ""Imperial""], [""Brasil-SP Team"", ""Brasil-SP""], [""IvyTech"", ""IvyTech_SouthBend_IN""], [""University of Pittsburgh iGEM team"", ""Pitt""], [""iGEM teams"", ""other""], [""other teams"", ""other""]]",2014.0
"[[""Colegio EmelinaU"", ""other""], [""UNC-Chapel Hill"", ""UNC-Chapel Hill""], [""IIT Kharagpur"", ""IIT_Kharagpur""], [""NJAU China"", ""NJAU_China""], [""ETH Zurich"", ""ETH_Zurich""], [""BNU-China"", ""BNU-China""], [""Sebastian Hernandez"", ""other""], [""Cambridge-JIC team"", ""Cambridge-JIC""], [""Aix-Marseille Université"", ""Aix-Marseille""], [""SJTU"", ""SJTU""]]",2015.0
"[[""SYSU"", ""SYSU_CHINA""], [""other iGEM teams"", ""other""], [""software teams"", ""other""], [""hardware teams"", ""other""], [""high school teams"", ""other""], [""non-iGEM research groups"", ""other""], [""another team's BioBrick Part or Device"", ""other""], [""another team's part"", ""other""], [""a construct"", ""other""], [""another team's system"", ""other""]]",2015.0
"[[""another team's software"", ""other""], [""another team's hardware project"", ""other""], [""a high-school team"", ""other""], [""high-school team"", ""other""], [""Linköping"", ""Linkoping_Sweden""], [""UI Oslo"", ""UiOslo_Norway""], [""Copenhagen"", ""UNIK_Copenhagen""], [""SDU Denmark"", ""SDU-Denmark""], [""Pasteur"", ""Pasteur_Paris""], [""HS Slovenia"", ""Slovenia_HS""]]",2015.0
"[[""UChicago iGEM Team"", ""UChicago""], [""NEFU China"", ""NEFU_China""], [""Korea U Seoul"", ""Korea_U_Seoul""], [""Paris-Saclay"", ""Paris_Saclay""], [""Nanjing University"", ""Nanjing-China""], [""Shanghai Jiao Tong University SJTU_China"", ""SJTU-Software""], [""Tongji University China_Tongji"", ""China_Tongji""], [""National Chiao Tung University team NCTU_formosa"", ""NCTU_Formosa""], [""NJU_China"", ""NJU-China""], [""WHU_China"", ""WHU-China""]]",2015.0
"[[""IPPE"", ""other""], [""VSETCAB"", ""other""], [""Pennsylvania State University iGEM 2015"", ""other""], [""Center for Biological Systems Engineering"", ""other""], [""Department of Chemistry"", ""other""], [""Focht Family"", ""other""], [""Heeney/Toomey Family"", ""other""], [""Bourg Family"", ""other""], [""NSF-MCB Award #1331194"", ""other""], [""Washington University in St. Louis"", ""Washington""]]",2015.0
"[[""SZU"", ""SZU_China""], [""Amoy/XMU-China"", ""Amoy""], [""Spring"", ""other""], [""AUC TURKEY"", ""AUC_TURKEY""], [""NU Kazakhstan"", ""NU_Kazakhstan""], [""UGA iGEM team"", ""UGA-Georgia""], [""ATOMS_Turkiye"", ""ATOMS-Turkiye""], [""ATOMS Turkiye"", ""ATOMS-Turkiye""], [""METU Ankara"", ""METU_Turkey""], [""METU HS"", ""METU_HS_Ankara""]]",2015.0
"[[""TU DELFT"", ""TU_Delft""], [""HEIDELBERG"", ""Heidelberg""], [""OUC China"", ""OUC-China""], [""KU_LEUVEN"", ""KU_Leuven""], [""METU TURKEY"", ""METU_Turkey""], [""GRONINGEN"", ""Groningen""], [""BGU ISRAEL"", ""BGU_Israel""], [""Tec_Chihuahua"", ""Tec-Chihuahua""], [""NAIT EDMONTON"", ""NAIT_Edmonton""], [""AMOY"", ""Amoy""]]",2015.0
"[[""Cambridge-JIC iGEM 2015"", ""Cambridge-JIC""], [""iGEM competition"", ""other""], [""Nordic iGEM Conference"", ""other""], [""Stockholm iGEM team"", ""Stockholm""], [""other teams"", ""other""], [""Bar Crawl"", ""other""], [""Uppsala and Stockholm"", ""other""], [""annual NiC event"", ""other""], [""seeing other teams in Boston"", ""other""], [""UGA-Georgia iGEM Team"", ""UGA-Georgia""]]",2015.0
"[[""NCTU iGEM Conference"", ""NCTU_Formosa""], [""Team HSNU-TAIPEI"", ""HSNU-TAIPEI""], [""TCU"", ""TCU_Taiwan""], [""Canmore"", ""OLS_Canmore_AB_CA""], [""iGEM Nankai"", ""Nankai""], [""Santa Clara University"", ""Santa_Clara""], [""Brown University"", ""Brown_University""]]",2015.0
"[[""Purdue iGEM"", ""Purdue""],[""Sri Venkateswara College of Engineering (SVCE)"", ""other""],[""Technion Israel"", ""Technion_Israel""],[""BGIC China"", ""BGIC_China""],[""SFLS"", ""Shenzhen_SFLS""],[""Hong Kong HKUST"", ""Hong_Kong_HKUST""],[""SJTU_software"", ""SJTU-Software""],[""Nanjing University"", ""Nanjing-China""],[""Nankai University"", ""NKU_China""],[""LMU-TUM Munich"", ""LMU-TUM_Munich""]]",2016.0
"[[""University of Toronto iGEM"", ""Toronto""], [""Rose-Hulman Institute of Technology (RHIT)"", ""RHIT""], [""Purdue’s Bioscience Imaging Facility"", ""Purdue""], [""University of Exeter’s team"", ""Exeter""], [""NAWI Graz iGEM Team"", ""NAWI-Graz""], [""Rice University"", ""Rice""], [""Indian Institute of Technology Madras"", ""IIT-Madras""], [""National University of Singapore"", ""NUS_Singapore""], [""igem.today"", ""other""], [""30 teams on igem.today"", ""other""]]",2016.0
"[[""30 teams through social media"", ""other""], [""30 teams"", ""other""], [""SCUT-CHINA_B"", ""SCUT-China_B""], [""BIT experiment and Web design"", ""BIT-China""], [""NCKU graduate student"", ""NCKU_Tainan""], [""Copenhagen"", ""other""], [""Technion - Israel"", ""Technion_Israel""], [""KoreaSonyeod"", ""KoreaSonyeodul""], [""TU Darmstadt"", ""TU_Darmstadt""], [""AHUT_China and NAU-China"", ""other""]]",2016.0
"[[""CCiC"", ""other""], [""SYSU_China"", ""SYSU-CHINA""], [""high school team"", ""other""], [""iGEM"", ""other""], [""other iGEM teams"", ""other""], [""AHUT China"", ""AHUT-China""], [""William & Mary"", ""William_and_Mary""], [""Helsinki"", ""Aalto-Helsinki""], [""NYU Abu-Dhabi"", ""NYU-AD""], [""University College of London"", ""UCL""]]",2016.0
"[[""University of Virginia"", ""Virginia""], [""University of Paris-Saclay"", ""Paris_Saclay""], [""NEFU-China"", ""NEFU_China""], [""Southeast University"", ""SEU-China""], [""TMMU-China"", ""TMMU_China""], [""Sheffield iGEM Team"", ""Sheffield""], [""iGEM IONIS"", ""Ionis_Paris""], [""iGEM EVRY"", ""Evry""], [""Cardiff team"", ""Cardiff_Wales""], [""TEC CEM"", ""TecCEM""]]",2016.0
"[[""Doctor Gong Yali"", ""other""], [""Southwest Union"", ""other""], [""CCiC Conference"", ""other""], [""software teams"", ""other""], [""hardware teams"", ""other""], [""high school teams"", ""other""], [""non-iGEM research groups"", ""other""], [""another team's BioBrick Part or Device"", ""other""], [""another team's part"", ""other""], [""a construct"", ""other""]]",2016.0
"[[""another team's system"", ""other""], [""another team's software"", ""other""], [""another team's hardware project"", ""other""], [""a high-school team"", ""other""], [""MUSE Bio"", ""other""], [""NCTU"", ""NCTU_Formosa""], [""TAS TAIWAN"", ""TAS_Taipei""], [""TAS"", ""TAS_Taipei""], [""CGU"", ""CGU_Taiwan""], [""NTHU"", ""NTHU_Taiwan""]]",2016.0
"[[""NCCU"", ""other""], [""TEC GenetiX CCM"", ""other""], [""Ain Shams-Egypt"", ""Ain_Shams-Egypt""], [""NTNU Trondheim"", ""NTNU_Trondheim""], [""Edinburgh"", ""Edinburgh_OG""], [""Institute of Botany Chinese Academy of Sciences"", ""other""], [""Pumas Mexico"", ""Pumas_Mexico""], [""INMEGEN"", ""other""], [""iGem Latin-America"", ""other""], [""iGem teams"", ""other""]]",2016.0
"[[""Tec system teams"", ""other""], [""NUDT_CHINA team"", ""NUDT_CHINA""], [""SCUT-China"", ""SCUT-China_A""], [""UP_PRETORIA iGEM"", ""other""], [""BNDS-China"", ""BNDS_China""], [""Oslo team"", ""UiOslo_Norway""], [""Israel team from Tel-Hai"", ""Tel-Hai""], [""Glasgow iGEM"", ""Glasgow""], [""Westminster UK iGEM meetup"", ""Westminster_UoW""], [""Lethbridge iGEM team 2016"", ""Lethbridge""]]",2016.0
"[[""iGEM Marburg 2016"", ""Marburg""], [""BNU China 2014"", ""BNU-China""], [""Ryerson"", ""Ryerson_Toronto""], [""Ontario Genomics"", ""other""], [""Dalhousie Halifax NS"", ""Dalhousie_Halifax_NS""], [""Tsinghua University"", ""Tsinghua""]]",2016.0
"[[""Alina"", ""other""], [""iGEM Delft"", ""TUDelft""], [""TU Dresden"", ""TU_Dresden""], [""NAWI Graz"", ""NAWI_Graz""], [""Greece iGEM team"", ""Greece""], [""NYU Shanghai"", ""NYU_Shanghai""], [""iGEM Nagahama team"", ""Nagahama""], [""campfire website"", ""other""], [""May Festival"", ""other""], [""KAIT JAPAN team"", ""KAIT_JAPAN""]]",2017.0
"[[""Tokyo Tech team"", ""TokyoTech""], [""Kyoto team"", ""Kyoto""], [""Kobe team"", ""Kobe""], [""Nagahama team"", ""Nagahama""], [""Gifu team"", ""Gifu""], [""Manchester team"", ""Manchester""], [""Virginia team"", ""Virginia""], [""AQA Unesp team"", ""AQA_Unesp""], [""UChile_OpenBio-CeBiB team"", ""UChile_OpenBio-CeBiB""], [""ITB_Indonesia team"", ""ITB_Indonesia""]]",2017.0
"[[""KUAS_Korea team"", ""other""], [""IIT_Delhi team"", ""IIT_Delhi""], [""UALberta team"", ""UAlberta""], [""PARIS Bettencourt team"", ""Paris_Bettencourt""], [""Jérémy"", ""other""], [""Evry"", ""Evry_Paris-Saclay""], [""European Meetup"", ""other""], [""Aalto Helsinki"", ""Aalto-Helsinki""], [""Evry Paris-Saclay"", ""Evry_Paris-Saclay""], [""TU Dresden iGEM team"", ""TU_Dresden""]]",2017.0
"[[""German-wide Meetup"", ""other""], [""Promega"", ""other""], [""Institute of Biofunctional Polymer Materials (IPF)"", ""other""], [""TU Darmstadt"", ""TU_Darmstadt""], [""Gaston"", ""Gaston_Day_School""], [""Team Taipei-SDS"", ""TAS_Taipei""], [""IGEM Tokyo Tech"", ""TokyoTech""], [""KAIT Japan"", ""KAIT_JAPAN""], [""Team KU Leuven"", ""KU_Leuven""], [""College of Life Sciences University of Chinese Academy of Sciences"", ""UCAS""]]",2017.0
"[[""Prof. Jiangyun WANG  IBP  CAS"", ""other""], [""Prof. Xien-en ZHANG  IBP  CAS"", ""other""], [""Prof. Dianbing WANG, College of Life Sciences  UCAS in Institute of Tibetan Plateau Research  CAS"", ""other""], [""Peking University Health Science Center"", ""other""], [""Beijing National Day School"", ""other""], [""Cheng HU"", ""other""], [""Jian HUANG"", ""other""], [""Prof. Pingyong XU"", ""other""], [""Lewis Sandler"", ""other""]]",2017.0
"[[""Prof. Chunbo LOU"", ""other""], [""Wenqi PENG"", ""other""], [""Prof. Zhisheng YU"", ""other""], [""Bluepha Microbe Technology Co."", ""other""], [""China Aquaculture Website"", ""other""], [""Beijing Shuianyuge Food Company"", ""other""], [""Sturgeon Breeding Technology Engineering Center of the Chinese Academy of Fishery Sciences"", ""other""], [""Yancheng Ocean and Fisheries Bureau"", ""other""], [""Yancheng Chengdong foul water purifying factory"", ""other""], [""Dr. Haoqian ZHANG"", ""other""]]",2017.0
"[[""Leying CHEN"", ""other""], [""Xiaoding LI"", ""other""], [""Xiaohong LIU"", ""other""], [""unknown team"", ""other""], [""coli DH5α competent cells"", ""other""], [""VF2 and VR primers"", ""other""], [""EcoRI and PstI"", ""other""], [""plasmids"", ""other""], [""VectorNTI format"", ""other""], [""gDNA of Salmonella typhimurium LT2"", ""other""]]",2017.0
"[[""genomic DNA of Salmonella typhimurium LT2"", ""other""], [""iGEM Teams"", ""other""], [""fish ponds nearby"", ""other""], [""three different promotors"", ""other""], [""fish farmers"", ""other""], [""device based on sensor bacteria"", ""other""], [""buoy or platform"", ""other""], [""other teams"", ""other""], [""Tu Delft"", ""TUDelft""], [""Tu_Darmstadt"", ""TU_Darmstadt""]]",2017.0
"[[""MycroSynth"", ""other""],
 [""Gifu University"", ""Gifu""],
 [""iGEM Franconia"", ""Franconia""],
 [""other iGEM teams"", ""other""],
 [""biological themed card with iGEM Franconia"", ""Franconia""],
 [""Asia Pacific Conference"", ""other""],
 [""National Chang"", ""other""],
 [""to study metabolism regulation system of E. coli"", ""other""],
 [""for their bacterial sensor"", ""other""],
 [""for protein degradation in their system"", ""other""]]",2017.0
"[[""to evaluate activities of different promoters"", ""other""],
 [""to determine best culture conditions"", ""other""],
 [""software teams"", ""other""],
 [""hardware teams"", ""other""],
 [""high school teams"", ""other""],
 [""non-iGEM research groups"", ""other""],
 [""another team's BioBrick Part or Device"", ""other""],
 [""another team's part"", ""other""],
 [""a construct"", ""other""],
 [""another team's system"", ""other""]]",2017.0
"[[""another team's software"", ""other""], [""another team's hardware project"", ""other""], [""a high-school team"", ""other""], [""HKUST"", ""Hong_Kong_HKUST""], [""CUHK"", ""Hong_Kong_CUHK""], [""UCCKE"", ""Hong_Kong_UCCKE""], [""LPSS"", ""HK_SKHLPSS""], [""SUSTech iGEM 2017 team"", ""SUSTech_Shenzhen""], [""DIYBIO HK"", ""other""], [""Dr. Tanner"", ""other""]]",2017.0
"[[""SCUT-China-A"", ""SCUT-China_A""], [""SCAU-CHINA"", ""other""], [""Worldshaper - Wuhan"", ""Worldshaper-Wuhan""], [""WPI_Worcester Team"", ""WPI_Worcester""], [""Paris Evry"", ""Evry_Paris-Saclay""], [""Centre for Research and Interdisciplinarity (CRI) Faculty of Medicine Cochin Port-Royal South wing 2nd floor Paris Descartes University"", ""Paris_Bettencourt""], [""bettencourt.igem2017@gmail.com"", ""other""], [""teams all around the world in webinars and postcard challenge"", ""other""], [""Nordic iGEM Conference (NIC) in Copenhagen"", ""other""], [""other Swedish teams during iGEM run"", ""other""]]",2017.0
