text,year
", BioBricks Foundation

matches: [[""University of Chicago"", ""UChicago""], [""University of Illinois at Urbana-Champaign"", ""Illinois""], [""University of Calgary"", ""Calgary""], [""Synthetic Blogology"", ""other""], [""iGEM Summer Camp"", ""other""], [""Highschool Presentations"", ""other""], [""Campus Events"", ""other""], [""Outreach Kits"", ""other""], [""Project Handouts"", ""other""], [""Biological Safety"", ""other""], [""BioBricks Foundation"", ""other""]]",2009
", University of Washington, University of California, Berkeley, University of California, San Francisco

matches: [[""Notebook & Parts"", ""other""], [""University of Washington"", ""Washington""], [""University of California, Berkeley"", ""Berkeley_Software""], [""University of California, San Francisco"", ""UCSF""]]",2009
", Tokyo Metropolitan University, Osaka University, Tokyo Metropolitan University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo, Tokyo Institute of Technology, Tokyo Metropolitan University, Osaka University, University of Tokyo,",2011
"[[""Kyoto Institute of Technology KIT-Kyoto"", ""KIT-Kyoto""], [""various universities' open campus events"", ""other""], [""general public"", ""other""], [""various fields of study"", ""other""], [""various walks of life"", ""other""], [""Professor Todo and Radiation Biology and Medical Genetics Lab at Osaka University"", ""Osaka""], [""Issay Narumi and Ion Beam Mutagenesis Research Group at Japan Atomic Energy Agency"", ""Japan Atomic Energy Agency""], [""Professor Hayano and the laboratory of Hayano at the University of Tokyo and ASACUSA at CERN"", ""University of Tokyo""]]",2012
"matches: [[""UC Chile"", ""UC_Chile""],[""British Columbia"", ""British_Columbia""],[""iGEM"", ""other""],[""PSB Lab"", ""other""],[""Modelling and Mathematical Model"", ""other""],[""Human Practices"", ""other""],[""Biosafety"", ""other""],[""Whateversisoma"", ""other""],[""Biobricks"", ""other""],[""Side project and Methodology"", ""other""]]",2013
"matches: [[""Software Team"", ""other""],[""Judging Criteria"", ""other""],[""Acknowledgments"", ""other""],[""Project and Protocols"", ""other""],[""Other teams"", ""other""],[""VINEiGEM2013"", ""other""],[""iGEM teams"", ""other""],[""UBC iGEM 2013"", ""other""]]",2013
"matches: [[""Imperial College London"", ""Imperial""],[""Brasil-SP Team"", ""Brasil-SP""],[""Carnegie Mellon"", ""Carnegie_Mellon""],[""IvyTech"", ""IvyTech_SouthBend_IN""],[""University of Pittsburgh"", ""Pitt""],[""Interlab Measurement Study"", ""other""],[""other teams"", ""other""]]",2014
"matches: [[""SJTU"", ""SJTU""], [""SYSU"", ""SYSU""], [""Tsinghua A"", ""Tsinghua-A""], [""UNC-Chapel Hill"", ""UNC-Chapel_Hill""], [""IIT Kharagpur"", ""IIT_Kharagpur""], [""UChicago iGEM Team"", ""UChicago""], [""NJAU China"", ""NJAU_China""], [""ETH Zurich"", ""ETH_Zurich""], [""BNU-China"", ""BNU-China""], [""Cambridge-JIC team"", ""Cambridge-JIC""]]",2015
", another team's software, another team's hardware

[[""Aix-Marseille Université"", ""Aix-Marseille""], [""other teams"", ""other""], [""software teams"", ""other""], [""hardware teams"", ""other""], [""high school teams"", ""other""], [""non-iGEM research groups"", ""other""], [""another team's BioBrick Part or Device"", ""other""], [""another team's part"", ""other""], [""a construct"", ""other""], [""another team's system"", ""other""], [""another team's software"", ""other""], [""another team's hardware"", ""other""]]",2015
", Uppsala, Uppsala iGEM

matches: [[""another team's software"", ""other""], [""another team's hardware project"", ""other""], [""a high-school team"", ""other""], [""improving function of another team's BioBrick Part or Device"", ""other""], [""iGEM"", ""other""], [""Group D"", ""other""], [""Group E"", ""other""], [""Nordic iGEM Conference"", ""other""], [""Linköping"", ""Linkoping_Sweden""], [""UI Oslo"", ""UiOslo_Norway""], [""Uppsala"", ""Uppsala""], [""Uppsala iGEM"", ""other""]]",2015
