text,year
"[[""University of Chicago"", ""UChicago""], [""University of Illinois"", ""Illinois""], [""Tokyo"", ""Todai-Tokyo""], [""Western"", ""MoWestern_Davidson""], [""Addgene"", ""other""]]",2009
"[[""iGEM Japan"", ""other""], [""Cell Tech Lab at Osaka University"", ""Osaka""], [""Ion Beam Mutagenesis Research Group at Japan Atomic Energy Agency"", ""other""], [""Laboratory of Hayano at the University of Tokyo"", ""UT-Tokyo""], [""ASACUSA at CERN"", ""other""]]",2011
"[[""Kyoto Institute of Technology"", ""KIT-Kyoto""], [""Radiation Biology and Medical Genetics Lab at Osaka University"", ""Osaka""], [""Ion Beam Mutagenesis Research Group at Japan Atomic Energy Agency"", ""other""], [""the laboratory of Hayano at the University of Tokyo"", ""UT-Tokyo""], [""ASACUSA at CERN"", ""other""]]",2012
"The closest matches from the first list would be:

[[""Imperial College London"", ""Imperial""], [""Brasil-SP Team"", ""Brasil-SP""], [""IvyTech"", ""IvyTech_SouthBend_IN""], [""University of Pittsburgh"", ""Pitt""], [""Interlab Measurement Study"", ""other""]]",2014
"Here are the matches: [[""SJTU"", ""SJTU-BioX-Shanghai""], [""SYSU"", ""SYSU-Software""], [""Tsinghua A"", ""Tsinghua-A""], [""Paris-Saclay"", ""Paris_Saclay""], [""NJU_China"", ""NJU-China""], [""WHU_China"", ""WHU-China""], [""IPPE"", ""other""], [""VSETCAB"", ""other""], [""BNU-China"", ""BNU-CHINA""], [""Aix-Marseille Université"", ""Aix-Marseille""]]",2015
"[[""Linköping"", ""Linkoping_Sweden""], [""UI Oslo"", ""UiOslo_Norway""], [""Copenhagen"", ""UNIK_Copenhagen""], [""SDU Denmark"", ""SDU-Denmark""], [""Pasteur"", ""Pasteur_Paris""], [""HS Slovenia"", ""Slovenia_HS""], [""UChicago iGEM Team"", ""UChicago""], [""NEFU China"", ""NEFU_China""], [""Korea U Seoul"", ""Korea_U_Seoul""], [""Nanjing University"", ""NJU-China""]]",2015
"[[""Shanghai Jiao Tong University SJTU_China"", ""SJTU-BioX-Shanghai""], [""Tongji University"", ""China_Tongji""], [""National Chiao Tung University team"", ""NCTU_Formosa""], [""Center for Biological Systems Engineering"", ""other""], [""Department of Chemistry"", ""other""], [""Focht Family"", ""other""], [""Heeney/Toomey Family"", ""other""], [""Bourg Family"", ""other""], [""NSF-MCB Award #1331194"", ""other""], [""Washington University in St. Louis"", ""WashU_StLouis""]]",2015
"Here are the best matches: 

[[""Pennsylvania State University"", ""other""], [""KH2PO4"", ""other""], [""ATOMS_Turkiye"", ""ATOMS-Turkiye""], [""ATOMS Turkiye"", ""ATOMS-Turkiye""], [""METU Ankara"", ""METU_Turkey""], [""METU HS"", ""METU_HS_Ankara""], [""TU DELFT"", ""TU_Delft""], [""HEIDELBERG"", ""Heidelberg""], [""OUC China"", ""OUC-China""], [""KU_LEUVEN"", ""KU_Leuven""]]",2015
"[[""METU TURKEY"", ""METU_Turkey""], [""GRONINGEN"", ""Groningen""], [""BGU ISRAEL"", ""BGU_Israel""], [""Tec_Chihuahua"", ""Tec-Chihuahua""], [""NAIT EDMONTON"", ""NAIT_Edmonton""], [""AMOY"", ""Amoy""], [""UGA iGEM"", ""UGA-Georgia""], [""Nordic iGEM Conference"", ""other""], [""Stockholm iGEM team"", ""Stockholm""], [""Bar Crawl"", ""other""]]",2015
"[[""Uppsala University nations"", ""Uppsala""], [""UGA-Georgia iGEM Team"", ""UGA-Georgia""], [""NCTU iGEM Conference"", ""NCTU_Formosa""], [""Team HSNU-TAIPEI"", ""HSNU-TAIPEI""], [""TCU"", ""TCU_Taiwan""], [""Canmore"", ""OLS_Canmore_AB_CA""], [""iGEM Nankai"", ""Nankai""], [""Santa Clara University"", ""Santa_Clara""], [""Brown University"", ""Stanford-Brown""]]",2015
