text,year
"[[""constructed system for screening"",""work""],
[""chose"",""work""],
[""collaborated"",""work""],
[""contributed time to"",""work""],
[""raised funds with help from"",""work""],
[""worked on the wiki with"",""work""],
[""hosted by"",""work""],
[""provided equipment and reagents by"",""material transfer""],
[""mentored by"",""advice""],
[""helped by"",""advice""]]",2015.0
"Matching: 
- ""guided by"": [[""guided by"", ""advice""]]
- ""interviewed by"": [[""interviewed by"", ""work""]]
- ""donation received from"": [[""donation received from"", ""material transfer""]]
- ""allowed to present by"": [[""allowed to present by"", ""work""]]
- ""advised by"": [[""advised by"", ""advice""]]
- ""received insight from"": [[""received insight from"", ""advice""]]
- ""received genomic DNA from"": [[""received genomic DNA from"", ""material transfer""]]
- ""received help with graphics and design from"": [[""received help with graphics and design from"", ""work""]]
- ""received media coverage organized by"": [[""received media coverage organized by"", ""work""]]
- ""received media coverage from"": [[""received media coverage from"", ""work""]]",2015.0
"Matching: 
- ""is affiliated with"": [[""is affiliated with"", ""work""]]
- ""has social media accounts on"": [[""has social media accounts on"", ""other""]]
- ""collaborated with"": [[""collaborated with"", ""work""]]
- ""research on"": [[""research on"", ""work""]]
- ""works in"": [[""works in"", ""work""]]
- ""supervised by"": [[""supervised by"", ""work""]]
- ""participated in iGEM competition"": [[""participated in iGEM competition"", ""other""]]
- ""developed"": [[""developed"", ""work""]]
- ""expressed"": [[""expressed"", ""work""]]
- ""experimented with"": [[""experimented with"", ""work""]]",2015.0
"Matching: 
[[""utilized"", ""work""], 
[""used"", ""work""], 
[""talked with"", ""meetup""], 
[""researched"", ""work""], 
[""discovered"", ""work""], 
[""constructed"", ""work""], 
[""introduced"", ""work""], 
[""aimed to construct"", ""work""], 
[""broadened"", ""work""], 
[""enhanced"", ""work""]]",2015.0
"Matching: 
1. ""uses"" - [[""uses"", ""work""]]
2. ""derived components from"" - [[""derived components from"", ""material transfer""]]
3. ""received feedback from"" - [[""received feedback from"", ""advice""]]
4. ""worked with"" - [[""worked with"", ""work""]]
5. ""co-developed idea with"" - [[""co-developed idea with"", ""work""]]
6. ""received support from"" - [[""received support from"", ""advice""]]
7. ""presented concept to"" - [[""presented concept to"", ""work""]]
8. ""received assistance from"" - [[""received assistance from"", ""advice""]]
9. ""tested filters from"" - [[""tested filters from"", ""material transfer""]]
10. ""bought"" - [[""bought"", ""other""]]",2015.0
"[[""tested filter combinations with"", ""work""], [""found optimal filter combination with"", ""work""], [""sent to sequencing"", ""material transfer""], [""constructed ribothermometers with"", ""work""], [""received advice from"", ""advice""], [""changed circuit design with"", ""work""], [""repeated experiment with"", ""work""], [""isolated plasmid from"", ""material transfer""], [""transformed plasmid into"", ""material transfer""], [""repeated transformation with"", ""work""]]",2015.0
"[[""enzyme digestion of"", ""work""], [""tested ribothermometers with"", ""work""], [""processed data with"", ""work""], [""participated in iGEM"", ""other""], [""transformed"", ""work""], [""miniprepped"", ""work""], [""discussed with"", ""work""], [""updated"", ""work""], [""drafted responses to"", ""work""], [""made submission to"", ""work""]]",2015.0
"Matching: 
1. ""received updates from"" - [[received updates from, advice]]
2. ""recommended by"" - [[recommended by, advice]]
3. ""cloned melittin gene from honey bees"" - [[cloned melittin gene from honey bees, material transfer]]
4. ""improved melittin BioBrick"" - [[improved melittin BioBrick, work]]
5. ""optimized melittin sequence for E. coli expression"" - [[optimized melittin sequence for E. coli expression, work]]
6. ""compared expression levels of original and optimized melittin"" - [[compared expression levels of original and optimized melittin, work]]
7. ""registered as an iGEM team"" - [[registered as an iGEM team, other]]
8. ""completed judging form"" - [[completed judging form, other]]
9. ""documented and shared progress"" - [[documented and shared progress, other]]
10. ""instructed by"" - [[instructed by, advice]]",2015.0
"Matching: 
- [[""tested constructs in"", ""work""]]
- [[""analyzed samples at"", ""work""]]
- [[""analyzed samples using"", ""work""]]
- [[""filled survey for"", ""other""]]
- [[""filled Google forms for"", ""other""]]
- [[""mentored"", ""advice""]]
- [[""participated in competition with"", ""work""]]
- [[""concluding skype call with"", ""other""]]
- [[""lead panel discussion about"", ""work""]]
- [[""shared experiences with"", ""other""]]",2015.0
"[[""joint conclusion with"", ""work""], 
[""focused on legal aspects with"", ""work""], 
[""focused on infrastructural, educational, and social aspects with"", ""work""], 
[""found out about strict laws in Germany with"", ""work""], 
[""funded by"", ""other""], 
[""received funding from"", ""other""], 
[""donated money to"", ""other""], 
[""provided advice to"", ""advice""], 
[""provided help and a SureVector kit to"", ""material transfer""], 
[""provided samples of DNA Clean & Concentrator™ kits and Zymoclean™ Gel DNA Recovery kits to"", ""material transfer""]]",2015.0
