team,context,target,source_team,year,batch_id,chunk_id
DTU-Denmark,received support from,Marzanna Pulka-Amin,DTU-Denmark,2015,478,0
DTU-Denmark,received support from,DTU Metabolomics Platform Group,DTU-Denmark,2015,478,0
DTU-Denmark,received support from,Associate Professor Kristian Fog Nielsen,DTU-Denmark,2015,478,0
DTU-Denmark,received support from,PhD student Anne-Mette Meisner Hviid,DTU-Denmark,2015,478,0
DTU-Denmark,received support from,PhD student Anne Egholm Pedersen,DTU-Denmark,2015,478,0
DTU-Denmark,received support from,Postdoc Christopher Phippen,DTU-Denmark,2015,478,0
DTU-Denmark,received support from,PhD student Zacharias Brimnes Visby Damholt,DTU-Denmark,2015,478,0
DTU-Denmark,received support from,Charlotte Andersen,DTU-Denmark,2015,478,0
DTU-Denmark,received support from,Noor Alwan,DTU-Denmark,2015,478,0
DTU-Denmark,received support from,Simran Sidhu,DTU-Denmark,2015,478,0
DTU-Denmark,received support from,Postdoc Kai Blin,DTU-Denmark,2015,478,0
DTU-Denmark,received support from,Linas Kaminskas,DTU-Denmark,2015,478,0
DTU-Denmark,received support from,BluSense Diagnostics,DTU-Denmark,2015,478,0
DTU-Denmark,received support from,Postdoc Filippo Bosco,DTU-Denmark,2015,478,0
DTU-Denmark,received support from,Postdoc Rober Burger,DTU-Denmark,2015,478,0
DTU-Denmark,received support from,Postdoc Marco Donolato,DTU-Denmark,2015,478,0
DTU-Denmark,received support from,Mattias Parmvi,DTU-Denmark,2015,478,0
DTU-Denmark,received support from,Michael Creagh,DTU-Denmark,2015,478,0
DTU-Denmark,received support from,Mads Møller Madsen,DTU-Denmark,2015,478,0
DTU-Denmark,received support from,M.Sc.Eng Michael Schantz Klausen,DTU-Denmark,2015,478,0
KU Leuven,participated in,iGEM,KU_Leuven,2015,478,2
KU Leuven,collaborated with,other iGEM teams,KU_Leuven,2015,478,2
KU Leuven,conducted,economic potential analysis,KU_Leuven,2015,478,2
KU Leuven,researched,production of artificial bone implants,KU_Leuven,2015,478,2
KU Leuven,focused on,Spot E.Shape principles,KU_Leuven,2015,478,2
KU Leuven,analyzed,market and industry dynamics in the bone-implant industry,KU_Leuven,2015,478,2
KU Leuven,identified,driving forces for the demand of orthopaedic devices,KU_Leuven,2015,478,2
KU Leuven,studied,industry regulations and dynamics,KU_Leuven,2015,478,2
KU Leuven,collaborated with,medical device companies,KU_Leuven,2015,478,2
KU Leuven,aimed to,reduce curing time and develop a more performant device,KU_Leuven,2015,478,2
Tec-Monterrey,collaborated with,other iGEM teams,Tec-Monterrey,2015,478,4
NRP-UEA-Norwich,collaborated with,Valencia (UPV) team,NRP-UEA-Norwich,2015,478,5
