team,context,target,source_team,year,batch_id,chunk_id
FAFU-CHINA,instructor,Xiaolei Huang,FAFU-CHINA,2015.0,1,0
FAFU-CHINA,advisor,Zujian Wu,FAFU-CHINA,2015.0,1,0
FAFU-CHINA,advisor,Taiyun Wei,FAFU-CHINA,2015.0,1,0
FAFU-CHINA,advisor,Bingfeng Zhou,FAFU-CHINA,2015.0,1,0
FAFU-CHINA,advisor,Penny,FAFU-CHINA,2015.0,1,0
FAFU-CHINA,web advisor,Wenxu Wu,FAFU-CHINA,2015.0,1,0
FAFU-CHINA,dry lab,Mucheng Cai,FAFU-CHINA,2015.0,1,0
FAFU-CHINA,captain,Ruicheng Dai,FAFU-CHINA,2015.0,1,0
FAFU-CHINA,experiment designer,Changlong Lu,FAFU-CHINA,2015.0,1,0
FAFU-CHINA,vice-captain,Junhao Lu,FAFU-CHINA,2015.0,1,0
FAFU-CHINA,lecturer,Zhili Lai,FAFU-CHINA,2015.0,1,0
FAFU-CHINA,web designer,Liangdi Chen,FAFU-CHINA,2015.0,1,0
FAFU-CHINA,dry lab,Tengzhou Huang,FAFU-CHINA,2015.0,1,0
FAFU-CHINA,dry lab,Zirui Cheng,FAFU-CHINA,2015.0,1,0
FAFU-CHINA,dry lab,Yifan Tang,FAFU-CHINA,2015.0,1,0
FAFU-CHINA,data analyst,Tong Tong,FAFU-CHINA,2015.0,1,0
UCL,collaborated with,other iGEM teams,UCL,2015.0,1,1
Dalhousie_Halifax_NS,collaborated,Vasantha Rupasinghe,Dalhousie_Halifax_NS,2015.0,1,2
Dalhousie_Halifax_NS,collaborated,Melanie Coombs,Dalhousie_Halifax_NS,2015.0,1,2
Dalhousie_Halifax_NS,received contributions from,Dr. Sophia Stone,Dalhousie_Halifax_NS,2015.0,1,2
Dalhousie_Halifax_NS,received contributions from,Daryl McNeilly,Dalhousie_Halifax_NS,2015.0,1,2
Vilnius-Lithuania,collaborated with,Monika Jasnauskaitė,Vilnius-Lithuania,2015.0,1,4
Vilnius-Lithuania,collaborated with,Paulius Mielinis,Vilnius-Lithuania,2015.0,1,4
Vilnius-Lithuania,collaborated with,Monika Kairevičiūtė,Vilnius-Lithuania,2015.0,1,4
Vilnius-Lithuania,coded and designed website by,Danielius Dvareckas,Vilnius-Lithuania,2015.0,1,4
Vilnius-Lithuania,suggested wiki tweaks by,other team members,Vilnius-Lithuania,2015.0,1,4
Vilnius-Lithuania,drawn diagrams by,Ieva Savickytė,Vilnius-Lithuania,2015.0,1,4
