,type,batch_no,time_secs,failed_chunks
0,extraction,1,5.3778345584869385,[]
0,extraction,10,4.19218897819519,[]
0,extraction,100,5.179285049438477,[]
0,extraction,1000,5.4627525806427,[]
0,extraction,1001,7.928668022155762,[]
0,extraction,1002,3.2811052799224854,[]
0,extraction,1003,60.343440771102905,[4]
0,extraction,1004,2.6829159259796143,[]
0,extraction,1005,3.03556752204895,[]
0,extraction,1006,2.057041645050049,[]
0,extraction,1007,5.723577260971069,[]
0,extraction,1008,9.807692289352417,[]
0,extraction,1009,7.852717876434326,[]
0,extraction,101,3.909849166870117,[]
0,extraction,1010,3.9772653579711914,[]
0,extraction,1011,4.049272537231445,[]
0,extraction,1012,3.822700262069702,[]
0,extraction,1013,1.761810302734375,[]
0,extraction,1014,4.1261491775512695,[]
0,extraction,1015,3.952641248703003,[]
0,extraction,1016,4.957626104354858,[]
0,extraction,1017,4.191763162612915,[]
0,extraction,1018,5.150146245956421,[]
0,extraction,1019,2.031696081161499,[]
0,extraction,102,2.8148012161254883,[]
0,extraction,1020,10.107757806777954,[]
0,extraction,1021,4.5634989738464355,[]
0,extraction,1022,3.0917482376098633,[]
0,extraction,1023,3.322380542755127,[]
0,extraction,1024,3.3717386722564697,[]
0,extraction,1025,5.47092342376709,[]
0,extraction,1026,3.065204381942749,[]
0,extraction,1027,3.1313748359680176,[]
0,extraction,1028,5.55934739112854,[]
0,extraction,1029,2.4876434803009033,[]
0,extraction,103,5.54825234413147,[]
0,extraction,1030,5.065592050552368,[]
0,extraction,1031,3.423046350479126,[]
0,extraction,1032,3.8342783451080322,[]
0,extraction,1033,4.001844882965088,[]
0,extraction,1034,5.169565916061401,[]
0,extraction,1035,3.6018900871276855,[]
0,extraction,1036,3.6359379291534424,[]
0,extraction,1037,4.174838542938232,[]
0,extraction,1038,5.152212858200073,[]
0,extraction,104,0.7848937511444092,[]
0,extraction,105,8.229422807693481,[]
0,extraction,106,1.8072772026062012,[]
0,extraction,107,2.3456807136535645,[]
0,extraction,108,4.758652448654175,[]
0,extraction,109,3.623812198638916,[]
0,extraction,11,4.626905202865601,[]
0,extraction,110,3.1366634368896484,[]
0,extraction,111,5.882666826248169,[]
0,extraction,112,7.860985040664673,[]
0,extraction,113,3.072160243988037,[]
0,extraction,114,4.4869983196258545,[]
0,extraction,115,2.817617893218994,[]
0,extraction,116,3.1621673107147217,[]
0,extraction,117,7.275795221328735,[]
0,extraction,118,2.0160462856292725,[]
0,extraction,119,8.915426969528198,[]
0,extraction,12,5.109025716781616,[]
0,extraction,120,4.51918625831604,[]
0,extraction,121,2.6255154609680176,[]
0,extraction,122,10.411259651184082,[]
0,extraction,123,2.658743381500244,[]
0,extraction,124,9.152469396591187,[]
0,extraction,125,2.8698041439056396,[]
0,extraction,126,7.39991569519043,[]
0,extraction,127,7.599246025085449,[]
0,extraction,128,2.723283052444458,[]
0,extraction,129,2.64172101020813,[]
0,extraction,13,8.845945119857788,[]
0,extraction,130,4.31857442855835,[]
0,extraction,131,4.445942401885986,[]
0,extraction,132,4.828574895858765,[]
0,extraction,133,4.75883936882019,[]
0,extraction,134,1.416719675064087,[]
0,extraction,135,2.6224513053894043,[]
