,batch_no,chunk_no,status
0,1,0,1
0,1,1,1
0,1,2,1
0,1,3,2
0,1,4,1
0,1,5,1
0,1,6,1
0,1,7,2
0,1,8,1
0,10,0,2
0,10,1,2
0,10,2,2
0,10,3,1
0,10,4,1
0,10,5,1
0,10,6,1
0,10,7,2
0,10,8,1
0,10,9,1
0,10,10,2
0,10,11,1
0,10,12,1
0,10,13,2
0,10,14,2
0,100,0,1
0,100,1,2
0,100,2,2
0,100,3,1
0,100,4,1
0,100,5,1
0,100,6,2
0,100,7,1
0,100,8,1
0,1000,0,2
0,1000,1,2
0,1000,2,1
0,1000,3,2
0,1000,4,2
0,1000,5,2
0,1000,6,1
0,1000,7,2
0,1000,8,1
0,1000,9,2
0,1000,10,2
0,1001,0,2
0,1001,1,2
0,1001,2,2
0,1001,3,2
0,1001,4,1
0,1001,5,1
0,1001,6,1
0,1001,7,2
0,1001,8,1
0,1001,9,2
0,1001,10,2
0,1001,11,2
0,1001,12,1
0,1001,13,1
0,1002,0,2
0,1002,1,1
0,1002,2,1
0,1002,3,1
0,1002,4,2
0,1002,5,1
0,1002,6,2
0,1002,7,1
0,1002,8,1
0,1003,0,1
0,1003,1,2
0,1003,2,1
0,1003,3,2
0,1003,4,1
0,1003,5,2
0,1003,6,2
0,1003,7,2
0,1004,0,1
0,1004,1,1
0,1004,2,2
0,1004,3,1
0,1004,4,2
0,1004,5,2
0,1004,6,1
0,1005,0,2
0,1005,1,2
0,1005,2,2
0,1005,3,2
0,1005,4,2
0,1005,5,1
0,1005,6,1
0,1005,7,2
0,1005,8,1
0,1005,9,1
0,1005,10,1
0,1006,0,1
0,1006,1,2
0,1006,2,1
0,1006,3,2
0,1006,4,2
0,1006,5,1
0,1006,6,1
0,1006,7,1
0,1006,8,2
0,1006,9,2
0,1007,0,1
0,1007,1,2
0,1007,2,2
0,1007,3,1
0,1007,4,1
0,1007,5,2
0,1007,6,2
0,1008,0,2
0,1008,1,1
0,1008,2,2
0,1008,3,1
0,1008,4,2
0,1008,5,1
0,1008,6,1
0,1008,7,1
0,1008,8,2
0,1008,9,1
0,1008,10,2
0,1008,11,2
0,1008,12,2
0,1009,0,2
0,1009,1,2
0,1009,2,2
0,1009,3,2
0,1009,4,1
0,1009,5,1
0,1009,6,1
0,1009,7,1
0,1009,8,1
0,1009,9,2
0,1009,10,1
0,1009,11,1
0,1009,12,2
0,1009,13,1
0,101,0,1
0,101,1,1
0,101,2,2
0,101,3,1
0,101,4,2
0,1010,0,2
0,1010,1,2
0,1010,2,1
0,1010,3,2
0,1010,4,2
0,1010,5,1
0,1010,6,2
0,1010,7,2
0,1010,8,1
0,1010,9,1
0,1010,10,1
0,1010,11,1
0,1011,0,1
0,1011,1,1
0,1011,2,2
0,1011,3,2
0,1011,4,2
0,1011,5,1
0,1011,6,1
0,1011,7,1
0,1011,8,2
0,1011,9,2
0,1011,10,1
0,1011,11,2
0,1011,12,2
0,1011,13,2
0,1011,14,2
0,1011,15,1
0,1012,0,2
0,1012,1,1
0,1012,2,1
0,1012,3,1
0,1012,4,2
0,1012,5,1
0,1012,6,2
0,1012,7,2
0,1012,8,1
0,1013,0,2
0,1013,1,1
0,1013,2,2
0,1013,3,2
0,1013,4,2
0,1013,5,2
0,1013,6,2
0,1013,7,1
0,1014,0,1
0,1014,1,1
0,1014,2,1
0,1014,3,1
0,1014,4,1
0,1014,5,1
0,1014,6,1
0,1014,7,2
0,1014,8,2
0,1014,9,2
0,1015,0,2
0,1015,1,1
0,1015,2,1
0,1015,3,2
0,1015,4,1
0,1015,5,2
0,1015,6,2
0,1015,7,1
0,1015,8,1
0,1015,9,1
0,1015,10,2
0,1015,11,2
0,1015,12,2
0,1015,13,2
0,1016,0,2
0,1016,1,1
0,1016,2,2
0,1016,3,2
0,1016,4,2
0,1016,5,1
0,1016,6,2
