text,year
"[[""peptide aptamers"", ""other""], [""hTrx-based peptide aptamer"", ""other""], [""Sydnee Calhoun"", ""other""], [""Tiffany Dang"", ""other""], [""Dinula De Silva"", ""other""], [""Ronja Kothe"", ""other""], [""Jonathan Kwan"", ""other""], [""Anileen Pageni"", ""other""], [""Aum Patel"", ""other""], [""Eyram Asem"", ""other""]]",2015.0
"[[""Marissa King"", ""other""], [""Ross Oliver"", ""other""], [""Jessica Semmelrock"", ""other""], [""Sunny Sun"", ""other""], [""David Zhang"", ""other""], [""University of Lethbridge Chemistry and Biochemistry Department"", ""Lethbridge""], [""Wieden and Kothe lab"", ""other""], [""Dr. Hans-Joachim Wieden"", ""other""], [""Dr. Brian Dempsey"", ""other""], [""Advisor Kieran McCormack"", ""other""]]",2015.0
"[[""Advisor Chris Isaac"", ""other""], [""Advisor Yoyo Yao"", ""other""], [""Joe Mauro"", ""other""], [""Shannon Phillips"", ""other""], [""Ryan Carriere"", ""other""], [""Audrey and Ron King"", ""other""], [""Lethbridge School District 51"", ""other""], [""Dr. John Hasell"", ""other""], [""beekeepers"", ""other""], [""University of York"", ""York""]]",2015.0
"[[""Avril Smart"", ""other""], [""Roddy Isles"", ""other""], [""STV"", ""other""], [""BBC Radio Scotland"", ""other""], [""University of Dundee"", ""Dundee""], [""youtube.com  facebook.com  and twitter.com"", ""other""], [""iGEM team"", ""other""], [""Columbia’s labs"", ""Columbia_NYC""], [""Pace University's anti-microbial properties lab"", ""other""], [""Sway Chen"", ""other""]]",2015.0
"[[""Nathan Johns"", ""other""], [""Sonja Billerbeck"", ""other""], [""Harris Wang"", ""other""], [""BBC Radio Oxford"", ""other""], [""iGEM teams"", ""other""], [""reporter cell"", ""other""], [""GFP"", ""other""], [""test cells"", ""other""], [""lactonase"", ""other""], [""quorum sensing"", ""other""]]",2015.0
"[[""quorum quenching"", ""other""], [""Valencia UPV"", ""Valencia_UPV""], [""CRS"", ""other""], [""Ms. Ann Moriarty"", ""other""], [""Dr. Chris Pagliarulo"", ""other""], [""AI-2 pathway"", ""other""], [""other iGEM teams"", ""other""], [""Lux operon"", ""other""], [""synthetic microbial consortia MFC system"", ""other""], [""E. coli Shewanella and B. subtilis into MFC system"", ""other""]]",2015.0
"[[""new generation of MFC system using synthetic consortia"", ""other""],
[""engineered E. coli strain to provide carbon source for Shewanella"", ""other""],
[""the spectrum of carbon sources of Shewanella"", ""other""],
[""riboflavin as entry point for energy and information flow"", ""other""],
[""high-yield engineered E. coli strain producing riboflavins"", ""other""],
[""the functionality of MFC device"", ""other""],
[""Magic Lamp"", ""other""],
[""iGEM Software repository"", ""other""],
[""Gitlab"", ""other""],
[""Registry of Standard Biological Parts"", ""other""]]",2015.0
"[[""Biomedical Centre"", ""Bielefeld-CeBiTec""], [""advisors and instructors"", ""other""], [""Interlab"", ""other""], [""Module 3"", ""other""], [""Hynek Kasl"", ""other""], [""young engineering students"", ""other""], [""Veronika Kolejáková"", ""other""], [""Frauenkulturzentrum Bielefeld e.V."", ""other""], [""lee color filter catalog"", ""other""], [""Fiji imaging processing software"", ""other""]]",2015.0
"[[""Tokyo blue (071)"", ""other""], [""twickenham green (736)"", ""other""], [""Blue Bio Energy"", ""other""], [""U6-GC"", ""other""], [""U0"", ""other""], [""U6"", ""other""], [""Sue"", ""other""], [""Polly"", ""other""], [""Melody"", ""other""], [""Victor"", ""other""], [""Jodie"", ""other""]]",2015.0
"[[""quorum sensing system"", ""other""], [""promoters"", ""other""], [""PCR"", ""other""], [""Top 10F'"", ""other""], [""BL21"", ""other""], [""Top0F'"", ""other""], [""K115002"", ""other""], [""Mag"", ""other""], [""Vincent"", ""other""], [""Stony Brook"", ""Stony_Brook""]]",2015.0
"[[""lab"", ""other""], [""university supercomputers"", ""other""], [""university"", ""other""], [""potential sponsors"", ""other""], [""Mer Operon from kit-5 well-21N"", ""other""], [""SVA 1"", ""other""], [""Limonene Synthase from kit-4 well-3I"", ""other""], [""SVA 2"", ""other""], [""SVA community"", ""other""], [""team members"", ""other""]]",2015.0
"[[""project description"", ""other""], [""iGEM survey"", ""other""], [""iGEM deadline"", ""other""], [""Jen"", ""other""], [""Steph"", ""other""], [""Aachen iGEM team"", ""Aachen""], [""E. coli cells"", ""other""], [""previous year's project"", ""other""], [""dry lab team"", ""other""], [""mCherry sequence"", ""other""]]",2015.0
"[[""iGEM organization"", ""other""], [""Forschungszentrum Jülich"", ""other""], [""Jannick Kappelmann"", ""other""], [""E. coli BL21 Gold (DE3)"", ""other""], [""Prof. Dr. Wiechert"", ""other""], [""mass spectrometry"", ""other""], [""SVCE Chennai"", ""other""], [""Bettencourt team"", ""Paris_Bettencourt""], [""Uppsala University"", ""Uppsala""], [""Darmstadt"", ""TU_Darmstadt""]]",2015.0
"[[""Yorkshire Water"", ""other""], [""Agilent Technologies"", ""other""], [""Zymo Research Corporation"", ""other""], [""New England Biolabs"", ""other""], [""BABS UNSW Australia"", ""BABS_UNSW_Australia""], [""Laverne"", ""LaVerne-Leos""], [""CalTech"", ""other""], [""UCSD"", ""UCSD""], [""SDA Encanitas"", ""SDA-Encinitas""], [""TPCC San Diego"", ""TP_CC-SanDiego""]]",2015.0
"[[""CCA San Diego"", ""CCA_SanDiego""], [""Santander Universities"", ""other""], [""University of York in America"", ""York""], [""Centre for Global Programmes"", ""other""], [""Santander International Connections Awards"", ""other""], [""Cre-Lox System"", ""other""], [""toxin-antitoxin system"", ""other""], [""containment measures"", ""other""], [""self-fluxing Cre-Lox system"", ""other""], [""Navon  V; Feder  R et al."", ""other""]]",2015.0
"[[""Eren T"", ""other""], [""Som A"", ""other""], [""Chun-Xia Zhao"", ""other""], [""Mirjana Dimitrijev Dwyer"", ""other""], [""Alice Lei Yu"", ""other""], [""Yang Wu"", ""other""], [""Sheng Fang"", ""other""], [""Anton P.J. Middelberg"", ""other""], [""DAMP"", ""other""], [""TEV Protease"", ""other""], [""pSB1C3"", ""other""], [""devices"", ""other""], [""YF1"", ""other""], [""Cph8"", ""other""], [""transcription factors"", ""other""], [""BBa_J61100"", ""other""]]",2015.0
