Activity,Matching,year
"providing lab equipment, materials and space",Material Supply,2015
providing endless support,Supervision,2015
providing chemicals and apparatus,Material Supply,2015
helping with supplies and materials,Material Supply,2015
helping with finances and sponsors,Fundraising,2015
mentoring and training in lab techniques,Training,2015
answering questions and showing new methods in experimental design,Supervision,2015
providing aid and being an extra voice,Supervision,2015
contributing chemicals needed to express and purify proteins,Material Supply,2015
inspiring the 'scaffococcus' project,Other,2015
providing expertise and support,Supervision,2015
inspiring and showing possibilities in synthetic biology,Human Practices,2015
supporting young researchers,Training,2015
cloning,Experiments,2015
lactis growth,Experiments,2015
protein expression and purification,Experiments,2015
protein assays,Experiments,2015
lab waste management,Safety,2015
finance,Fundraising,2015
administration,Administration,2015
project design,Design,2015
cloning,Experiments,2015
expression vector design,Design,2015
parts description,Parts,2015
testing,Experiments,2015
refills materials and stock solutions,Material Supply,2015
lb/gel master,Experiments,2015
collaboration and outreach with the community,Collaboration,2015
pcr master,Experiments,2015
study circadian rhythms in rodents and their possible role in alzheimer's disease,Other,2015
research on neuroeconomics using optogenetics,Experiments,2015
miss chinese montreal,Other,2015
miss chinese international 2nd runner up 2014,Other,2015
co-founder of bricobio,Entrepreneurship,2015
addicted to coffee,Other,2015
master chef,Other,2015
play bass,Other,2015
wiki developer,Documentation,2015
world traveler,Other,2015
person who person-ed,Other,2015
worked mainly on the wetware component of this project,Experiments,2015
designing hardware for the team's various experiments and the occasional repair,Hardware,2015
math adviser,Supervision,2015
helping dionne learn spanish,Other,2015
resolving dermal ailments such as when chris gets sunburnt,Other,2015
making susung's software into hardware,Hardware,2015
hunting down pcr machines,Material Supply,2015
being good at games,Other,2015
teaching kobe how to ball,Training,2015
working on the wetwork,Experiments,2015
being the real boss,Other,2015
not being pants,Other,2015
mentoring the team,Supervision,2015
being the mastermind behind igem at cooper union,Administration,2015
setting up experiments at 2 am,Experiments,2015
"running genspace, the first community biohacking lab",Material Supply,2015
continuation of work started by the 2014 cooper union igem team,Collaboration,2015
designed and built loomino,Hardware,2015
programmed the arduino,Hardware,2015
ensured that the biology of loomino was possible,Design,2015
assistance on the design of the device,Design,2015
allowed us to properly plan for taking the project into the next step,Design,2015
explained the possibility of using microfluidics to improve on the current model,Design,2015
collaborated to insure that all these different parts would work together,Collaboration,2015
coding the arduino to control the loomino device,Hardware,2015
genetic engineering components,Experiments,2015
tdt based experiments,Experiments,2015
designed sequences,Design,2015
ran digests and ligations,Experiments,2015
transformed bacteria,Experiments,2015
protocols involving preparation of glass slides,Experiments,2015
bought ice cream maker,Other,2015
waiting for belgian waffle maker,Other,2015
expect to find the question,Other,2015
science can be collaborative and involved,Collaboration,2015
growing need for empathy and social conscience in science,Human Practices,2015
importance of human practices in research,Human Practices,2015
biology and computer science complement each other,Other,2015
changing view on science,Other,2015
immersing in science and becoming comfortable in lab environment,Training,2015
interacting with diverse group of people,Human Practices,2015
interested in ethics and making a difference in people's lives,Human Practices,2015
biology can offer solutions to various problems,Human Practices,2015
spearheaded the policy and practices,Human Practices,2015
assisting on the wiki,Documentation,2015
designed the wiki,Documentation,2015
taught everyone how to put up content,Training,2015
characterisation of parts,Parts,2015
policy and practices,Human Practices,2015
design and execution of characterisation of parts,Parts,2015
interlab measurements,Interlab,2015
general molecular biology,Experiments,2015
modeled and designed the physical device,Modelling,2015
software design,Software,2015
design and creation of the 71 biobricks,Parts,2015
interlab study,Interlab,2015
molecular biology,Experiments,2015
enzyme characterisation,Experiments,2015
integrating biology with engineering,Design,2015
reading,Other,2015
painting,Creative Contributions,2015
travelling,Other,2015
working in teams with synthetic biology,Collaboration,2015
playing football,Other,2015
listening to music,Other,2015
cooking,Other,2015
joining the igem team,Other,2015
hurting people's feelings,Other,2015
working on modeling,Modelling,2015
working on the wiki,Documentation,2015
playing guitar,Other,2015
watching always sunny reruns,Other,2015
gaining understanding and experience of being a researcher,Other,2015
playing the piano,Other,2015
running,Other,2015
fencing,Other,2015
fascinated with the multidisciplinary focus of the competition,Other,2015
skiing,Other,2015
blogging,Other,2015
participating in the project,Other,2015
presenting and communicating with the general public,Public Engagement,2015
swimming,Other,2015
watching sci-fi movies,Other,2015
gaining lab experience,Training,2015
gaming,Other,2015
playing tennis,Other,2015
pursuing a career in research,Other,2015
reading books,Other,2015
baking,Other,2015
trekking,Other,2015
teaching and entertaining students,Training,2015
helping the wet lab team,Experiments,2015
researching protein-protein/protein-ligand interactions,Analysis,2015
researching amyloid assembly,Analysis,2015
studying biochemistry,Analysis,2015
researching chlorophyll and haem biosynthesis,Analysis,2015
researching e. coli respiration,Analysis,2015
developing mathematical models for biological systems,Modelling,2015
"analyzing and predicting protein function, structure, and interactions",Analysis,2015
analyzing genetic variation,Analysis,2015
part of the policy and practice team,Human Practices,2015
developed the model of our system,Modelling,2015
part of the wet lab team,Experiments,2015
involved in lab work,Experiments,2015
part of the main lab team,Experiments,2015
responsible for creating our posters and envirowire logo,Creative Contributions,2015
part of the main wet lab team,Experiments,2015
contributed mainly to the wet lab team,Experiments,2015
involved in the policies and practise aspect of our project,Human Practices,2015
supervisor,Supervision,2015
advisor,Supervision,2015
funding from northeast forestry university,Fundraising,2015
"funding from college of life science, northeast forestry university",Fundraising,2015
"funding from college of forestry, northeast forestry university",Fundraising,2015
"funding from college of science, northeast forestry university",Fundraising,2015
use of laboratory space from discipline of developmental biology,Material Supply,2015
access to laboratory equipment from discipline of developmental biology,Material Supply,2015
guidance from discipline of developmental biology,Supervision,2015
"help in designing the template of their wiki from wuhan wonmay web service co.,ltd",Administration,2015
"assistance in improving their online platform, flight igem, from team nudt-china",Collaboration,2015
help from previous igemers for sharing their experience and giving useful suggestions,Collaboration,2015
generated by flight igem,Other,2015
molecular biology lab,Experiments,2015
synthetic biology,Design,2015
genetic engineering,Design,2015
interwoven fields of science,Design,2015
participated in igem teams,Collaboration,2015
"synthetic chemistry, chemical biology, and synthetic biology",Design,2015
biophysics,Design,2015
provided project support and advice,Supervision,2015
taught lab techniques,Training,2015
provided advice at all stages of the project,Supervision,2015
contributed feedback and critique of data collection,Supervision,2015
aided with obtaining supplies and chemicals,Material Supply,2015
provided lab space,Material Supply,2015
provided supplies and chemicals,Material Supply,2015
aided with lab equipment usage,Material Supply,2015
gathered funding from various university sources,Fundraising,2015
took care of logistics of forming a university team,Administration,2015
provided generous funding from the bioengineering department at the swanson school of engineering,Material Supply,2015
provided dna donations,Material Supply,2015
supplied plasmids,Material Supply,2015
involved in making a successful igem team,Collaboration,2015
provided generous funding,Fundraising,2015
assisted us in cloning strategies,Supervision,2015
provided us all the amenities whenever required,Material Supply,2015
provided us with the chemicals and glasswares when needed,Material Supply,2015
aided us with additional chemicals whenever required,Material Supply,2015
aided us by delivering all the g-blocks included in our project on time,Material Supply,2015
provided us the primers required,Material Supply,2015
provided us the enzymes required,Material Supply,2015
provided pseudomonas aeruginosa strains and escherichia coli bl21 strains,Material Supply,2015
supportive by accompanying us during night stays in our college,Other,2015
provided timely support to our team in all the shipping procedures,Material Supply,2015
designed our team's official banner,Creative Contributions,2015
provided support regarding funding,Fundraising,2015
provided advice regarding clinical trials and future prospects of our project,Supervision,2015
helped in finalising our project idea,Design,2015
designed the website,Documentation,2015
provided technical support for uploading our documentation into our website,Documentation,2015
aided the team with all the conceptual ideas and facts,Design,2015
efficiently assisted the team on various technical concepts,Supervision,2015
helped the team in cloning strategies and supported in synthetic biology works,Experiments,2015
working on microbiology works and wiki design,Experiments,2015
working on microbiology works and wiki design,Documentation,2015
working in labs and part of the microbiology team,Experiments,2015
working in labs and part of the microbiology team,Collaboration,2015
team coordinator and involved in synthetic biology,Administration,2015
active member of the human practices and funding team,Human Practices,2015
active member of the human practices and funding team,Fundraising,2015
active member of the microbiology team and involved in social welfare,Experiments,2015
active member of the microbiology team and involved in social welfare,Human Practices,2015
vice president of the team and involved in synthetic biology work,Administration,2015
vice president of the team and involved in synthetic biology work,Experiments,2015
"part of the funding team and works diligently for the human practices, lab works, and wiki design",Fundraising,2015
"part of the funding team and works diligently for the human practices, lab works, and wiki design",Human Practices,2015
"part of the funding team and works diligently for the human practices, lab works, and wiki design",Documentation,2015
active member of the human practices team,Human Practices,2015
wiki page designer and member of the human practices team,Human Practices,2015
contributed a major part to the human practices team,Human Practices,2015
part of the microbiology team,Experiments,2015
responsible for updating the wiki page and active in social media,Documentation,2015
in charge of the funding team and integral part of the synthetic biology team,Entrepreneurship,2015
vibrant member of the microbiology team,Experiments,2015
part of the human practices team and budding entrepreneur,Human Practices,2015
responsible for the wiki page updates,Documentation,2015
member of the human practices team,Human Practices,2015
contributed well for the team's collaboration and part of the human practices,Collaboration,2015
contributed well for the team's collaboration and part of the human practices,Human Practices,2015
lab team,Administration,2015
poster team,Creative Contributions,2015
web team co-leader,Administration,2015
human practices leader,Human Practices,2015
lab team co-leader,Administration,2015
project leader,Administration,2015
vice captain,Administration,2015
poster team leader,Creative Contributions,2015
human practices,Human Practices,2015
team captain,Administration,2015
lab team,Experiments,2015
website team,Documentation,2015
poster team,Documentation,2015
human practices team,Human Practices,2015
the joseph lab,Collaboration,2015
"university of california, san diego",Collaboration,2015
j. craig venter institute,Collaboration,2015
the hasty lab,Collaboration,2015
"works with the dna, which is inserted into the moss",Experiments,2015
manipulation of moss in spacemoss' green lab,Experiments,2015
works on experiments which simulate the conditions on mars,Experiments,2015
works with outreach and film editing,Public Engagement,2015
doing transformations of moss and purification of plasmids in e. coli,Experiments,2015
working with outreach and web development,Public Engagement,2015
designing experiments to test if the moss has obtained the wished ability,Experiments,2015
spacemoss' photographer and designer,Creative Contributions,2015
working on a new logo for spacemoss,Creative Contributions,2015
optimizing our poster for our presentation at mit in boston,Creative Contributions,2015
works with webdesign,Software,2015
building the experiments that test our moss in red lab,Experiments,2015
worked with branding and funding,Entrepreneurship,2015
helping with the moss transformations in green lab,Experiments,2015
participated in the moss transformations,Experiments,2015
participated in the subsequent experiments testing the results in red lab,Experiments,2015
helped with the lab work and wiki design,Documentation,2015
advice on experimental design,Supervision,2015
provided lab and office space,Material Supply,2015
taught how to handle moss and propagation moss cultures,Training,2015
helped with experimental design,Design,2015
provided protocols for pcr and purification of dna,Experiments,2015
guided us from the start,Supervision,2015
helped with outreach and funding,Public Engagement,2015
advice and guidance throughout the project,Supervision,2015
moss guru and space enthusiast,Other,2015
gave feedback and provided supervision,Supervision,2015
"helped with homepage, posters, connections, finances, coordination, arrangements",Administration,2015
igem project leader and expert in terpenoids,Supervision,2015
scientific advisor on mars-related topics,Supervision,2015
provided advice and support on sesquiterpenoids production in moss,Supervision,2015
guided team in using the jens-martin mars-chamber,Hardware,2015
helped with brainstorming experiments for red lab,Experiments,2015
designed the team logo,Creative Contributions,2015
helped with moss transformation and idea generation,Experiments,2015
artist behind the spacemoss comic,Creative Contributions,2015
helped with arduino software and hardware,Hardware,2015
ran lc-ms on moss samples with resveratrol,Experiments,2015
helpful in general and knew where to find materials,Other,2015
helped with extraction of plant material,Experiments,2015
supervisor,Supervision,2015
advisor,Supervision,2015
teaching lab staff,Training,2015
financial support,Fundraising,2015
microscopy,Experiments,2015
imaging reagents,Material Supply,2015
nmr experiments,Experiments,2015
statistical analysis,Analysis,2015
modeling,Modelling,2015
polyphosphate assay,Experiments,2015
graphic design officer,Creative Contributions,2015
biology supplies and goods services staff,Material Supply,2015
plasmids,Parts,2015
venue,Administration,2015
outreach event,Public Engagement,2015
discussion group,Public Engagement,2015
outreach workshop,Public Engagement,2015
talk,Public Engagement,2015
flight bookings,Administration,2015
responsible for synthetic construct design,Design,2015
managed dry lab research,Analysis,2015
planning project with team,Design,2015
designing parts,Parts,2015
ordering primers,Material Supply,2015
led molecular biology team in research,Supervision,2015
worked on dry lab aspects,Analysis,2015
worked on wet lab aspects,Experiments,2015
participated in outreach activities,Public Engagement,2015
managed social media accounts,Public Engagement,2015
managed team collaborations,Collaboration,2015
worked in molecular biology team,Experiments,2015
uploaded content to wiki,Documentation,2015
designed poster for giant jamboree,Creative Contributions,2015
worked on research and lab work,Experiments,2015
organised travel to boston,Administration,2015
secured sponsorships,Fundraising,2015
maintained supplies for lab,Material Supply,2015
general budgeting,Administration,2015
involved with outreach and human practices work,Human Practices,2015
presented project at giant jamboree,Public Engagement,2015
specialised in phosphate assay,Experiments,2015
specialised in business plan,Entrepreneurship,2015
designed phosphate measurement experiments,Experiments,2015
wrote team's business plan,Entrepreneurship,2015
participated in dry lab research,Analysis,2015
guided phosphate and growth assay teams,Supervision,2015
scheduled plate reader experiments,Experiments,2015
managed overnight cultures,Experiments,2015
analysed data,Analysis,2015
worked on project model,Modelling,2015
worked on growth assay team,Experiments,2015
designed wiki template,Documentation,2015
formatted wiki content,Documentation,2015
worked in phosphate assay team,Experiments,2015
designed and distributed flyers,Public Engagement,2015
held dna extraction demonstrations,Public Engagement,2015
attended discussions with various groups,Human Practices,2015
worked in growth assay team,Experiments,2015
helped analyze phosphate assay team's work,Analysis,2015
helped with coding on wiki page,Software,2015
participated in outreach events,Public Engagement,2015
contributed to animations in presentation,Creative Contributions,2015
contributed to drawings on registry of standard biological parts,Creative Contributions,2015
helped with social media updates,Public Engagement,2015
helped with dry lab research,Analysis,2015
helped with imaging of phosphate,Experiments,2015
used confocal microscopy and dapi staining,Experiments,2015
outreach work,Public Engagement,2015
working with the phosphate assay team,Experiments,2015
concert orchestra,Other,2015
ballet society,Other,2015
molecular biology experiments,Experiments,2015
designing synthetic gene constructs,Design,2015
growth assay aspect of the project,Experiments,2015
outreach program,Public Engagement,2015
master animator,Creative Contributions,2015
social media team,Public Engagement,2015
growth assay team,Experiments,2015
developing a functional test,Design,2015
wiki page,Documentation,2015
chief engineer of the university of york radio station,Other,2015
confocal microscopy imaging,Experiments,2015
fluorescence-based sensitive assays,Experiments,2015
measurement of micromolar concentrations of polyphosphate,Experiments,2015
cancer research,Other,2015
essayist,Other,2015
polyglot,Other,2015
art critic,Other,2015
molecular biology team,Other,2015
maintaining social media accounts,Public Engagement,2015
organising team events,Collaboration,2015
wiki team,Documentation,2015
working on society committees,Administration,2015
research and lab work,Experiments,2015
organising travel to boston,Administration,2015
securing sponsorships,Fundraising,2015
maintaining supplies for the lab,Material Supply,2015
outreach,Public Engagement,2015
human practices aspects of the project,Human Practices,2015
organising analysis of engineered e.coli,Analysis,2015
creating phosphate and polyphosphate assay,Experiments,2015
writing team's business plan,Entrepreneurship,2015
outdoors,Other,2015
rugby season,Other,2015
working on growth and phosphate assays,Experiments,2015
wiki work,Documentation,2015
whiskey,Other,2015
phosphate assay,Experiments,2015
growth assay preparation,Experiments,2015
canned tuna instagram,Public Engagement,2015
dry lab research,Analysis,2015
co-ordinating and participating in outreach activities,Public Engagement,2015
badger hill primary school,Public Engagement,2015
igem open day at st helen's church in york,Public Engagement,2015
volunteering,Other,2015
yoga,Other,2015
playing flute,Other,2015
advising the team,Supervision,2015
igem instructor,Training,2015
getting team funding,Fundraising,2015
recruiting new members,Collaboration,2015
liaising with members of staff,Administration,2015
trying international cuisine,Other,2015
traveling,Other,2015
taking part in quizzes,Other,2015
politics,Other,2015
foreign affairs,Other,2015
international relations,Other,2015
phd student,Other,2015
helping igem team find chemical solutions to analysing biological reactions,Experiments,2015
tinkering with e. coli,Experiments,2015
tinkering with membrane transporter proteins,Experiments,2015
walking,Other,2015
history of microbiology,Other,2015
city of york,Other,2015
running the york igem team,Administration,2015
research on antibiotic producing bacteria streptomyces,Experiments,2015
studying interactions between bacteriophage and their hosts,Experiments,2015
gabriel dominguez,Other,2016
giulio barth,Other,2016
scott fukuoka,Other,2016
alex codik,Other,2016
motivation for project,Other,2016
establish protocols and troubleshoot,Experiments,2016
funding project,Fundraising,2016
kite surf,Other,2016
majoring in biochemistry,Other,2016
majoring in electrical engineering,Other,2016
completed an undergrad degree in bioengineering,Training,2016
enjoy painting and drawing,Creative Contributions,2016
bioengineering,Design,2016
legalese,Human Practices,2016
entered the competition,Collaboration,2016
helped raise funds,Fundraising,2016
lent a helping hand,Collaboration,2016
completed lab work without outside help,Experiments,2016
met up at short notice,Collaboration,2016
had a coherent unit,Collaboration,2016
had a diverse skillset,Other,2016
head,Administration,2016
jamboree,Collaboration,2016
boy's school,Other,2016
lending a helping hand,Collaboration,2016
coherent unit,Collaboration,2016
primary skillset,Other,2016
skillsets,Other,2016
leader,Administration,2016
attended numerous conferences,Other,2016
interned at cybio and labgenius,Administration,2016
contributed to research,Experiments,2016
contributed to experimental design,Design,2016
contributed to the wiki,Documentation,2016
physicist,Other,2016
biologist,Other,2016
chemist,Other,2016
mathematician,Other,2016
badgering potential sponsors,Fundraising,2016
head of human practices,Human Practices,2016
writer,Documentation,2016
carried out experiments,Experiments,2016
searched for sponsors,Fundraising,2016
wrote articles,Documentation,2016
pipette-wielding experimentalist,Experiments,2016
contributed to mini-prep isolation,Experiments,2016
contributed to restriction digests,Experiments,2016
contributed to ligation,Experiments,2016
contributed to purification,Experiments,2016
artist,Creative Contributions,2016
scientist,Supervision,2016
contributed to experiments,Experiments,2016
helped whenever necessary,Collaboration,2016
involved in experiments,Experiments,2016
researched topics,Design,2016
contributed to lab work,Experiments,2016
speaks russian,Other,2016
researcher,Supervision,2016
wrote biographies,Documentation,2016
pi,Supervision,2016
organized project,Administration,2016
taught team about synthetic biology,Training,2016
meticulous attention to detail,Other,2016
taught microbiological techniques,Training,2016
discussed methods for working with synechocystis pcc6803,Training,2016
helped fund the project,Fundraising,2016
consulted on health and safety for gmo work,Safety,2016
advised on cloning strategies and gel stain,Experiments,2016
led the wiki support,Documentation,2016
created charcoal drawings for the wiki,Creative Contributions,2016
assisted with copying and pasting code for the wiki,Documentation,2016
helped print the poster,Creative Contributions,2016
researched human practices aspects of the project,Human Practices,2016
edited articles for the newspaper,Public Engagement,2016
supported the team's working schedules,Administration,2016
cryptogerm art,Creative Contributions,2016
cryptogerm logo,Creative Contributions,2016
cryptogerm original design,Creative Contributions,2016
teamwork icon,Creative Contributions,2016
connection icon,Creative Contributions,2016
software engineering icon,Software,2016
idea settings icon,Design,2016
toolbox icon,Hardware,2016
dna icon,Parts,2016
scissors icon,Parts,2016
petri icon,Experiments,2016
check mark icon,Documentation,2016
erlenmeyer flask icon,Experiments,2016
up icon,Other,2016
plus icon,Other,2016
minus icon,Safety,2016
safety goggle icon,Safety,2016
lab coat icon,Safety,2016
forbidden food icon,Safety,2016
hand washing icon,Safety,2016
checked icon,Safety,2016
video editing,Creative Contributions,2016
igem giant jamboree photos,Creative Contributions,2016
modelling,Modelling,2016
software & wiki,Software,2016
software & wiki,Documentation,2016
aes in javascript,Software,2016
crc16-ccitt in javascript,Software,2016
modelling feedback,Modelling,2016
modelling inspiration,Modelling,2016
human practices management,Human Practices,2016
human practices,Human Practices,2016
cbrn safety and security,Safety,2016
comments on project development,Documentation,2016
collection manager,Documentation,2016
regulations for genetically modified bacteria,Safety,2016
survey feedback,Human Practices,2016
lab work,Experiments,2016
supplying spirofloxacin,Material Supply,2016
feedback,Other,2016
equipment support,Material Supply,2016
tips and tricks on bacillus subtilis,Training,2016
tips and tricks on pdr111 plasmid,Training,2016
plate reader support,Hardware,2016
facs data analysis support,Analysis,2016
rescuing spores,Experiments,2016
withdrew from team,Other,2016
moral support,Other,2016
supervising ilona's internship,Supervision,2016
spiritual support and inspiration,Other,2016
presentation coaching,Creative Contributions,2016
audio and video support,Creative Contributions,2016
chairwoman of igem team groningen,Administration,2016
master in molecular biology and biotechnology,Other,2016
running in the mud,Other,2016
popcorn cook,Other,2016
knitting socks,Other,2016
educational work,Training,2016
coordinating public relations,Public Engagement,2016
bachelors in biomedical sciences,Other,2016
teaching degree,Training,2016
master in medical and pharmaceutical drug innovation,Other,2016
chilling with a good book,Other,2016
skating,Other,2016
volleyball,Other,2016
lab manager,Administration,2016
biomedical lab research,Experiments,2016
molecular biology,Experiments,2016
synthetic biology,Experiments,2016
obtaining lab equipment,Material Supply,2016
planning labwork,Administration,2016
ensuring biological safety,Safety,2016
proofreading emails,Documentation,2016
writing assignments,Documentation,2016
contacting potential sponsors,Fundraising,2016
artwork,Creative Contributions,2016
taking photos,Creative Contributions,2016
landscapes photography,Creative Contributions,2016
urban photography,Creative Contributions,2016
gardening,Other,2016
hiking trips,Other,2016
wet lab,Experiments,2016
masters in behavioral & cognitive neuroscience,Other,2016
spicy food,Other,2016
cooking with friends,Other,2016
observing animals,Other,2016
planning travel to boston,Administration,2016
human practices,Human Practices,2016
eurovision fan,Other,2016
cinephile,Other,2016
failed writer,Other,2016
party boy,Other,2016
mexican dancer,Other,2016
tequila lover,Other,2016
fiesta lover,Other,2016
sombreros lover,Other,2016
italian member,Collaboration,2016
playing with numbers and computers,Software,2016
artificial intelligence master student,Software,2016
computing mathematical models,Modelling,2016
playing chess,Other,2016
making noise with electric guitars,Other,2016
jogging in the rain,Other,2016
colorblind,Other,2016
