Activity,Matching,year
"providing lab equipment, materials and space",Material Supply,2015
endless support,Supervision,2015
chemicals and apparatus,Material Supply,2015
helping for supplies and materials,Material Supply,2015
"helping us sort finances, sponsors and other things relating to the dry lab",Fundraising,2015
training in various lab techniques,Training,2015
answering questions and showing new methods in experimental design,Supervision,2015
aid and being an extra voice,Supervision,2015
contribution of chemicals for expressing and purifying proteins,Material Supply,2015
gave the idea for 'scaffococcus' project,Design,2015
"expertise, endless support, and challenging us to do better",Supervision,2015
inspiring us and showing the broad possibilities in synthetic biology,Human Practices,2015
cloning,Experiments,2015
lactis growth,Experiments,2015
protein expression and purification,Experiments,2015
protein assays,Experiments,2015
lab waste management,Safety,2015
finance,Fundraising,2015
administration,Administration,2015
project design,Design,2015
cloning,Experiments,2015
expression vector design,Design,2015
parts description,Parts,2015
testing,Experiments,2015
refills materials and stock solutions,Material Supply,2015
collaboration and outreach,Collaboration,2015
collaboration and outreach,Public Engagement,2015
pcr,Experiments,2015
study circadian rhythms in rodents,Experiments,2015
research on neuroeconomics using optogenetics,Experiments,2015
co-founder of bricobio,Entrepreneurship,2015
Modelling,Supervision,2015
wiki developer,Documentation,2015
world traveler,Other,2015
person who person-ed,Other,2015
worked mainly on the wetware component,Experiments,2015
designing hardware for the team's various experiments,Hardware,2015
repair,Other,2015
helping dionne learn spanish,Other,2015
partner-in-crime in csa,Other,2015
exercise eloquent oral skills in toastmasters,Public Engagement,2015
resolve dermal ailments,Other,2015
make susung's software into hardware,Software,2015
make susung's software into hardware,Hardware,2015
hunting down pcr machines,Material Supply,2015
carry the team,Other,2015
work on the wetwork,Experiments,2015
destroy keith at nba2k15,Other,2015
implied interest in genetics,Other,2015
do transformations and pcr clean up,Experiments,2015
mastermind behind igem at cooper union,Administration,2015
manage genspace,Administration,2015
manage genspace,Material Supply,2015
designed and built loomino,Design,2015
designed and built loomino,Hardware,2015
programmed the arduino,Hardware,2015
programmed the arduino,Software,2015
ensured the biology of loomino was possible,Design,2015
ensured the biology of loomino was possible,Safety,2015
bought my very first ice cream maker,Other,2015
expect to find the question,Other,2015
working with the people who will be impacted by our device,Human Practices,2015
going to amsterdam to help incorporate human practices,Human Practices,2015
interested in getting more informaticians to realise the sentiment,Public Engagement,2015
connecting different technologies from contrasting disciplines,Design,2015
interact with a very diverse group of people,Public Engagement,2015
make a difference in lives of people caught in real struggle,Human Practices,2015
starting my career and exploring the possibilities of synthetic biology,Other,2015
supervising in the lab,Supervision,2015
organising team presentation training,Training,2015
providing assistance in the design and execution of lab experiments,Supervision,2015
providing assistance in the design and execution of lab experiments,Experiments,2015
providing experimental design input,Design,2015
providing input and provision of lab materials,Material Supply,2015
"providing inspiration, input, team support, lab space and materials",Supervision,2015
"providing inspiration, input, team support, lab space and materials",Material Supply,2015
providing feedback on our human practices content and activities,Supervision,2015
providing feedback on our human practices content and activities,Human Practices,2015
"providing feedback on experiments, presentations and poster",Supervision,2015
providing assistance in the lab,Supervision,2015
providing input on the biological approach behind our project,Design,2015
offering assistance and input on the modeling of our biosensor,Supervision,2015
offering assistance and input on the modeling of our biosensor,Modelling,2015
designing our project's logo,Creative Contributions,2015
providing photographs of edinburgh,Documentation,2015
providing help and material for laser cutting and 3d printing,Hardware,2015
spearheading the policy and practices,Human Practices,2015
assisting on the wiki,Documentation,2015
designing the wiki,Documentation,2015
teaching how to put up content,Training,2015
characterisation of parts,Parts,2015
policy and practices,Human Practices,2015
design and execution of characterisation of parts,Design,2015
design and execution of characterisation of parts,Parts,2015
input for the policy and practices,Human Practices,2015
assisting with interlab measurements,Interlab,2015
general molecular biology,Experiments,2015
modeling the physical device,Modelling,2015
designing the physical device,Design,2015
designing the physical device,Hardware,2015
designing its software,Software,2015
design and creation of the 71 biobricks,Design,2015
design and creation of the 71 biobricks,Parts,2015
in charge of the interlab study,Interlab,2015
molecular biology,Experiments,2015
making cell lysates for enzyme characterisation,Experiments,2015
assisted in the interlab study,Interlab,2015
part of the kent igem team,Other,2015
looking into doing further research,Design,2015
writing short stories,Creative Contributions,2015
reading,Other,2015
painting,Creative Contributions,2015
travelling,Other,2015
play for a local mens football team,Other,2015
listening to music,Other,2015
cooking,Other,2015
working on the modeling,Modelling,2015
working on the wiki,Documentation,2015
play guitar,Other,2015
play the piano,Other,2015
running,Other,2015
fencing,Other,2015
skiing,Other,2015
blogging,Public Engagement,2015
swimming,Other,2015
watching sci-fi movies,Other,2015
gaming,Other,2015
playing tennis,Other,2015
read books,Other,2015
bake,Other,2015
trek,Other,2015
teaching,Training,2015
helped the wet lab team,Supervision,2015
senior lecturer in chemical biology,Supervision,2015
lecturer in microbial biochemistry,Supervision,2015
helped the modeling team,Supervision,2015
helped the modeling team,Modelling,2015
idea to create a monte carlo simulation,Modelling,2015
member of the cytogenomics and bioinformatics group,Analysis,2015
developed model of amyloid nanowires,Modelling,2015
rendered equations into new software tool,Software,2015
rendered 3d animations of system,Software,2015
created code for wiki pages,Software,2015
created code for wiki pages,Documentation,2015
helped unitn igem team with model,Supervision,2015
