Activity,Matching,year
helping with supplies and materials,Material Supply,2015
"helping sort finances, sponsors, and other things related to the dry lab",Fundraising,2015
"helping sort finances, sponsors, and other things related to the dry lab",Administration,2015
being available to help in dire needs,Supervision,2015
training in various lab techniques,Training,2015
being available to answer questions,Supervision,2015
showing new methods in experimental design,Training,2015
showing new methods in experimental design,Design,2015
providing aid,Supervision,2015
being an extra voice,Supervision,2015
contributing chemicals for protein expression and purification,Material Supply,2015
contributing chemicals for protein expression and purification,Experiments,2015
inspiring the 'scaffococcus' project,Design,2015
providing expertise and support,Supervision,2015
challenging the team to do better,Supervision,2015
inspiring the team,Supervision,2015
showing broad possibilities in synthetic biology,Public Engagement,2015
cloning,Experiments,2015
lactis growth,Experiments,2015
protein expression and purification,Experiments,2015
protein assays,Experiments,2015
lab waste management,Safety,2015
finance,Fundraising,2015
administration,Administration,2015
project design,Design,2015
cloning,Experiments,2015
cloning,Parts,2015
expression vector design,Design,2015
expression vector design,Parts,2015
parts description,Parts,2015
parts description,Documentation,2015
testing,Experiments,2015
testing,Analysis,2015
refills materials and stock solutions,Material Supply,2015
collaboration,Collaboration,2015
outreach,Public Engagement,2015
pcr,Experiments,2015
administration,Administration,2015
project design,Design,2015
cloning,Experiments,2015
cloning,Parts,2015
expression vector design,Design,2015
expression vector design,Parts,2015
parts description,Parts,2015
parts description,Documentation,2015
testing,Experiments,2015
testing,Analysis,2015
refills materials and stock solutions,Material Supply,2015
collaboration,Collaboration,2015
outreach,Public Engagement,2015
pcr,Experiments,2015
wiki development,Documentation,2015
worked mainly on the wetware component of the project,Experiments,2015
designing hardware for the team's various experiments,Hardware,2015
repairing hardware,Hardware,2015
math adviser,Modelling,2015
math adviser,Supervision,2015
helping dionne learn spanish,Other,2015
partner-in-crime in csa,Other,2015
exercising eloquent oral skills in toastmasters,Other,2015
resolving dermal ailments,Other,2015
making software into hardware,Hardware,2015
making software into hardware,Software,2015
wiki development,Documentation,2015
worked mainly on the wetware component of the project,Experiments,2015
designing hardware for the team's various experiments,Hardware,2015
repairing hardware,Hardware,2015
math adviser,Modelling,2015
math adviser,Supervision,2015
helping dionne learn spanish,Other,2015
partner-in-crime in csa,Other,2015
exercising eloquent oral skills in toastmasters,Other,2015
resolving dermal ailments,Other,2015
making software into hardware,Hardware,2015
making software into hardware,Software,2015
hunting down pcr machines,Material Supply,2015
playing games,Other,2015
working on the wetwork,Experiments,2015
playing for the professional league of legends team,Other,2015
programming,Software,2015
being named jean,Other,2015
watching interstellar,Other,2015
having tushar do transformations and pcr clean up,Experiments,2015
running experiments,Experiments,2015
managing genspace,Administration,2015
designed and built loomino,Design,2015
designed and built loomino,Hardware,2015
programmed the arduino,Software,2015
programmed the arduino,Hardware,2015
ensured the biology of loomino was possible,Design,2015
ensured the biology of loomino was possible,Experiments,2015
assisted on the design of the device,Design,2015
participation on igem 2015,Other,2015
working with people impacted by our device,Human Practices,2015
incorporating human practices in amsterdam,Human Practices,2015
linking biology and computer science,Modelling,2015
linking biology and computer science,Software,2015
connecting different technologies,Hardware,2015
connecting different technologies,Software,2015
changing intrigue for synthetic biology into practice,Public Engagement,2015
designed and built loomino,Design,2015
