Activity,Matching
supervised in the lab and organised team presentation training,Supervision
supervised in the lab and organised team presentation training,Training
provided assistance in the design and execution of lab experiments,Experiments
previous research on biosensors was the basis for our project and provided experimental design input,Design
full-time supervisor who provided input and provision of lab materials,Supervision
full-time supervisor who provided input and provision of lab materials,Material Supply
"full-time supervisor who provided inspiration, input, team support, lab space, and materials",Supervision
"full-time supervisor who provided inspiration, input, team support, lab space, and materials",Material Supply
provided feedback on human practices content and activities,Human Practices
"provided feedback on experiments, presentations, and poster",Analysis
provided assistance in the lab,Experiments
provided input on the biological approach behind our project,Design
offered assistance and input on the modeling of our biosensor,Modelling
designed our project's logo,Creative Contributions
provided beautiful photographs of edinburgh,Creative Contributions
provided help and material in the edinburgh university fablab for laser cutting and 3d printing,Hardware
spearheaded the policy and practices and assisted on the wiki,Documentation
designed the wiki and taught everyone how to put up content,Documentation
played key roles in both the characterisation of parts and policy and practices,Parts
instrumental in the design and execution of characterisation of parts,Parts
provided valuable input for the policy and practices and assisted with interlab measurements and general molecular biology,Interlab
modeled and designed the physical device and its software,Modelling
played a fundamental role in the design and creation of the 71 biobricks and was in charge of the interlab study,Parts
stepped in anywhere in molecular biology where required and worked on making cell lysates for our enzyme characterisation,Experiments
designed and created the 71 biobricks and assisted in the interlab study,Design
designed and created the 71 biobricks and assisted in the interlab study,Parts
funding from northeast forestry university,Fundraising
"funding from college of life science, northeast forestry university",Fundraising
"funding from college of forestry, northeast forestry university",Fundraising
"funding from college of science, northeast forestry university",Fundraising
use of laboratory space from discipline of developmental biology,Material Supply
access to laboratory equipment from discipline of developmental biology,Material Supply
guidance from discipline of developmental biology,Supervision
improvement guidance from five instructors,Supervision
final presentation guidance from five instructors,Supervision
"help in designing wiki template from wuhan wonmay web service co.,ltd",Creative Contributions
assistance in improving online platform from team nudt-china,Collaboration
help from previous igermers for sharing experience and suggestions,Collaboration
generated by flight igem,Documentation
molecular biology lab experience,Experiments
learn more about synthetic biology,Training
learn about genetic engineering,Training
broader perspective on different fields of science,Training
expand knowledge in synthetic biology,Training
participated in igem teams in the past,Collaboration
"research interests in synthetic chemistry, chemical biology, and synthetic biology",Design
studies biophysics,Design
provided the team with project support and advice,Supervision
"taught the majority of the lab techniques used during the course of the competition, as well as provided advice on the remaining techniques",Training
helped bring igem to pitt!,Collaboration
provided advice at all stages of the project,Supervision
contributed useful feedback and critique of data collection,Analysis
aided with obtaining supplies and chemicals from commercial sources,Material Supply
supplied numerous chemicals and supplies on short notice,Material Supply
generously provided lab space,Material Supply
provided supplies and chemicals,Material Supply
aided with lab equipment usage,Material Supply
gathered funding from various university sources,Fundraising
took care of logistics of forming a university team,Administration
provided generous funding from the bioengineering department at the swanson school of engineering,Fundraising
dna donations,Material Supply
the igem repository,Material Supply
special thanks to keith pardee and the collins lab at mit for supplying many plasmids from the paper which inspired our work!,Acknowledgements
thanks and acknowledgements for all other people involved in helping make a successful igem team!,Acknowledgements
generous funding,Fundraising
assisted us in cloning strategies,Experiments
provided us all the amenities whenever required,Material Supply
provided us with the chemicals and glasswares when needed,Material Supply
aided us with additional chemicals whenever required during the course of our project,Material Supply
aided us by delivering all the g-blocks included in our project on time,Material Supply
provided us the primers required,Material Supply
provided us the enzymes required,Material Supply
provided pseudomonas aeruginosa strains and escherichia coli bl21 strains,Material Supply
was supportive by accompanying us during night stays in our college,Supervision
provided timely support to our team in all the shipping procedures,Administration
designed our team's official banner,Creative Contributions
provided support regarding funding,Fundraising
provided advice regarding clinical trials and future prospects of our project,Supervision
helped in finalizing our project idea,Design
designed the website,Documentation
provided technical support for uploading our documentation into our website,Documentation
lab team,Experiments
website team,Documentation
poster team,Creative Contributions
human practices team,Human Practices
the joseph lab,Collaboration
"university of california, san diego",Collaboration
j. craig venter institute,Collaboration
the hasty lab,Collaboration
helped with the lab work and wiki design,Documentation
advice on experimental design and provided lab and office space,Supervision
helped with experimental design and provided protocols for pcr and purification of dna,Supervision
guided the team from the start and provided help with outreach and funding,Supervision
advice and guidance throughout the project,Supervision
moss guru and spare time space enthusiast,Creative Contributions
gave feedback and provided supervision,Supervision
"helped with homepage, posters, connections, finances, coordination, arrangements",Administration
igem project leader and expert in terpenoids,Entrepreneurship
scientific advisor on mars-related topics,Supervision
provided advice and support on sesquiterpenoids production in moss,Supervision
guided the team in using the jens-martin mars-chamber and brainstorming experiments,Supervision
designed the team's logo,Creative Contributions
helped with moss transformation and generating new ideas,Design
artist behind the spacemoss comic,Creative Contributions
helped with arduino software and hardware,Hardware
ran lc-ms on moss samples,Experiments
provided general help and knowledge of material locations,Administration
helped with extraction of plant material,Experiments
supervisor,Supervision
advisor,Supervision
teaching lab staff,Training
outreach support,Public Engagement
microscopy and flow cytometry support,Experiments
imaging reagents provider,Material Supply
nmr experiments support,Experiments
statistical analysis assistance,Analysis
modeling instruction,Training
polyphosphate assay advice,Experiments
graphic design officer,Creative Contributions
biology supplies and goods services staff,Material Supply
plasmids provider,Parts
venue provider,Material Supply
discussion venue provider,Material Supply
discussion group host,Public Engagement
workshop venue provider,Training
talk venue provider,Training
flight booking,Administration
responsible for synthetic construct design of project,Design
managed dry lab research,Analysis
planning project with team,Design
designing parts,Parts
ordering primers for team,Material Supply
led molecular biology team in research,Supervision
building biobrick devices,Parts
worked on dry and wet lab aspects of project,Experiments
participated in outreach activities,Public Engagement
managed team's social media accounts,Public Engagement
team collaborations,Collaboration
worked in molecular biology team,Experiments
mini-prepping plasmids,Experiments
nanodropping samples,Experiments
running gels,Experiments
uploading content to wiki,Documentation
designing poster for giant jamboree,Creative Contributions
worked on research and lab work,Experiments
organising travel to boston,Administration
securing sponsorships,Fundraising
maintaining supplies for lab,Material Supply
general budgeting,Administration
involved with outreach,Public Engagement
presented project at giant jamboree,Public Engagement
specialised in phosphate assay,Experiments
specialised in business plan,Entrepreneurship
designed phosphate measurement experiments,Experiments
wrote team's business plan,Entrepreneurship
participated in dry lab research,Analysis
guided phosphate and growth assay teams,Supervision
scheduled plate reader experiments,Experiments
managed overnight cultures,Experiments
analysed data for project,Analysis
worked on project model,Modelling
worked on dry lab research,Analysis
worked with growth assay team,Experiments
designed wiki template,Documentation
formatted wiki content,Documentation
worked on project modeling,Modelling
provided input for presentation,Creative Contributions
participated in outreach events,Public Engagement
worked in phosphate assay team,Experiments
designed and distributed flyers,Creative Contributions
held dna extraction demonstrations,Training
attended discussions with various groups,Human Practices
helped analyze phosphate assay team's work,Analysis
helped with coding on wiki page,Software
worked on growth assay team,Experiments
contributed to animations in presentation,Creative Contributions
contributed to drawings on registry of standard biological parts,Creative Contributions
helped keep social media followers updated,Public Engagement
helped with dry lab research,Analysis
helped with imaging of phosphate,Experiments
used confocal microscopy and dapi staining,Experiments
expression guide,Documentation
functional architecture,Design
compatibility,Design
wet lab,Experiments
original motivation for this project,Design
helping us to establish protocols and troubleshoot,Supervision
funding this project,Fundraising
phd candidate on open source with focus on synthetic biology,Supervision
majoring in biochemistry,Training
majoring in electrical engineering,Training
undergrad degree in bioengineering,Training
grad in bioengineering,Training
p.i.,Supervision
head,Administration
jamboree,Collaboration
entered competition,Collaboration
raised funds,Fundraising
completed lab work,Experiments
lent a helping hand,Collaboration
boys only team,Creative Contributions
coherent unit,Collaboration
smaller number of people,Collaboration
looked beyond biology,Design
montage of skillsets,Collaboration
team,Collaboration
entered jamboree,Administration
raised enough money,Fundraising
lending a helping hand,Collaboration
comprised from only one school,Collaboration
primary skillset,Collaboration
skillsets,Training
creative dynamo and leader,Creative Contributions
attended numerous conferences and interned at cybio and labgenius,Collaboration
contributed to everything from research to experimental design,Design
contributed to beautiful wiki,Documentation
"physicist, biologist, chemist and mathematician",Modelling
provides intellectual heft,Supervision
good at badgering potential sponsors and collaborators,Fundraising
head of human practices,Human Practices
prospective lawyer,Entrepreneurship
fine writer,Documentation
contributed to research,Design
carried out numerous experiments,Experiments
searched for potential sponsors,Fundraising
written articles explaining synthetic biology,Documentation
pipette-wielding experimentalist,Experiments
"carries out mini-prep isolation, restriction digests, ligation and purification",Experiments
artist and scientist,Creative Contributions
responsible for most of the arty stuff,Creative Contributions
involved in many of the team’s experiments,Experiments
always on hand and always on time,Administration
involved in most of the experiments,Experiments
diligently researched a broad variety of topics,Design
helped out in the lab,Experiments
can speak decent russian,Creative Contributions
"quieter, calmer, saner member",Collaboration
capable scientist and diligent researcher,Experiments
wrote brief biographies,Documentation
team’s eminence grise,Supervision
driving force behind the project,Design
"organized, questioned, chastised, coordinated and explained",Administration
taught team almost everything about synthetic biology,Training
head of school,Supervision
senior biology technician,Supervision
imperial college,Collaboration
student leader,Collaboration
student,Collaboration
pi,Supervision
school staff,Supervision
human practices researcher,Human Practices
editors,Documentation
made cryptogerm art,Creative Contributions
made cryptogerm logo,Creative Contributions
designed original logo,Creative Contributions
created teamwork icon,Creative Contributions
created connection icon,Creative Contributions
created software engineering icon,Creative Contributions
created idea settings icon,Creative Contributions
created toolbox icon,Creative Contributions
created dna icon,Creative Contributions
created scissors icon,Creative Contributions
created petri icon,Creative Contributions
created check mark icon,Creative Contributions
created erlenmeyer flask icon,Creative Contributions
created up icon,Creative Contributions
created plus and minus icons,Creative Contributions
created safety goggle icon,Creative Contributions
created lab coat icon,Creative Contributions
created forbidden food icon,Creative Contributions
created hand washing icon,Creative Contributions
created checked icon,Creative Contributions
edited lab videos,Documentation
provided igem giant jamboree photos,Public Engagement
did modelling in cryptogerm,Modelling
helped with modelling in cryptogerm,Collaboration
built software & wiki in cryptogerm,Software
helped with software & wiki in cryptogerm,Collaboration
provided aes in javascript,Software
provided crc16-ccitt in javascript,Software
provided feedback on modelling,Analysis
provided inspiration for modelling,Modelling
managed human practices,Human Practices
helped with human practices,Human Practices
provided coordination and advice for safety,Safety
provided comments for project development,Design
provided facilities and interview for cryptogerm,Material Supply
provided orientation in regulations for genetically modified bacteria,Safety
provided feedback for survey elaboration,Analysis
worked in the lab,Experiments
supplied spirofloxacin and chemical expertise,Material Supply
provided feedback,Supervision
helped obtain necessary equipment,Material Supply
provided tips and tricks on working with bacillus subtilis and pdr111 plasmid,Experiments
showed how the plate reader works,Experiments
provided introduction to facs data analysis,Analysis
rescued spores out of broken centrifuge,Experiments
withdrew from team,Administration
provided moral support,Supervision
supervised ilona's internship,Supervision
provided spiritual support and inspiration,Supervision
contributed to project,Creative Contributions
provided presentation coaching,Training
provided assistance,Administration
provided support,Administration
helped in collaboration with igem copenhagen by growing cyanobacteria and bacillus,Collaboration
thinking of new ideas for the experiment,Design
helped in rna-sequencing analysis,Analysis
provided lab equipment and other lab related issues,Material Supply
provided the right dechloromonas strain,Material Supply
aided with instruction on and use of microscopy facilities,Training
"provided lab space, equipment, and scientific advice",Material Supply
provided lab equipment and prepared media,Material Supply
endorsed project through video clips,Public Engagement
created photo-comics to promote project,Creative Contributions
helped launch crowdfunding campaign,Fundraising
made animation for movies and presentations,Creative Contributions
provided network for contacts with industries,Entrepreneurship
provided contacts in leiden bio science park and supported project,Collaboration
facilitated collaboration with airbus defence & space netherlands,Collaboration
supported in pr strategies and provided contacts in space-related organizations,Public Engagement
facilitated contact with european space agency,Collaboration
aided in contact with local governmental organizations,Collaboration
helped in creation of digital martian garden,Creative Contributions
provided photos for website,Creative Contributions
helped spread the word about project,Public Engagement
supplied bacterial strains for bioart in outreach activities,Material Supply
helped compose twist bioscience blog,Creative Contributions
financially backed project,Fundraising
provided random positioning machine (rpm),Hardware
performed rna-sequencing,Experiments
synthesized all dna,Parts
provided bioinformatics student for rna-sequence analysis,Analysis
delivered materials and chemicals,Material Supply
gave free licenses for software,Software
"offered simulant martian soil, equipment, and expert knowledge",Material Supply
provided chemicals for project,Material Supply
gave lab materials such as enzymes,Material Supply
"principal investigator, provided guidance and advice",Supervision
"secondary pi, provided guidance and advice",Supervision
"advisor, provided guidance and advice",Supervision
performed laboratory work,Experiments
worked on crowdfunding,Fundraising
worked on collaborations,Collaboration
worked on interlab study,Interlab
worked on outreach and media,Public Engagement
worked on finances,Fundraising
worked on bioreactor,Hardware
lab safety manager,Safety
worked on statistics,Analysis
worked on posters and multimedia,Creative Contributions
presented,Public Engagement
worked on wiki building,Documentation
safety manager,Safety
principal investigator,Supervision
funding support,Fundraising
host lab,Material Supply
advisor,Supervision
instructor,Training
leader,Administration
lab work,Experiments
modeling,Modelling
wiki,Documentation
team leader of nanjing-china this year and participated in nearly all parts of this project,Administration
involved in lab work,Experiments
"responsible for lab work, modeling and human practices",Experiments
"responsible for lab work, modeling and human practices",Modelling
"responsible for lab work, modeling and human practices",Human Practices
"responsible for lab work, human practice and writing during wiki construction",Experiments
"responsible for lab work, human practice and writing during wiki construction",Human Practices
"responsible for lab work, human practice and writing during wiki construction",Documentation
responsible for modeling part and participated in wiki construction,Modelling
responsible for modeling part and participated in wiki construction,Documentation
responsible for art designing issues and logo design,Creative Contributions
did all the programming for wiki construction,Software
did lab work during the project,Experiments
"did lab work, modeling and wiki construction",Experiments
"did lab work, modeling and wiki construction",Modelling
"did lab work, modeling and wiki construction",Documentation
responsible for wiki construction,Documentation
responsible for human practices,Human Practices
primary instructor of the project,Training
advisor of the project,Supervision
did many lab work during the project,Experiments
interested in human diseases and their potential treatments,Human Practices
interested in learning how microbes can cause human diseases and how we can manipulate them for therapeutic purposes,Human Practices
modeler and occasional statistician for the team,Modelling
final year pharmacy student,Training
fresh graduate student working on asymmetric cell division mechanism,Experiments
fresh graduate student working on asymmetric cell division mechanism,Documentation
interested in synthetic biology and fascinated by its endless possibilities,Design
interested in various scientific methods and genetic engineering,Design
fascinated by synthetic biology and the world of microbes,Design
"interested in synthetic biology, microbiology, and proteomics",Design
interested in therapeutics and making like-minded peers,Entrepreneurship
interested in the interface of science and business,Entrepreneurship
works with bacterial pathogens and the microbiome,Experiments
studies two-component systems in bacteria that control gene expression,Experiments
"holds a senior research fellow position at mbi, nus",Supervision
program leader of the nus synthetic biology for clinical and technological innovation (syncti),Administration
scientific program manager for nus syncti,Administration
director of special programme in science at nus and an associate professor at the department of biological sciences,Supervision
"lecturer with the faculty of science and the special programme in science, as well as the department of biological science",Supervision
"instructor of the physics department and the assistant director of the special programme in science, nus",Supervision
oversaw all subprojects carried out,Supervision
responsible for reading literature for the biological aspects of the riot model,Documentation
helped with experiments for the riot invader,Experiments
in charge of collecting microplate reader data for the riot responder and the riot invader,Experiments
crafting and running the riot model,Modelling
main corresponder for our modelling collaborations,Collaboration
worked on the riot sensor,Parts
in charge of the coding of our wiki,Documentation
part of the team that sourced for sponsors,Fundraising
in charge of analysing data from our survey for our business plan,Analysis
worked on the riot responder,Parts
part of the administrative team,Administration
responsible for communicating our business plan to others,Entrepreneurship
worked on the riot invader,Parts
in charge of the design of our wiki and team t-shirt design,Design
in charge of the design of our wiki and team t-shirt design,Creative Contributions
support and feedback on our presentation,Creative Contributions
providing cloning advice and supervising the riot sensor team’s characterisation experiments at the chang lab at the nus synthetic biology for clinical and technological innovation (syncti),Supervision
being our photographer for our team photoshoot,Creative Contributions
purchasing laboratory supplies and providing cloning and characterisation advice,Material Supply
providing cloning and characterisation advice and hosting the riot responder team at his lab,Supervision
hosting the riot sensor team and microplate reader experiments at syncti,Material Supply
permission to use the nissle 1917 ∆alr ∆dadx strain developed by his lab,Material Supply
administrative support,Administration
hosting the riot invader team for invasion assays,Material Supply
providing cloning and characterisation advice and making appropriate arrangements for our experiments at the chang lab,Supervision
providing cloning and characterisation advice and igem-specific guidance,Supervision
providing cloning and characterisation advice and igem-specific guidance,Parts
development and characterisation of the riot sensor,Experiments
support from the very beginning,Administration
providing parts essential for the riot sensor,Material Supply
fruitful collaborations,Collaboration
engaging discussions,Collaboration
establishing a local connection,Collaboration
supervising the riot responder team’s characterisation experiments,Supervision
assistance with setting up our wiki,Documentation
source of parts used in the riot system,Material Supply
kind sponsorship,Fundraising
responsible for all cloning,Parts
visited the team from milano,Collaboration
organized a team-building event,Creative Contributions
organized a 'pokémon-style' event,Creative Contributions
worked closely with the robotics team,Collaboration
exchanged ideas and visions about the project,Collaboration
advised each other,Collaboration
taught the robotics team how to clone mvenus,Training
learned programming with a raspberry pi/arduino,Training
worked in the lab every day,Experiments
spent good times together,Creative Contributions
will visit the giant jamboree,Public Engagement
will present their project at the giant jamboree,Public Engagement
helping us to test minicolicin in other organisms than e. coli,Experiments
trying to help us with the assembly and characterisation of the orthogonal pair,Parts
constructing their onby (o‑nitrobenzyl‑o‑tyrosine) orthogonal pair,Parts
collaboration regarding the syringe pump,Collaboration
organising a collaboration of eight igem teams in germany,Collaboration
arranging the german igem meet‑up,Administration
participated on last years's igem team,Collaboration
participated on last years's igem team,Supervision
participated in igem for the third time,Collaboration
participated in igem for the third time,Supervision
"former student member, passes gathered experiences in the competition on to the next generations of igem'ers",Supervision
"studying biology in the fourth semester, expects to gather experiences in the laboratory through the igem project",Training
"studying biology in the fourth semester, expects to gather experiences in the laboratory through the igem project",Experiments
"studying biology, will never stop participating in igem",Collaboration
"studying biology, will never stop participating in igem",Supervision
