Activity,Matching,year
helping with supplies and materials,Material Supply,2015
"helping with finances, sponsors, and dry lab portion",Fundraising,2015
"helping with finances, sponsors, and dry lab portion",Analysis,2015
training in various lab techniques,Training,2015
answering questions and showing new methods in experimental design,Supervision,2015
answering questions and showing new methods in experimental design,Design,2015
being an extra voice,Other,2015
cloning,Experiments,2015
lactis growth,Experiments,2015
protein expression and purification,Experiments,2015
protein assays,Experiments,2015
lab waste management,Safety,2015
finance,Fundraising,2015
administration,Administration,2015
project design,Design,2015
cloning,Experiments,2015
expression vector design,Design,2015
expression vector design,Experiments,2015
parts description,Parts,2015
parts description,Documentation,2015
testing,Experiments,2015
refills materials and stock solutions,Material Supply,2015
collaboration and outreach,Collaboration,2015
collaboration and outreach,Public Engagement,2015
pcr master,Experiments,2015
wiki developer,Documentation,2015
worked mainly on the wetware component,Experiments,2015
designing hardware for the team's various experiments,Hardware,2015
repairing,Hardware,2015
group's math adviser,Supervision,2015
group's math adviser,Modelling,2015
resolve dermal ailments,Other,2015
make software into hardware,Software,2015
make software into hardware,Hardware,2015
hunting down pcr machines,Material Supply,2015
carry the team,Other,2015
work on the wetwork,Experiments,2015
programming,Software,2015
implied interest in genetics,Other,2015
do transformations,Experiments,2015
pcr clean up,Experiments,2015
manage genspace,Administration,2015
designed and built loomino,Design,2015
designed and built loomino,Hardware,2015
programmed the arduino,Hardware,2015
programmed the arduino,Software,2015
ensured the biology of loomino was possible,Safety,2015
ensured the biology of loomino was possible,Design,2015
biologist,Experiments,2015
chemist,Experiments,2015
computer scientist,Software,2015
philosopher,Human Practices,2015
supervising in the lab,Supervision,2015
organising team presentation training,Training,2015
providing assistance in lab experiments,Supervision,2015
providing experimental design input,Design,2015
providing input and provision of lab materials,Material Supply,2015
"providing inspiration, input, team support, lab space and materials",Supervision,2015
"providing inspiration, input, team support, lab space and materials",Material Supply,2015
providing feedback on human practices content and activities,Supervision,2015
providing feedback on human practices content and activities,Human Practices,2015
"providing feedback on experiments, presentations and poster",Supervision,2015
"providing feedback on experiments, presentations and poster",Analysis,2015
"providing feedback on experiments, presentations and poster",Creative Contributions,2015
providing assistance in the lab,Supervision,2015
providing input on the biological approach,Supervision,2015
offering assistance and input on modeling,Supervision,2015
offering assistance and input on modeling,Modelling,2015
designing project's logo,Creative Contributions,2015
providing photographs of edinburgh,Documentation,2015
providing help and material for laser cutting and 3d printing,Hardware,2015
providing help and material for laser cutting and 3d printing,Material Supply,2015
spearheaded the policy and practices,Human Practices,2015
assisting on the wiki,Documentation,2015
designed the wiki,Documentation,2015
taught everyone how to put up content,Training,2015
taught everyone how to put up content,Documentation,2015
characterisation of parts,Parts,2015
policy and practices,Human Practices,2015
design and execution of characterisation of parts,Design,2015
design and execution of characterisation of parts,Parts,2015
input for the policy and practices,Human Practices,2015
assisting with interlab measurements,Interlab,2015
general molecular biology,Experiments,2015
modeled and designed the physical device,Modelling,2015
modeled and designed the physical device,Hardware,2015
designed its software,Software,2015
