text,year
"Here is the matching of the provided phrases to the appropriate categories:

- ""inspiring us and showing us the broad possibilities in synthetic biology"" - This phrase suggests a role in motivation and possibly education, but it does not fit neatly into any of the specific categories provided. It could be considered part of Human Practices if the inspiration involves ethical, legal, economic, and social considerations, or Public Engagement if it involves outreach. However, without more context, it might be best categorized as ""Other"".
- ""cloning"" - This is a laboratory technique used in synthetic biology, so it fits under ""Experiments"".
- ""lactis growth"" - This refers to growing a specific type of bacteria, which is an experimental activity, so it fits under ""Experiments"".
- ""protein expression and purification"" - This is a laboratory process involving the production and purification of proteins, so it fits under ""Experiments"".
- ""protein assays"" - This involves testing or measuring proteins in the lab, which is an experimental activity, so it fits under ""Experiments"".
- ""lab waste management"" - This involves handling and disposing of laboratory waste safely, which is a safety-related activity, so it fits under ""Safety"".
- ""finance"" - This involves managing the financial aspects of the team's project, which fits under ""Fundraising"".
- ""administration"" - This involves managing and coordinating the activities of the team's project, which fits under ""Administration"".
- ""wiki developer"" - This involves creating and managing the team's wiki website, which fits under ""Documentation"".
- ""world traveler"" - This phrase does not fit into any of the specific categories related to the iGEM competition unless it involves public engagement or collaboration activities. Without more context, it might be best categorized as ""Other"".

Here is the output in the requested format:

```plaintext
[[""inspiring us and showing us the broad possibilities in synthetic biology"", ""Other""],
 [""cloning"", ""Experiments""],
 [""lactis growth"", ""Experiments""],
 [""protein expression and purification"", ""Experiments""],
 [""protein assays"", ""Experiments""],
 [""lab waste management"", ""Safety""],
 [""finance"", ""Fundraising""],
 [""administration"", ""Administration""],
 [""wiki developer"", ""Documentation""],
 [""world traveler"", ""Other""]]
```",2015
"Here is the matching for each phrase to the appropriate categories:

1. ""person who person-ed"" - This phrase is unclear and does not directly relate to any specific category.
   - [[""person who person-ed"", ""Other""]]

2. ""refills materials"" - This refers to providing necessary materials and supplies.
   - [[""refills materials"", ""Material Supply""]]

3. ""stock solutions"" - This involves preparing solutions used in experiments.
   - [[""stock solutions"", ""Material Supply""]]

4. ""lb/gel master"" - This likely refers to someone who prepares LB media and gel for experiments.
   - [[""lb/gel master"", ""Material Supply""]]

5. ""pcr master"" - This refers to someone who is skilled in performing PCR, a common laboratory technique.
   - [[""pcr master"", ""Experiments""]]

6. ""my favourite part of the igem project is collaboration and outreach with the community"" - This clearly involves collaboration and public engagement.
   - [[""my favourite part of the igem project is collaboration and outreach with the community"", ""Collaboration""],
     [""my favourite part of the igem project is collaboration and outreach with the community"", ""Public Engagement""]]

7. ""project design"" - This involves conceptualizing and designing the project.
   - [[""project design"", ""Design""]]

8. ""cloning (a lot)"" - This refers to performing cloning experiments.
   - [[""cloning (a lot)"", ""Experiments""]]

9. ""expression vector design"" - This involves designing vectors for gene expression, part of the design phase.
   - [[""expression vector design"", ""Design""]]

10. ""parts description"" - This involves documenting and characterizing synthetic biology parts.
    - [[""parts description"", ""Parts""]]

The output as a list of lists is as follows:

```plaintext
[
  [""person who person-ed"", ""Other""],
  [""refills materials"", ""Material Supply""],
  [""stock solutions"", ""Material Supply""],
  [""lb/gel master"", ""Material Supply""],
  [""pcr master"", ""Experiments""],
  [""my favourite part of the igem project is collaboration and outreach with the community"", ""Collaboration""],
  [""my favourite part of the igem project is collaboration and outreach with the community"", ""Public Engagement""],
  [""project design"", ""Design""],
  [""cloning (a lot)"", ""Experiments""],
  [""expression vector design"", ""Design""],
  [""parts description"", ""Parts""]
]
```",2015
"Based on the provided phrases and the categories, here is the matching:

1. ""testing"" - This could refer to various activities, but without specific context, it's hard to categorize precisely. It could involve experiments, software testing, or hardware testing.
   - [[""testing"", ""Experiments""]]
   - [[""testing"", ""Software""]]
   - [[""testing"", ""Hardware""]]

2. ""many many hours of cloning"" - This clearly refers to activities in the wet lab, specifically related to experiments.
   - [[""many many hours of cloning"", ""Experiments""]]

3. ""answer our questions and showing us new methods in experimental design"" - This indicates supervision and training in design and experimental methods.
   - [[""answer our questions and showing us new methods in experimental design"", ""Supervision""]]
   - [[""answer our questions and showing us new methods in experimental design"", ""Training""]]
   - [[""answer our questions and showing us new methods in experimental design"", ""Design""]]

4. ""help us in our dire needs"" - This phrase suggests supervision or support but is quite vague.
   - [[""help us in our dire needs"", ""Supervision""]]

5. ""and for taking the time to train us in various lab techniques"" - This clearly refers to training in lab techniques.
   - [[""and for taking the time to train us in various lab techniques"", ""Training""]]

6. ""software"" - This refers to creating or working with software.
   - [[""software"", ""Software""]]

7. ""programmed the arduino"" - This involves both software programming and hardware interaction.
   - [[""programmed the arduino"", ""Software""]]
   - [[""programmed the arduino"", ""Hardware""]]

8. ""wetware/tdt work"" - This phrase is a bit unclear but seems to refer to wet lab work, possibly involving specific technologies or techniques.
   - [[""wetware/tdt work"", ""Experiments""]]

9. ""hardware"" - This refers to working with or building hardware components.
   - [[""hardware"", ""Hardware""]]

10. ""designed and built loomino"" - This involves design and hardware construction, possibly also software if it's a programmable device.
    - [[""designed and built loomino"", ""Design""]]
    - [[""designed and built loomino"", ""Hardware""]]
    - [[""designed and built loomino"", ""Software""]] (if applicable)

These matches are based on the typical activities associated with each phrase in the context of the iGEM competition and synthetic biology projects.",2015
"Here is the matching of the given phrases to the appropriate categories:

```plaintext
[[""assistance on the design of the device"", ""Design""],
 [""provided inspiration"", ""Other""],
 [""input"", ""Other""],
 [""team support"", ""Other""],
 [""lab space and materials"", ""Material Supply""],
 [""steered us in the right direction"", ""Supervision""],
 [""providing input"", ""Other""],
 [""provision of lab materials"", ""Material Supply""],
 [""providing experimental design input"", ""Design""],
 [""providing experimental design input"", ""Experiments""],
 [""assistance in the design and execution of lab experiments"", ""Design""],
 [""assistance in the design and execution of lab experiments"", ""Experiments""]]
```

Explanation:
- ""assistance on the design of the device"" clearly falls under the Design category.
- ""provided inspiration"", ""input"", and ""providing input"" are more general and do not fit neatly into the specific categories provided, so they are categorized as Other.
- ""team support"" is also a general support term not specific to any category, thus categorized as Other.
- ""lab space and materials"" and ""provision of lab materials"" are directly related to providing necessary resources, thus falling under Material Supply.
- ""steered us in the right direction"" implies guidance and supervision, thus categorized under Supervision.
- ""providing experimental design input"" fits both Design (for the conceptual part) and Experiments (as it relates to experimental setup).
- ""assistance in the design and execution of lab experiments"" covers both designing the experiments (Design) and carrying them out (Experiments).",2015
"Here is the matching of the given phrases to the appropriate categories:

1. ""supervising in the lab"" - Supervision
2. ""organising team presentation training"" - Training, Administration
3. ""making cell lysates for our enzyme characterisation"" - Experiments
4. ""molecular biology"" - Experiments
5. ""designed the wiki"" - Documentation
6. ""policy and practices"" - Human Practices
7. ""assisting on the wiki"" - Documentation
8. ""interlab measurements"" - Interlab
9. ""design and execution of characterisation of parts"" - Design, Experiments, Parts
10. ""design and creation of the 71 biobricks"" - Design, Parts

The output as a list of lists is:

```plaintext
[
    [""supervising in the lab"", ""Supervision""],
    [""organising team presentation training"", ""Training""],
    [""organising team presentation training"", ""Administration""],
    [""making cell lysates for our enzyme characterisation"", ""Experiments""],
    [""molecular biology"", ""Experiments""],
    [""designed the wiki"", ""Documentation""],
    [""policy and practices"", ""Human Practices""],
    [""assisting on the wiki"", ""Documentation""],
    [""interlab measurements"", ""Interlab""],
    [""design and execution of characterisation of parts"", ""Design""],
    [""design and execution of characterisation of parts"", ""Experiments""],
    [""design and execution of characterisation of parts"", ""Parts""],
    [""design and creation of the 71 biobricks"", ""Design""],
    [""design and creation of the 71 biobricks"", ""Parts""]
]
```",2015
"Here is the matching of the given phrases to the appropriate categories:

1. ""interlab study"" - [[""interlab study"", ""Interlab""]]
2. ""characterisation of parts"" - [[""characterisation of parts"", ""Parts""]]
3. ""modeled and designed the physical device"" - [[""modeled and designed the physical device"", ""Modelling""], [""modeled and designed the physical device"", ""Hardware""]]
4. ""software"" - [[""software"", ""Software""]]
5. ""providing feedback on experiments"" - [[""providing feedback on experiments"", ""Supervision""]]
6. ""presentations and poster"" - [[""presentations and poster"", ""Creative Contributions""], [""presentations and poster"", ""Public Engagement""]]
7. ""providing input on the biological approach behind our project"" - [[""providing input on the biological approach behind our project"", ""Supervision""]]
8. ""providing feedback on our human practices content and activities"" - [[""providing feedback on our human practices content and activities"", ""Supervision""], [""providing feedback on our human practices content and activities"", ""Human Practices""]]
9. ""providing assistance in the lab"" - [[""providing assistance in the lab"", ""Supervision""]]
10. ""offering assistance and input on the modeling of our biosensor"" - [[""offering assistance and input on the modeling of our biosensor"", ""Supervision""], [""offering assistance and input on the modeling of our biosensor"", ""Modelling""]]

This list provides the categorization based on the descriptions and activities mentioned in each phrase.",2015
"Here is the matching of the provided phrases to the appropriate categories:

1. ""supervisor"" - This generally refers to someone who provides guidance and oversight, often in a supervisory role.
   - [[""supervisor"", ""Supervision""]]

2. ""wetlab"" - This refers to work done in a laboratory setting involving liquids, chemicals, biological materials, etc.
   - [[""wetlab"", ""Experiments""]]

3. ""carrying out restriction dna digestion"" - This is a specific type of experiment involving the cutting of DNA at specific sites.
   - [[""carrying out restriction dna digestion"", ""Experiments""]]

4. ""gibson assembly"" - This is a method used in molecular biology for assembling DNA fragments.
   - [[""gibson assembly"", ""Experiments""]]

5. ""ligation reactions"" - This involves the process of joining two strands of DNA or other molecules in a lab setting.
   - [[""ligation reactions"", ""Experiments""]]

6. ""identifying and designing biobrick parts to improve"" - This involves both the design and characterization of synthetic biology parts.
   - [[""identifying and designing biobrick parts to improve"", ""Design""], [""identifying and designing biobrick parts to improve"", ""Parts""]]

7. ""results writing"" - This refers to the documentation of experimental results, typically in reports or scientific papers.
   - [[""results writing"", ""Documentation""]]

8. ""outreach events"" - These are activities designed to engage the public or specific communities outside the laboratory.
   - [[""outreach events"", ""Public Engagement""]]

9. ""writing"" - This could refer to various forms of documentation, but without more context, it's generally related to documenting scientific work.
   - [[""writing"", ""Documentation""]]

10. ""wiki"" - This specifically refers to the creation and maintenance of a wiki website, often used by teams to document their projects.
    - [[""wiki"", ""Documentation""]]

The output as a list of lists is as follows:

```plaintext
[
  [""supervisor"", ""Supervision""],
  [""wetlab"", ""Experiments""],
  [""carrying out restriction dna digestion"", ""Experiments""],
  [""gibson assembly"", ""Experiments""],
  [""ligation reactions"", ""Experiments""],
  [""identifying and designing biobrick parts to improve"", ""Design""],
  [""identifying and designing biobrick parts to improve"", ""Parts""],
  [""results writing"", ""Documentation""],
  [""outreach events"", ""Public Engagement""],
  [""writing"", ""Documentation""],
  [""wiki"", ""Documentation""]
]
```",2015
"Here is the matching of the given phrases to the appropriate categories:

```plaintext
[[""designing and writing the wiki"", ""Design""], 
 [""designing and writing the wiki"", ""Documentation""], 
 [""creating the kent igem logo"", ""Creative Contributions""], 
 [""mini-preps"", ""Experiments""], 
 [""ligations"", ""Experiments""], 
 [""transformations"", ""Experiments""], 
 [""producing competent cells"", ""Experiments""], 
 [""scientific writing for the biobrick parts"", ""Documentation""], 
 [""scientific writing for the biobrick parts"", ""Parts""], 
 [""modelling"", ""Modelling""], 
 [""developed the model of our system"", ""Modelling""], 
 [""rendered the equations into a new software tool"", ""Modelling""], 
 [""rendered the equations into a new software tool"", ""Software""]]
```

Each phrase has been matched to the most relevant categories based on the descriptions provided.",2015
"Here is the matching of each phrase to the appropriate categories based on the descriptions provided:

1. ""rendered 3d animations of our system""
   - [[""rendered 3d animations of our system"", ""Documentation""]]
   - [[""rendered 3d animations of our system"", ""Creative Contributions""]]

2. ""created the code for the wiki pages""
   - [[""created the code for the wiki pages"", ""Documentation""]]
   - [[""created the code for the wiki pages"", ""Software""]]

3. ""helped the unitn igem team by helping to create a model for their system""
   - [[""helped the unitn igem team by helping to create a model for their system"", ""Collaboration""]]
   - [[""helped the unitn igem team by helping to create a model for their system"", ""Modelling""]]

4. ""policy and practice""
   - [[""policy and practice"", ""Human Practices""]]

5. ""performed transformations""
   - [[""performed transformations"", ""Experiments""]]

6. ""produced competent cells and helped capture pictures of the control samples""
   - [[""produced competent cells and helped capture pictures of the control samples"", ""Experiments""]]

7. ""ran the organisational infrastructure""
   - [[""ran the organisational infrastructure"", ""Administration""]]

8. ""managed the social network channels""
   - [[""managed the social network channels"", ""Public Engagement""]]

9. ""overall communications with other teams""
   - [[""overall communications with other teams"", ""Collaboration""]]

10. ""liaised the collaborations with the unitn igem team""
    - [[""liaised the collaborations with the unitn igem team"", ""Collaboration""]]

These matches are based on the descriptions of the categories and the activities described in each phrase.",2015
"Based on the descriptions provided for each category and the phrases listed, here is the matching:

1. ""validation of our fusion protein by carrying out afm imaging congo red and heme plating""
   - [[""validation of our fusion protein by carrying out afm imaging congo red and heme plating"", ""Experiments""]]

2. ""gathering mps opinion on synthetic biology""
   - [[""gathering mps opinion on synthetic biology"", ""Human Practices""]]

3. ""design of our questionnaire""
   - [[""design of our questionnaire"", ""Human Practices""]]

4. ""conducted interviews and presented our project to other teams at our meet-ups""
   - [[""conducted interviews and presented our project to other teams at our meet-ups"", ""Collaboration""], [""conducted interviews and presented our project to other teams at our meet-ups"", ""Public Engagement""]]

5. ""carrying out gibson assembly and diagnostics tests""
   - [[""carrying out gibson assembly and diagnostics tests"", ""Experiments""]]

6. ""validating the conductivity of our fusion protein""
   - [[""validating the conductivity of our fusion protein"", ""Experiments""]]

7. ""interviewed international politicians""
   - [[""interviewed international politicians"", ""Human Practices""]]

8. ""developed a questionnaire on synthetic biology""
   - [[""developed a questionnaire on synthetic biology"", ""Human Practices""]]

9. ""contributed in the improvement of the wiki""
   - [[""contributed in the improvement of the wiki"", ""Documentation""]]

10. ""constructing the parameters list for the modelling and designing the project""
    - [[""constructing the parameters list for the modelling and designing the project"", ""Modelling""], [""constructing the parameters list for the modelling and designing the project"", ""Design""]]

These matches are based on the activities described in each phrase and their relevance to the categories defined for the iGEM competition.",2015
