text,year
"[[""providing lab equipment, materials and space"", ""Material Supply""],
[""providing endless support"", ""Supervision""],
[""providing chemicals and apparatus"", ""Material Supply""],
[""helping with supplies and materials"", ""Material Supply""],
[""helping with finances and sponsors"", ""Fundraising""],
[""mentoring and training in lab techniques"", ""Training""],
[""answering questions and showing new methods in experimental design"", ""Supervision""],
[""providing aid and being an extra voice"", ""Supervision""],
[""contributing chemicals needed to express and purify proteins"", ""Material Supply""],
[""inspiring the 'scaffococcus' project"", ""Other""]]",2015
"[[""providing expertise and support"", ""Supervision""], [""inspiring and showing possibilities in synthetic biology"", ""Human Practices""], [""supporting young researchers"", ""Training""], [""cloning"", ""Experiments""], [""lactis growth"", ""Experiments""], [""protein expression and purification"", ""Experiments""], [""protein assays"", ""Experiments""], [""lab waste management"", ""Safety""], [""finance"", ""Fundraising""], [""administration"", ""Administration""]]",2015
"[[""project design"", ""Design""], [""cloning"", ""Experiments""], [""expression vector design"", ""Design""], [""parts description"", ""Parts""], [""testing"", ""Experiments""], [""refills materials and stock solutions"", ""Material Supply""], [""lb/gel master"", ""Experiments""], [""collaboration and outreach with the community"", ""Collaboration""], [""pcr master"", ""Experiments""], [""study circadian rhythms in rodents and their possible role in alzheimer's disease"", ""Other""]]",2015
"[[""research on neuroeconomics using optogenetics"", ""Experiments""], [""miss chinese montreal"", ""Other""], [""miss chinese international 2nd runner up 2014"", ""Other""], [""co-founder of bricobio"", ""Entrepreneurship""], [""addicted to coffee"", ""Other""], [""master chef"", ""Other""], [""play bass"", ""Other""], [""wiki developer"", ""Documentation""], [""world traveler"", ""Other""], [""person who person-ed"", ""Other""]]",2015
"[[""worked mainly on the wetware component of this project"", ""Experiments""], [""designing hardware for the team's various experiments and the occasional repair"", ""Hardware""], [""math adviser"", ""Supervision""], [""helping dionne learn spanish"", ""Other""], [""resolving dermal ailments such as when chris gets sunburnt"", ""Other""], [""making susung's software into hardware"", ""Hardware""], [""hunting down pcr machines"", ""Material Supply""], [""being good at games"", ""Other""], [""teaching kobe how to ball"", ""Training""], [""working on the wetwork"", ""Experiments""]]",2015
"[[""being the real boss"", ""Other""], [""not being pants"", ""Other""], [""mentoring the team"", ""Supervision""], [""being the mastermind behind igem at cooper union"", ""Administration""], [""setting up experiments at 2 am"", ""Experiments""], [""running genspace, the first community biohacking lab"", ""Material Supply""], [""continuation of work started by the 2014 cooper union igem team"", ""Collaboration""], [""designed and built loomino"", ""Hardware""], [""programmed the arduino"", ""Hardware""], [""ensured that the biology of loomino was possible"", ""Design""]]",2015
"[[""assistance on the design of the device"", ""Design""], [""allowed us to properly plan for taking the project into the next step"", ""Design""], [""explained the possibility of using microfluidics to improve on the current model"", ""Design""], [""collaborated to insure that all these different parts would work together"", ""Collaboration""], [""coding the arduino to control the loomino device"", ""Hardware""], [""genetic engineering components"", ""Experiments""], [""tdt based experiments"", ""Experiments""], [""designed sequences"", ""Design""], [""ran digests and ligations"", ""Experiments""], [""transformed bacteria"", ""Experiments""]]",2015
"[[""protocols involving preparation of glass slides"", ""Experiments""], [""bought ice cream maker"", ""Other""], [""waiting for belgian waffle maker"", ""Other""], [""expect to find the question"", ""Other""], [""science can be collaborative and involved"", ""Collaboration""], [""growing need for empathy and social conscience in science"", ""Human Practices""], [""importance of human practices in research"", ""Human Practices""], [""biology and computer science complement each other"", ""Other""], [""changing view on science"", ""Other""], [""immersing in science and becoming comfortable in lab environment"", ""Training""]]",2015
"[[""interacting with diverse group of people"", ""Human Practices""], [""interested in ethics and making a difference in people's lives"", ""Human Practices""], [""biology can offer solutions to various problems"", ""Human Practices""], [""spearheaded the policy and practices"", ""Human Practices""], [""assisting on the wiki"", ""Documentation""], [""designed the wiki"", ""Documentation""], [""taught everyone how to put up content"", ""Training""], [""characterisation of parts"", ""Parts""], [""policy and practices"", ""Human Practices""], [""design and execution of characterisation of parts"", ""Parts""]]",2015
"[[""interlab measurements"", ""Interlab""], [""general molecular biology"", ""Experiments""], [""modeled and designed the physical device"", ""Modelling""], [""software design"", ""Software""], [""design and creation of the 71 biobricks"", ""Parts""], [""interlab study"", ""Interlab""], [""molecular biology"", ""Experiments""], [""enzyme characterisation"", ""Experiments""], [""integrating biology with engineering"", ""Design""], [""reading"", ""Other""]]",2015
