text,year
"Here's the matching for each phrase to the appropriate categories:

1. ""helping with supplies and materials""
   - [[""helping with supplies and materials"", ""Material Supply""]]

2. ""helping sort finances, sponsors, and other things related to the dry lab""
   - [[""helping sort finances, sponsors, and other things related to the dry lab"", ""Fundraising""]]
   - [[""helping sort finances, sponsors, and other things related to the dry lab"", ""Administration""]]

3. ""being available to help in dire needs""
   - [[""being available to help in dire needs"", ""Supervision""]]

4. ""training in various lab techniques""
   - [[""training in various lab techniques"", ""Training""]]

5. ""being available to answer questions""
   - [[""being available to answer questions"", ""Supervision""]]

6. ""showing new methods in experimental design""
   - [[""showing new methods in experimental design"", ""Training""]]
   - [[""showing new methods in experimental design"", ""Design""]]

7. ""providing aid""
   - [[""providing aid"", ""Supervision""]]

8. ""being an extra voice""
   - [[""being an extra voice"", ""Supervision""]]

9. ""contributing chemicals for protein expression and purification""
   - [[""contributing chemicals for protein expression and purification"", ""Material Supply""]]
   - [[""contributing chemicals for protein expression and purification"", ""Experiments""]]

10. ""inspiring the 'scaffococcus' project""
    - [[""inspiring the 'scaffococcus' project"", ""Design""]]

These matches are based on the descriptions provided and the activities typically associated with each category in the context of the iGEM competition.",2015
"Here is the matching of the given phrases to the appropriate categories:

```plaintext
[[""providing expertise and support"", ""Supervision""],
 [""challenging the team to do better"", ""Supervision""],
 [""inspiring the team"", ""Supervision""],
 [""showing broad possibilities in synthetic biology"", ""Public Engagement""],
 [""cloning"", ""Experiments""],
 [""lactis growth"", ""Experiments""],
 [""protein expression and purification"", ""Experiments""],
 [""protein assays"", ""Experiments""],
 [""lab waste management"", ""Safety""],
 [""finance"", ""Fundraising""]]
```

Each phrase has been matched to the most relevant category based on the descriptions provided.",2015
"Here is the matching for each phrase to the appropriate categories:

- ""administration"" matches to:
  - [""administration"", ""Administration""]

- ""project design"" matches to:
  - [""project design"", ""Design""]

- ""cloning"" matches to:
  - [""cloning"", ""Experiments""]
  - [""cloning"", ""Parts""]

- ""expression vector design"" matches to:
  - [""expression vector design"", ""Design""]
  - [""expression vector design"", ""Parts""]

- ""parts description"" matches to:
  - [""parts description"", ""Parts""]
  - [""parts description"", ""Documentation""]

- ""testing"" matches to:
  - [""testing"", ""Experiments""]
  - [""testing"", ""Analysis""]

- ""refills materials and stock solutions"" matches to:
  - [""refills materials and stock solutions"", ""Material Supply""]

- ""collaboration"" matches to:
  - [""collaboration"", ""Collaboration""]

- ""outreach"" matches to:
  - [""outreach"", ""Public Engagement""]

- ""pcr"" matches to:
  - [""pcr"", ""Experiments""]

The output as a list of lists is:

```plaintext
[
  [""administration"", ""Administration""],
  [""project design"", ""Design""],
  [""cloning"", ""Experiments""],
  [""cloning"", ""Parts""],
  [""expression vector design"", ""Design""],
  [""expression vector design"", ""Parts""],
  [""parts description"", ""Parts""],
  [""parts description"", ""Documentation""],
  [""testing"", ""Experiments""],
  [""testing"", ""Analysis""],
  [""refills materials and stock solutions"", ""Material Supply""],
  [""collaboration"", ""Collaboration""],
  [""outreach"", ""Public Engagement""],
  [""pcr"", ""Experiments""]
]
```",2015
"Based on the provided phrases and the categories, here is the matching:

1. ""wiki development"" - This phrase relates to the creation and management of the team's wiki website.
   - [[""wiki development"", ""Documentation""]]

2. ""worked mainly on the wetware component of the project"" - This phrase indicates working with biological components in the lab.
   - [[""worked mainly on the wetware component of the project"", ""Experiments""]]

3. ""designing hardware for the team's various experiments"" - This phrase indicates designing physical devices or instruments for experiments.
   - [[""designing hardware for the team's various experiments"", ""Hardware""]]

4. ""repairing hardware"" - This phrase involves working with physical devices or instruments.
   - [[""repairing hardware"", ""Hardware""]]

5. ""math adviser"" - This phrase suggests advising on mathematical aspects, likely related to modeling.
   - [[""math adviser"", ""Modelling""], [""math adviser"", ""Supervision""]]

6. ""helping dionne learn spanish"" - This phrase does not relate directly to any iGEM category.
   - [[""helping dionne learn spanish"", ""Other""]]

7. ""partner-in-crime in csa"" - This phrase is ambiguous and does not clearly relate to any specific iGEM category.
   - [[""partner-in-crime in csa"", ""Other""]]

8. ""exercising eloquent oral skills in toastmasters"" - This phrase suggests public speaking but does not directly relate to iGEM unless it's part of public engagement, which is not explicitly mentioned.
   - [[""exercising eloquent oral skills in toastmasters"", ""Other""]]

9. ""resolving dermal ailments"" - This phrase does not relate directly to any iGEM category.
   - [[""resolving dermal ailments"", ""Other""]]

10. ""making software into hardware"" - This phrase suggests a conversion or integration of software tools into physical devices.
    - [[""making software into hardware"", ""Hardware""], [""making software into hardware"", ""Software""]]

The output is:

```
[
  [""wiki development"", ""Documentation""],
  [""worked mainly on the wetware component of the project"", ""Experiments""],
  [""designing hardware for the team's various experiments"", ""Hardware""],
  [""repairing hardware"", ""Hardware""],
  [""math adviser"", ""Modelling""], 
  [""math adviser"", ""Supervision""],
  [""helping dionne learn spanish"", ""Other""],
  [""partner-in-crime in csa"", ""Other""],
  [""exercising eloquent oral skills in toastmasters"", ""Other""],
  [""resolving dermal ailments"", ""Other""],
  [""making software into hardware"", ""Hardware""],
  [""making software into hardware"", ""Software""]
]
```",2015
"Based on the descriptions provided for each category and the phrases given, here's how they match:

1. ""hunting down pcr machines"" - This phrase suggests looking for equipment, which fits under Material Supply.
2. ""playing games"" - This does not relate to any specific category in the context of the iGEM competition, so it falls under Other.
3. ""working on the wetwork"" - This phrase indicates working in a wet lab, which fits under Experiments.
4. ""playing for the professional league of legends team"" - This is unrelated to iGEM and fits under Other.
5. ""programming"" - This activity is related to creating software or computational tools, which fits under Software.
6. ""being named jean"" - This is unrelated to any specific iGEM activity and fits under Other.
7. ""watching interstellar"" - This is also unrelated to any specific iGEM activity and fits under Other.
8. ""having tushar do transformations and pcr clean up"" - This phrase describes specific lab tasks, which fits under Experiments.
9. ""running experiments"" - Clearly fits under Experiments.
10. ""managing genspace"" - This involves management and organization, fitting under Administration.

The matching output as a list of lists is as follows:

```plaintext
[[""hunting down pcr machines"", ""Material Supply""],
 [""playing games"", ""Other""],
 [""working on the wetwork"", ""Experiments""],
 [""playing for the professional league of legends team"", ""Other""],
 [""programming"", ""Software""],
 [""being named jean"", ""Other""],
 [""watching interstellar"", ""Other""],
 [""having tushar do transformations and pcr clean up"", ""Experiments""],
 [""running experiments"", ""Experiments""],
 [""managing genspace"", ""Administration""]]
```",2015
"Based on the descriptions provided for each category and the phrases listed, here is the matching:

1. ""designed and built loomino"" - This phrase suggests involvement in conceptualizing and creating a device or project component.
   - [""designed and built loomino"", ""Design""]
   - [""designed and built loomino"", ""Hardware""]

2. ""programmed the arduino"" - This indicates working with software or programming for hardware components.
   - [""programmed the arduino"", ""Software""]
   - [""programmed the arduino"", ""Hardware""]

3. ""ensured the biology of loomino was possible"" - This suggests involvement in validating the biological feasibility of the project.
   - [""ensured the biology of loomino was possible"", ""Design""]
   - [""ensured the biology of loomino was possible"", ""Experiments""]

4. ""assisted on the design of the device"" - Assistance in designing suggests involvement in the conceptual phase.
   - [""assisted on the design of the device"", ""Design""]

5. ""participation on igem 2015"" - This phrase indicates involvement in the iGEM competition but does not specify a particular category.
   - [""participation on igem 2015"", ""Other""]

6. ""working with people impacted by our device"" - This suggests engagement with the community or stakeholders, relevant to human practices.
   - [""working with people impacted by our device"", ""Human Practices""]

7. ""incorporating human practices in amsterdam"" - Direct involvement in human practices.
   - [""incorporating human practices in amsterdam"", ""Human Practices""]

8. ""linking biology and computer science"" - This suggests interdisciplinary work, possibly involving modelling or software development.
   - [""linking biology and computer science"", ""Modelling""]
   - [""linking biology and computer science"", ""Software""]

9. ""connecting different technologies"" - This phrase suggests integration of various technological aspects, relevant to hardware or software.
   - [""connecting different technologies"", ""Hardware""]
   - [""connecting different technologies"", ""Software""]

10. ""changing intrigue for synthetic biology into practice"" - This phrase suggests public engagement or education to transform interest into practical involvement.
    - [""changing intrigue for synthetic biology into practice"", ""Public Engagement""]

The output as a list of lists is:

```plaintext
[
  [""designed and built loomino"", ""Design""],
  [""designed and built loomino"", ""Hardware""],
  [""programmed the arduino"", ""Software""],
  [""programmed the arduino"", ""Hardware""],
  [""ensured the biology of loomino was possible"", ""Design""],
  [""ensured the biology of loomino was possible"", ""Experiments""],
  [""assisted on the design of the device"", ""Design""],
  [""participation on igem 2015"", ""Other""],
  [""working with people impacted by our device"", ""Human Practices""],
  [""incorporating human practices in amsterdam"", ""Human Practices""],
  [""linking biology and computer science"", ""Modelling""],
  [""linking biology and computer science"", ""Software""],
  [""connecting different technologies"", ""Hardware""],
  [""connecting different technologies"", ""Software""],
  [""changing intrigue for synthetic biology into practice"", ""Public Engagement""]
]
```",2015
"Here's the matching for each phrase to the appropriate categories:

1. **""interacting with diverse group of people""**
   - [[""interacting with diverse group of people"", ""Human Practices""]]
   - [[""interacting with diverse group of people"", ""Public Engagement""]]

2. **""making a difference in lives of people""**
   - [[""making a difference in lives of people"", ""Human Practices""]]
   - [[""making a difference in lives of people"", ""Public Engagement""]]

3. **""exploring possibilities of synthetic biology""**
   - [[""exploring possibilities of synthetic biology"", ""Design""]]
   - [[""exploring possibilities of synthetic biology"", ""Research""]]

4. **""supervising in the lab""**
   - [[""supervising in the lab"", ""Supervision""]]

5. **""organising team presentation training""**
   - [[""organising team presentation training"", ""Training""]]
   - [[""organising team presentation training"", ""Administration""]]

6. **""providing assistance in the design and execution of lab experiments""**
   - [[""providing assistance in the design and execution of lab experiments"", ""Design""]]
   - [[""providing assistance in the design and execution of lab experiments"", ""Experiments""]]
   - [[""providing assistance in the design and execution of lab experiments"", ""Supervision""]]

7. **""providing experimental design input""**
   - [[""providing experimental design input"", ""Design""]]
   - [[""providing experimental design input"", ""Experiments""]]

8. **""providing input and provision of lab materials""**
   - [[""providing input and provision of lab materials"", ""Material Supply""]]
   - [[""providing input and provision of lab materials"", ""Design""]]

9. **""providing inspiration, input, team support, lab space and materials""**
   - [[""providing inspiration, input, team support, lab space and materials"", ""Supervision""]]
   - [[""providing inspiration, input, team support, lab space and materials"", ""Material Supply""]]
   - [[""providing inspiration, input, team support, lab space and materials"", ""Administration""]]

10. **""providing feedback on our human practices content and activities""**
    - [[""providing feedback on our human practices content and activities"", ""Supervision""]]
    - [[""providing feedback on our human practices content and activities"", ""Human Practices""]]",2015
"Here's the matching of each phrase to the appropriate categories based on the descriptions provided:

1. ""teaching everyone how to put up content""
   - [[""teaching everyone how to put up content"", ""Training""]]
   - [[""teaching everyone how to put up content"", ""Documentation""]]

2. ""characterisation of parts""
   - [[""characterisation of parts"", ""Parts""]]
   - [[""characterisation of parts"", ""Experiments""]]

3. ""policy and practices""
   - [[""policy and practices"", ""Human Practices""]]

4. ""design and execution of characterisation of parts""
   - [[""design and execution of characterisation of parts"", ""Design""]]
   - [[""design and execution of characterisation of parts"", ""Parts""]]
   - [[""design and execution of characterisation of parts"", ""Experiments""]]

5. ""providing input for the policy and practices""
   - [[""providing input for the policy and practices"", ""Human Practices""]]

6. ""assisting with interlab measurements""
   - [[""assisting with interlab measurements"", ""Interlab""]]
   - [[""assisting with interlab measurements"", ""Experiments""]]

7. ""general molecular biology""
   - [[""general molecular biology"", ""Experiments""]]

8. ""modeling the physical device""
   - [[""modeling the physical device"", ""Modelling""]]
   - [[""modeling the physical device"", ""Hardware""]]

9. ""designing the physical device""
   - [[""designing the physical device"", ""Design""]]
   - [[""designing the physical device"", ""Hardware""]]

10. ""designing its software""
    - [[""designing its software"", ""Design""]]
    - [[""designing its software"", ""Software""]]

These matches are based on the descriptions of the categories and the activities described in each phrase.",2015
"Here's the matching of the given phrases to the appropriate categories:

1. ""design and creation of the 71 biobricks""
   - [[""design and creation of the 71 biobricks"", ""Design""], [""design and creation of the 71 biobricks"", ""Parts""]]

2. ""in charge of the interlab study""
   - [[""in charge of the interlab study"", ""Interlab""]]

3. ""stepping in anywhere in the molecular biology""
   - [[""stepping in anywhere in the molecular biology"", ""Experiments""]]

4. ""making cell lysates for enzyme characterisation""
   - [[""making cell lysates for enzyme characterisation"", ""Experiments""]]

5. ""designing and creating the 71 biobricks""
   - [[""designing and creating the 71 biobricks"", ""Design""], [""designing and creating the 71 biobricks"", ""Parts""]]

6. ""assisting in the interlab study""
   - [[""assisting in the interlab study"", ""Interlab""]]

7. ""part of the kent igem team""
   - [[""part of the kent igem team"", ""Other""]]

8. ""working on the modeling""
   - [[""working on the modeling"", ""Modelling""]]

9. ""working on the wiki""
   - [[""working on the wiki"", ""Documentation""]]

10. ""communicate with the general public during the public workshop outreach event""
    - [[""communicate with the general public during the public workshop outreach event"", ""Public Engagement""]]",2015
"Here's the matching of each phrase to the appropriate categories based on the descriptions provided:

1. ""helped the wet lab team""
   - [[""helped the wet lab team"", ""Experiments""]]

2. ""research on protein-protein/protein-ligand interactions""
   - [[""research on protein-protein/protein-ligand interactions"", ""Analysis""]]
   - [[""research on protein-protein/protein-ligand interactions"", ""Design""]]

3. ""research on amyloid assembly""
   - [[""research on amyloid assembly"", ""Analysis""]]
   - [[""research on amyloid assembly"", ""Design""]]

4. ""research on chlorophyll and haem biosynthesis""
   - [[""research on chlorophyll and haem biosynthesis"", ""Analysis""]]
   - [[""research on chlorophyll and haem biosynthesis"", ""Design""]]

5. ""research on e. coli respiration""
   - [[""research on e. coli respiration"", ""Analysis""]]
   - [[""research on e. coli respiration"", ""Design""]]

6. ""research on globin proteins""
   - [[""research on globin proteins"", ""Analysis""]]
   - [[""research on globin proteins"", ""Design""]]

7. ""research on bacteria response to nitric oxide""
   - [[""research on bacteria response to nitric oxide"", ""Analysis""]]
   - [[""research on bacteria response to nitric oxide"", ""Design""]]

8. ""helped the modeling team""
   - [[""helped the modeling team"", ""Modelling""]]

9. ""created a monte carlo simulation""
   - [[""created a monte carlo simulation"", ""Modelling""]]

10. ""research in structural bioinformatics""
    - [[""research in structural bioinformatics"", ""Analysis""]]
    - [[""research in structural bioinformatics"", ""Design""]]

These matches are based on the activities described in each phrase and how they relate to the categories of tasks typically performed in the iGEM competition.",2015
