Activity,Matching,year
inspiring us and showing us the broad possibilities in synthetic biology,Other,2015
cloning,Experiments,2015
lactis growth,Experiments,2015
protein expression and purification,Experiments,2015
protein assays,Experiments,2015
lab waste management,Safety,2015
finance,Fundraising,2015
administration,Administration,2015
wiki developer,Documentation,2015
world traveler,Other,2015
person who person-ed,Other,2015
refills materials,Material Supply,2015
stock solutions,Material Supply,2015
lb/gel master,Material Supply,2015
pcr master,Experiments,2015
my favourite part of the igem project is collaboration and outreach with the community,Collaboration,2015
my favourite part of the igem project is collaboration and outreach with the community,Public Engagement,2015
project design,Design,2015
cloning (a lot),Experiments,2015
expression vector design,Design,2015
parts description,Parts,2015
person who person-ed,Other,2015
refills materials,Material Supply,2015
stock solutions,Material Supply,2015
lb/gel master,Material Supply,2015
pcr master,Experiments,2015
my favourite part of the igem project is collaboration and outreach with the community,Collaboration,2015
my favourite part of the igem project is collaboration and outreach with the community,Public Engagement,2015
project design,Design,2015
cloning (a lot),Experiments,2015
expression vector design,Design,2015
parts description,Parts,2015
testing,Experiments,2015
testing,Software,2015
testing,Hardware,2015
many many hours of cloning,Experiments,2015
answer our questions and showing us new methods in experimental design,Supervision,2015
answer our questions and showing us new methods in experimental design,Training,2015
answer our questions and showing us new methods in experimental design,Design,2015
help us in our dire needs,Supervision,2015
and for taking the time to train us in various lab techniques,Training,2015
software,Software,2015
programmed the arduino,Software,2015
programmed the arduino,Hardware,2015
wetware/tdt work,Experiments,2015
hardware,Hardware,2015
designed and built loomino,Design,2015
designed and built loomino,Hardware,2015
designed and built loomino,Software,2015
assistance on the design of the device,Design,2015
provided inspiration,Other,2015
input,Other,2015
team support,Other,2015
lab space and materials,Material Supply,2015
steered us in the right direction,Supervision,2015
providing input,Other,2015
provision of lab materials,Material Supply,2015
providing experimental design input,Design,2015
providing experimental design input,Experiments,2015
assistance in the design and execution of lab experiments,Design,2015
assistance in the design and execution of lab experiments,Experiments,2015
supervising in the lab,Supervision,2015
organising team presentation training,Training,2015
organising team presentation training,Administration,2015
making cell lysates for our enzyme characterisation,Experiments,2015
molecular biology,Experiments,2015
designed the wiki,Documentation,2015
policy and practices,Human Practices,2015
assisting on the wiki,Documentation,2015
interlab measurements,Interlab,2015
design and execution of characterisation of parts,Design,2015
design and execution of characterisation of parts,Experiments,2015
design and execution of characterisation of parts,Parts,2015
design and creation of the 71 biobricks,Design,2015
design and creation of the 71 biobricks,Parts,2015
interlab study,Interlab,2015
characterisation of parts,Parts,2015
modeled and designed the physical device,Modelling,2015
modeled and designed the physical device,Hardware,2015
software,Software,2015
providing feedback on experiments,Supervision,2015
presentations and poster,Creative Contributions,2015
presentations and poster,Public Engagement,2015
providing input on the biological approach behind our project,Supervision,2015
providing feedback on our human practices content and activities,Supervision,2015
providing feedback on our human practices content and activities,Human Practices,2015
providing assistance in the lab,Supervision,2015
offering assistance and input on the modeling of our biosensor,Supervision,2015
offering assistance and input on the modeling of our biosensor,Modelling,2015
supervisor,Supervision,2015
wetlab,Experiments,2015
carrying out restriction dna digestion,Experiments,2015
gibson assembly,Experiments,2015
ligation reactions,Experiments,2015
identifying and designing biobrick parts to improve,Design,2015
identifying and designing biobrick parts to improve,Parts,2015
results writing,Documentation,2015
outreach events,Public Engagement,2015
writing,Documentation,2015
wiki,Documentation,2015
supervisor,Supervision,2015
wetlab,Experiments,2015
carrying out restriction dna digestion,Experiments,2015
gibson assembly,Experiments,2015
ligation reactions,Experiments,2015
identifying and designing biobrick parts to improve,Design,2015
identifying and designing biobrick parts to improve,Parts,2015
results writing,Documentation,2015
outreach events,Public Engagement,2015
writing,Documentation,2015
wiki,Documentation,2015
designing and writing the wiki,Design,2015
designing and writing the wiki,Documentation,2015
creating the kent igem logo,Creative Contributions,2015
mini-preps,Experiments,2015
ligations,Experiments,2015
transformations,Experiments,2015
producing competent cells,Experiments,2015
scientific writing for the biobrick parts,Documentation,2015
scientific writing for the biobrick parts,Parts,2015
modelling,Modelling,2015
developed the model of our system,Modelling,2015
rendered the equations into a new software tool,Modelling,2015
rendered the equations into a new software tool,Software,2015
rendered 3d animations of our system,Documentation,2015
rendered 3d animations of our system,Creative Contributions,2015
created the code for the wiki pages,Documentation,2015
created the code for the wiki pages,Software,2015
helped the unitn igem team by helping to create a model for their system,Collaboration,2015
helped the unitn igem team by helping to create a model for their system,Modelling,2015
policy and practice,Human Practices,2015
performed transformations,Experiments,2015
produced competent cells and helped capture pictures of the control samples,Experiments,2015
ran the organisational infrastructure,Administration,2015
managed the social network channels,Public Engagement,2015
overall communications with other teams,Collaboration,2015
liaised the collaborations with the unitn igem team,Collaboration,2015
validation of our fusion protein by carrying out afm imaging congo red and heme plating,Experiments,2015
gathering mps opinion on synthetic biology,Human Practices,2015
design of our questionnaire,Human Practices,2015
conducted interviews and presented our project to other teams at our meet-ups,Collaboration,2015
conducted interviews and presented our project to other teams at our meet-ups,Public Engagement,2015
carrying out gibson assembly and diagnostics tests,Experiments,2015
validating the conductivity of our fusion protein,Experiments,2015
interviewed international politicians,Human Practices,2015
developed a questionnaire on synthetic biology,Human Practices,2015
contributed in the improvement of the wiki,Documentation,2015
constructing the parameters list for the modelling and designing the project,Modelling,2015
constructing the parameters list for the modelling and designing the project,Design,2015
did mostly transformations,Experiments,2015
helping other members of the team with various protocol,Training,2015
scientific writing of our project,Documentation,2015
project description,Design,2015
description of our biobricks,Parts,2015
description of our biobricks,Documentation,2015
pcr reactions,Experiments,2015
run diagnostic restriction digest gels,Experiments,2015
contributed to the scientific writing,Documentation,2015
creation of a questionnaire on synthetic biology sent to politicians and the general public,Human Practices,2015
creation of a questionnaire on synthetic biology sent to politicians and the general public,Public Engagement,2015
designed and created a gui,Software,2015
designing our banner,Creative Contributions,2015
creating our posters,Creative Contributions,2015
envirowire logo,Creative Contributions,2015
presented at our outreach events,Public Engagement,2015
managed the social networking of the team,Public Engagement,2015
designed our presentations,Creative Contributions,2015
helped with the scientific and wiki writing,Documentation,2015
carrying out diagnostic congo red plating and transformations,Experiments,2015
advisors,Supervision,2015
provided advice at all stages of the project,Supervision,2015
contributed useful feedback and critique of data collection,Supervision,2015
contributed useful feedback and critique of data collection,Analysis,2015
aided with obtaining supplies and chemicals from commercial sources,Material Supply,2015
supplied numerous chemicals and supplies on short notice,Material Supply,2015
provided the team with project support and advice,Supervision,2015
taught the majority of the lab techniques used during the course of the competition,Training,2015
provided advice on the remaining techniques,Supervision,2015
laboratory experiments,Experiments,2015
data collection,Experiments,2015
data collection,Analysis,2015
analysis,Analysis,2015
lab team,Experiments,2015
human practices team,Human Practices,2015
team captain,Administration,2015
lab team co-leader,Administration,2015
lab team co-leader,Experiments,2015
project leader,Administration,2015
poster team,Public Engagement,2015
poster team,Creative Contributions,2015
human practices leader,Human Practices,2015
website team,Documentation,2015
vice captain,Administration,2015
web team co-leader,Documentation,2015
poster team leader,Public Engagement,2015
poster team leader,Creative Contributions,2015
helped us with the experimental design,Design,2015
given us protocols for pcr and purification of dna,Experiments,2015
outreach,Public Engagement,2015
web development,Software,2015
designing experiments to test if the moss has obtained the wished ability,Design,2015
designing experiments to test if the moss has obtained the wished ability,Experiments,2015
webdesign,Software,2015
building the experiments that test our moss,Experiments,2015
red lab,Experiments,2015
working on experiments which simulate the conditions on mars,Experiments,2015
film editing,Creative Contributions,2015
moss transformations,Experiments,2015
subsequent experiments testing the results,Experiments,2015
works with the dna which is inserted into the moss,Experiments,2015
works with the dna which is inserted into the moss,Parts,2015
branding,Creative Contributions,2015
funding,Fundraising,2015
helping with the moss transformations,Experiments,2015
green lab,Other,2015
greenlab,Other,2015
doing transformations of moss,Experiments,2015
purification of plasmids in e. coli,Experiments,2015
work conducted in the manipulation of moss,Experiments,2015
help with the lab work and wiki design,Experiments,2015
help with the lab work and wiki design,Documentation,2015
advice with the experimental design,Design,2015
advice with the experimental design,Supervision,2015
lab and office space,Material Supply,2015
taught how to 'handle' moss and propagation moss cultures,Training,2015
offering their expertise and experience in synthetic biology,Supervision,2015
guided us on the feasibility of our project,Supervision,2015
contributed ideas,Design,2015
helped us to obtain all the materials we needed,Material Supply,2015
supported us in obtaining sponsorships,Fundraising,2015
gave input and feedback on our presentation.,Supervision,2015
synthetic construct design of our project,Design,2015
managed the dry lab research,Administration,2015
managed the dry lab research,Analysis,2015
planning the project,Design,2015
planning the project,Administration,2015
designing our parts,Design,2015
designing our parts,Parts,2015
ordering primers,Material Supply,2015
led the molecular biology team,Supervision,2015
led the molecular biology team,Experiments,2015
building our new biobrick devices,Parts,2015
building our new biobrick devices,Experiments,2015
phosphate assay,Experiments,2015
business plan,Entrepreneurship,2015
design our team's phosphate measurement experiments,Design,2015
design our team's phosphate measurement experiments,Experiments,2015
wrote our team's extensive business plan,Entrepreneurship,2015
wrote our team's extensive business plan,Documentation,2015
participated in dry lab research,Analysis,2015
guide both the phosphate and growth assay teams,Supervision,2015
scheduling plate reader experiments,Administration,2015
scheduling plate reader experiments,Experiments,2015
managing overnight cultures,Experiments,2015
managing overnight cultures,Administration,2015
analysing data,Analysis,2015
complete a model for our project,Modelling,2015
dry lab research,Analysis,2015
growth assay team,Experiments,2015
designing our wiki template,Documentation,2015
general wiki content formatting,Documentation,2015
modeling,Modelling,2015
presentation,Public Engagement,2015
presentation,Creative Contributions,2015
participated in outreach events,Public Engagement,2015
phosphate assay team,Experiments,2015
