team,year,text,edge,target,context,Notes,direction,Flag
Concordia,2016,"Team:Concordia/Collaborations
iGEM Concordia Wiki
HOME
WEBSERIES
SAFETY
TEAM
MEET THE TEAM COLLABORATIONS ATTRIBUTIONS
PROJECT
DESCRIPTION DEMONSTRATE EXPERIMENTS PARTS NOTEBOOK
RESULTS
SYNTHESIS ATTACHMENT MICROFLUIDICS CDC28, FHUA-GBP, AND MELA IMPROVEMENT
HUMAN PRACTICES
PUBLIC ENGAGEMENT & EDUCATION INTEGRATED HUMAN PRACTICES
SPONSORS
SPONSOR LIST SPONSORSHIP PACKAGE
SPECIAL AWARDS
INTEGRATED HUMAN PRACTICES BASIC PART HARDWARE EDUCATION AND PUBLIC ENGAGEMENT
University of Toronto iGEM
This year’s iGEM team from the University of Toronto has been working on a cell-free method of detecting gold on a paper-based biosensor. Their goal is develop a cheaper, more efficient, and more environmentally friendly method to detect gold for the mining industry. Their detector is GolS, a transcriptional activator that binds gold ions in solution. Following gold ion sequestration, the protein binds to a specific promoter called the P(golTS) promoter region and activates downstream transcription.
IgeM UofT sent us two plasmids of their design. One plasmid (called GolS hereon in, BBa_K2048001) contains the sequence of GolS under regulation of a TetOn promoter and a downstream P(golTS) promoter linked to a LacZɑ sequence, contained in pSB1C3. The other plasmid (called P118A hereon in, BBa_K2048002) contained the same DNA sequences, however the GolS sequence has a point mutation changing a proline to an alanine at position 118. Wild-type GolS in Salmonella enterica is known to bind to other metal ions, such as Cu, but the GolSP118A mutation abolishes specificity for Cu while only slightly decreasing specificity for Au ions1.
One of the goals of our project this year is to synthesize gold nanoparticles. When we found that iGEM UofT was working with a gold ion sensor, we became excited at the possibilities of collaboration. After some brainstorming, we came up with the idea of characterizing GolS in vivo to add onto iGEM UofT’s current data (mainly in vitro, but some in vivo).
We were informed that UofT had performed an analysis of the ability for GolS and GolS_P118A to react to copper",TRUE,Toronto,Material Transfer,The chunk is incomplete and only confirms material transfer of plasmids - but the plans of concordia are to characterize toronto'sparts and add information which suggests dependency and working together.,ts,
Purdue,2016,"This year the Rose-Hulman Institute of Technology’s (RHIT) team looked to control the aerobic respiration of Saccharomyces cerevisiae by manipulating the expression of the mitochondrial protein mRPS12. In order to verify if their negative control ∆mRPS12 knockouts were successful, RHIT tagged the protein with a yeast-enhanced GFP so that under fluorescence microscopy they could easily see if their recombinants’ mitochondria were green or not.
Although RHIT did not have access to a fluorescence microscope on their home campus sufficiently powerful for that purpose, after a series of emails between RHIT and Purdue iGEM the logistics were laid for our teams to come together and tackle that problem in the early morning of August 10th, 2016.
After booking a time with Purdue’s Bioscience Imaging Facility Dr Andy Schaber our teams (or Rose-Hulman’s and Biomaker Barrett Davis) were able to meet up, verify the proper positional expression of yGFP in RHIT’s constructs, and still have time for lunch.
In return, RHIT contributed (like the University of Exeter’s team) to our team's past project database and provided feedback on our teams protocols for biosafety involving the sol-gel immobilization process.
Sri Venkateswara College of Engineering (SVCE), India
This year Chennai’s Sri Venkateswara College of Engineering explored a means of preventing milk spoilage by producing antimicrobial peptides with temperature sensitive promoters and also sought to gain some insight into public opinion on synthetic biology. As part of a collaboration between our schools SVCE distributed a survey we created to engage the community with during our local Wabash River Festival in their own locale, and we constructed, transformed and characterized one of their temperature-sensitive promoters at 30, 37, and 42°C.",TRUE,SVCE_CHENNAI,Work,"SVCE answered and distributed Purdue's surveys while Purdue built, characterised and transformed SVCE's part. The purdue -> SVCE link is work (as they built and characterised SVCE's part) but the SVCE -> purdue link is material transfer (collect data).",st,
Purdue,2016,"This year the Rose-Hulman Institute of Technology’s (RHIT) team looked to control the aerobic respiration of Saccharomyces cerevisiae by manipulating the expression of the mitochondrial protein mRPS12. In order to verify if their negative control ∆mRPS12 knockouts were successful, RHIT tagged the protein with a yeast-enhanced GFP so that under fluorescence microscopy they could easily see if their recombinants’ mitochondria were green or not.
Although RHIT did not have access to a fluorescence microscope on their home campus sufficiently powerful for that purpose, after a series of emails between RHIT and Purdue iGEM the logistics were laid for our teams to come together and tackle that problem in the early morning of August 10th, 2016.
After booking a time with Purdue’s Bioscience Imaging Facility Dr Andy Schaber our teams (or Rose-Hulman’s and Biomaker Barrett Davis) were able to meet up, verify the proper positional expression of yGFP in RHIT’s constructs, and still have time for lunch.
In return, RHIT contributed (like the University of Exeter’s team) to our team's past project database and provided feedback on our teams protocols for biosafety involving the sol-gel immobilization process.
Sri Venkateswara College of Engineering (SVCE), India
This year Chennai’s Sri Venkateswara College of Engineering explored a means of preventing milk spoilage by producing antimicrobial peptides with temperature sensitive promoters and also sought to gain some insight into public opinion on synthetic biology. As part of a collaboration between our schools SVCE distributed a survey we created to engage the community with during our local Wabash River Festival in their own locale, and we constructed, transformed and characterized one of their temperature-sensitive promoters at 30, 37, and 42°C.",TRUE,SVCE_CHENNAI,Material Transfer,"SVCE answered and distributed Purdue's surveys while Purdue built, characterised and transformed SVCE's part. The purdue -> SVCE link is work (as they built and characterised SVCE's part) but the SVCE -> purdue link is material transfer (collect data).",ts,
Purdue,2016,"This year the Rose-Hulman Institute of Technology’s (RHIT) team looked to control the aerobic respiration of Saccharomyces cerevisiae by manipulating the expression of the mitochondrial protein mRPS12. In order to verify if their negative control ∆mRPS12 knockouts were successful, RHIT tagged the protein with a yeast-enhanced GFP so that under fluorescence microscopy they could easily see if their recombinants’ mitochondria were green or not.
Although RHIT did not have access to a fluorescence microscope on their home campus sufficiently powerful for that purpose, after a series of emails between RHIT and Purdue iGEM the logistics were laid for our teams to come together and tackle that problem in the early morning of August 10th, 2016.
After booking a time with Purdue’s Bioscience Imaging Facility Dr Andy Schaber our teams (or Rose-Hulman’s and Biomaker Barrett Davis) were able to meet up, verify the proper positional expression of yGFP in RHIT’s constructs, and still have time for lunch.
In return, RHIT contributed (like the University of Exeter’s team) to our team's past project database and provided feedback on our teams protocols for biosafety involving the sol-gel immobilization process.
Sri Venkateswara College of Engineering (SVCE), India
This year Chennai’s Sri Venkateswara College of Engineering explored a means of preventing milk spoilage by producing antimicrobial peptides with temperature sensitive promoters and also sought to gain some insight into public opinion on synthetic biology. As part of a collaboration between our schools SVCE distributed a survey we created to engage the community with during our local Wabash River Festival in their own locale, and we constructed, transformed and characterized one of their temperature-sensitive promoters at 30, 37, and 42°C.",TRUE,RHIT,Material Transfer,"Purdue offered their lab and tech/people resources to enable the project of RHIT. In return, RHIT gave some feedback on their project and contributed to their database. Seems like bidirectional material transfer","ts, st",
Athens,2018," are planning to keep on working on their projects after the course of the competition, we decided to set a common timetable on realizing our kits. To this end, we will evaluate if parts of our kit could be 3D printed and put together to a final product.
iGEM Community encounters
During the summer months, many team members from other iGEM Teams visited our city, Athens in the frame of their summer vacation. When they contacted us, we were quick to set up a meeting in order to know each other and talk all things iGEM. We had the pleasure of meeting with Nicholas Kakaroubas from the UNSW 2018 iGEM Team. We presented each other with our projects and gave feedback on the enzymatic issues we shared. We also gave Nick a tour of one of the labs were we work and spend a day doing lab work together, while we exchanged many wet lab tips. Our team also met Alexis Casas from the iGEM Paris - Bettencourt Team with whom we had a very interesting conversation about our projects!
Surveys
Throughout the iGEM year, we completed as many surveys provided by other teams as we could, in order to help them form their project or gain an understanding about the way their peers view certain subjects. Specifically we completed surveys from the teams:
iGEM Bulgaria Questionnaire: Survey concerning CRISPR, GMOs and our view about them.
iGEM Dusseldorf: Survey about probiotics.
iGEM Montpellier 2018: Survey concerning contraceptive methods and the possible use of engineering bacteria for this purpose.
UNAMBG iGEM 2018: Survey about antibiotic resistance.
Contact Info:
igemathens2018@gmail.com",TRUE,Bulgaria,Material Transfer,Completed a survey,st,
Athens,2018," are planning to keep on working on their projects after the course of the competition, we decided to set a common timetable on realizing our kits. To this end, we will evaluate if parts of our kit could be 3D printed and put together to a final product.
iGEM Community encounters
During the summer months, many team members from other iGEM Teams visited our city, Athens in the frame of their summer vacation. When they contacted us, we were quick to set up a meeting in order to know each other and talk all things iGEM. We had the pleasure of meeting with Nicholas Kakaroubas from the UNSW 2018 iGEM Team. We presented each other with our projects and gave feedback on the enzymatic issues we shared. We also gave Nick a tour of one of the labs were we work and spend a day doing lab work together, while we exchanged many wet lab tips. Our team also met Alexis Casas from the iGEM Paris - Bettencourt Team with whom we had a very interesting conversation about our projects!
Surveys
Throughout the iGEM year, we completed as many surveys provided by other teams as we could, in order to help them form their project or gain an understanding about the way their peers view certain subjects. Specifically we completed surveys from the teams:
iGEM Bulgaria Questionnaire: Survey concerning CRISPR, GMOs and our view about them.
iGEM Dusseldorf: Survey about probiotics.
iGEM Montpellier 2018: Survey concerning contraceptive methods and the possible use of engineering bacteria for this purpose.
UNAMBG iGEM 2018: Survey about antibiotic resistance.
Contact Info:
igemathens2018@gmail.com",TRUE,Duesseldorf,Material Transfer,Completed a survey,st,
Athens,2018," are planning to keep on working on their projects after the course of the competition, we decided to set a common timetable on realizing our kits. To this end, we will evaluate if parts of our kit could be 3D printed and put together to a final product.
iGEM Community encounters
During the summer months, many team members from other iGEM Teams visited our city, Athens in the frame of their summer vacation. When they contacted us, we were quick to set up a meeting in order to know each other and talk all things iGEM. We had the pleasure of meeting with Nicholas Kakaroubas from the UNSW 2018 iGEM Team. We presented each other with our projects and gave feedback on the enzymatic issues we shared. We also gave Nick a tour of one of the labs were we work and spend a day doing lab work together, while we exchanged many wet lab tips. Our team also met Alexis Casas from the iGEM Paris - Bettencourt Team with whom we had a very interesting conversation about our projects!
Surveys
Throughout the iGEM year, we completed as many surveys provided by other teams as we could, in order to help them form their project or gain an understanding about the way their peers view certain subjects. Specifically we completed surveys from the teams:
iGEM Bulgaria Questionnaire: Survey concerning CRISPR, GMOs and our view about them.
iGEM Dusseldorf: Survey about probiotics.
iGEM Montpellier 2018: Survey concerning contraceptive methods and the possible use of engineering bacteria for this purpose.
UNAMBG iGEM 2018: Survey about antibiotic resistance.
Contact Info:
igemathens2018@gmail.com",TRUE,Montpellier,Material Transfer,Completed a survey,st,
Athens,2018," are planning to keep on working on their projects after the course of the competition, we decided to set a common timetable on realizing our kits. To this end, we will evaluate if parts of our kit could be 3D printed and put together to a final product.
iGEM Community encounters
During the summer months, many team members from other iGEM Teams visited our city, Athens in the frame of their summer vacation. When they contacted us, we were quick to set up a meeting in order to know each other and talk all things iGEM. We had the pleasure of meeting with Nicholas Kakaroubas from the UNSW 2018 iGEM Team. We presented each other with our projects and gave feedback on the enzymatic issues we shared. We also gave Nick a tour of one of the labs were we work and spend a day doing lab work together, while we exchanged many wet lab tips. Our team also met Alexis Casas from the iGEM Paris - Bettencourt Team with whom we had a very interesting conversation about our projects!
Surveys
Throughout the iGEM year, we completed as many surveys provided by other teams as we could, in order to help them form their project or gain an understanding about the way their peers view certain subjects. Specifically we completed surveys from the teams:
iGEM Bulgaria Questionnaire: Survey concerning CRISPR, GMOs and our view about them.
iGEM Dusseldorf: Survey about probiotics.
iGEM Montpellier 2018: Survey concerning contraceptive methods and the possible use of engineering bacteria for this purpose.
UNAMBG iGEM 2018: Survey about antibiotic resistance.
Contact Info:
igemathens2018@gmail.com",TRUE,Bilkent-UNAMBG,Material Transfer,Completed a survey,st,
Athens,2018," are planning to keep on working on their projects after the course of the competition, we decided to set a common timetable on realizing our kits. To this end, we will evaluate if parts of our kit could be 3D printed and put together to a final product.
iGEM Community encounters
During the summer months, many team members from other iGEM Teams visited our city, Athens in the frame of their summer vacation. When they contacted us, we were quick to set up a meeting in order to know each other and talk all things iGEM. We had the pleasure of meeting with Nicholas Kakaroubas from the UNSW 2018 iGEM Team. We presented each other with our projects and gave feedback on the enzymatic issues we shared. We also gave Nick a tour of one of the labs were we work and spend a day doing lab work together, while we exchanged many wet lab tips. Our team also met Alexis Casas from the iGEM Paris - Bettencourt Team with whom we had a very interesting conversation about our projects!
Surveys
Throughout the iGEM year, we completed as many surveys provided by other teams as we could, in order to help them form their project or gain an understanding about the way their peers view certain subjects. Specifically we completed surveys from the teams:
iGEM Bulgaria Questionnaire: Survey concerning CRISPR, GMOs and our view about them.
iGEM Dusseldorf: Survey about probiotics.
iGEM Montpellier 2018: Survey concerning contraceptive methods and the possible use of engineering bacteria for this purpose.
UNAMBG iGEM 2018: Survey about antibiotic resistance.
Contact Info:
igemathens2018@gmail.com",TRUE,UNSW_Australia,Meetup,Met one member of the target team (not a traditional meetup),,
Athens,2018," are planning to keep on working on their projects after the course of the competition, we decided to set a common timetable on realizing our kits. To this end, we will evaluate if parts of our kit could be 3D printed and put together to a final product.
iGEM Community encounters
During the summer months, many team members from other iGEM Teams visited our city, Athens in the frame of their summer vacation. When they contacted us, we were quick to set up a meeting in order to know each other and talk all things iGEM. We had the pleasure of meeting with Nicholas Kakaroubas from the UNSW 2018 iGEM Team. We presented each other with our projects and gave feedback on the enzymatic issues we shared. We also gave Nick a tour of one of the labs were we work and spend a day doing lab work together, while we exchanged many wet lab tips. Our team also met Alexis Casas from the iGEM Paris - Bettencourt Team with whom we had a very interesting conversation about our projects!
Surveys
Throughout the iGEM year, we completed as many surveys provided by other teams as we could, in order to help them form their project or gain an understanding about the way their peers view certain subjects. Specifically we completed surveys from the teams:
iGEM Bulgaria Questionnaire: Survey concerning CRISPR, GMOs and our view about them.
iGEM Dusseldorf: Survey about probiotics.
iGEM Montpellier 2018: Survey concerning contraceptive methods and the possible use of engineering bacteria for this purpose.
UNAMBG iGEM 2018: Survey about antibiotic resistance.
Contact Info:
igemathens2018@gmail.com",TRUE,Paris_Bettencourt,Meetup,Met one member of the target team (not a traditional meetup),,
