team,year,page,text
Grenoble-EMSE-LSU,2013,Team:Grenoble-EMSE-LSU#Design#style_-_-_TEXT.html," border: none;
}
menubar
{
font-size: 65%;    top: 0px;
}
/****************************************/ /* Barre de menu en haut de chaque page */ /****************************************/
ul.topnav ul li { opacity: 0.7; }
ul.topnav ul li:hover { opacity: 1; }
ul.topnav li[id=""model_icon""] ul.subnav li:hover, .menu_gauche[id=""model_icon""] ul li:hover { background-color: #ffffff; }
ul.topnav li[id=""project_icon""] ul.subnav li:hover, .menu_gauche[id=""project_icon""] ul li:hover { background-color: #b80100; }
ul.topnav li[id=""bio_icon""] ul.subnav li:hover, .menu_gauche[id=""bio_icon""] ul li:hover { background-color: #30849b; }
ul.topnav li[id=""home_icon""] ul.subnav li:hover, .menu_gauche[id=""home_icon""] ul li:hover { background-color: #e46c0a; }
ul.topnav li[id=""team_icon""] ul.subnav li:hover, .menu_gauche[id=""team_icon""] ul li:hover { background-color: #007f00; }
ul.topnav li[id=""HP_icon""] ul.subnav li:hover, .menu_gauche[id=""HP_icon""] ul li:hover { background-color: #1c477b; }
.menu_gauche[id=""HP_icon""] ul li:hover { background-color: #1c477b; }
ul.topnav li[id=""HP_icon""] ul.subnav li a:hover, ul.topnav li[id=""bio_icon""] ul.subnav li a:hover,  ul.topnav li[id=""model_icon""] ul.subnav li a:hover, ul.topnav li[id=""team_icon""] ul.subnav li a:hover, ul.topnav li[id=""home_icon""] ul.subnav li a:hover, ul.topnav li[id=""project_icon""] ul.subnav li a:hover { font-weight: bold; color: white; }
ul.topnav ul a:hover { text-decoration: none; }
ul.topnav li { float: left; position: relative; }
ul.topnav > li > a { height: 28px; overflow: hidden; }
ul.topnav li ul.subnav { position: absolute; left: -19px;  top: 110px; background: #e6e6e6; display: none; float: left; border-radius: 10px; }
ul.topnav li[id=""HP_icon"
CGU_Taiwan,2016,Team:CGU Taiwan#Project_-_-_TEXT.html," document exchange, document management, and document publishing. HTML was originally created to allow those who were not specialized in SGML to publish and exchange scientific and other technical documents. HTML especially facilitated this exchange.
Week 2 (5/9~5/15)
Week 3 (5/16~5/22)
Week 4 (5/23~5/31)
Week 1 (5/1~5/8)
The saga of CSS starts in 1994. One of the authors of this book works at CERN - the cradle of the Web - and the Web is starting to be used as a platform for electronic publishing. One crucial part of a publishing platform is missing, however: there is no way to style documents. For example, there is no way to describe a newspaper-like layout in a Web page. Having worked on personalized newspaper presentations at the MIT Media Laboratory, HÂ Ã¦n saw the need for a style sheet language for the Web. Style sheets in browsers were not an entirely new idea.
Week 2 (5/9~5/15)
Week 3 (5/16~5/22)
Week 4 (5/23~5/31)
Week 1 (5/1~5/8)
JavaScript was originally developed in Netscape, by Brendan Eich. Battling with Microsoft over the Internet, Netscape considered their client-server solution as a distributed OS, running a portable version of Sun Microsystems' Java. Because Java was a competitor of C++ and aimed at professional programmers, Netscape also wanted a lightweight interpreted language that would complement Java by appealing to nonprofessional programmers, like Microsoft's VB. Developed under the name Mocha, LiveScript was the official name for the language.
Week 2 (5/9~5/15)
Week 3 (5/16~5/22)
Week 4 (5/23~5/31)
June 2016
Week 1 (6/1~6/5)
Tim Berners-Lee invented the World Wide Web in 1989, about 20 years after the first connection was established over what is today known as the Internet. At the time, Tim was a software engineer at CERN, the large particle physics laboratory near Geneva. Many scientists participated in experiments at CERN for extended periods of time, then returned to their laboratories around the world. These scientists were eager to exchange data and results, but had difficulties doing so. Tim understood the unrealized potential of millions of computers connected together through the Internet.
Week 2 (6/6~6/12"
Gifu,2017,Team:Gifu#Project_-_-_TEXT.html," of the most important processes is making koji, Aspergillus oryzae is mainly used for propagating koji mold. In koji-muro, koji-making room at 30 ℃, koji spores are inoculated on the rice. After inoculation, the rice is kneaded and mixed well to put koji spores evenly onto rice. Under the condition of koji-muro, koji rice is incubated for one day.
⑤ Making shubo, starter culture of sake
Rice koji, a kind of mold grown on rice, sake yeast and steamed rice is added to shikomi-sui, water for sake making. With strict thermal management, mass propagation of sake yeast is accelerated. Toji, a chief of sake maker continues the pumping over the starter liquid. Taking out and pouring of starter culture liquid during early stage of the starter enhances the absorption of liquid by koji and steamed rice. The liquid of the fermentation starter is full of enzyme for saccharification. The chief verifies the quality of shubo overnight.
⑥ Shikomi, preparation for fermentation mash
After being transferred to a larger tank, more koji, the rice and water are added. To prepare the fermentation mash of sake, steamed rice and koji are divided into three portions and added over four days. Three steps are called hatsu-zoe or first step, naka-zoe or second stage and tome-zoe or third stage respectively. This method is the basic and traditional method of sake brewery and astonishingly effective to prevent microbial contamination. After incubation for 15 to 20 days, moromi, fermentation mash, is completed.
⑦ Pressing and filtration
Pressing is a process to separate sake kasu, sake cake, and sake. This is conducted by putting moromi in sakebukuro, cloth bags used at pressing stage. Filtration is also performed to let more solids such as rice settle out. Charcoal filtration is usually used to adjust flavor and color.
⑧ Pasteurization
Following filtration, sake is heated to 60 ℃ to sterilize and deactivate the enzyme. This is called hiire and indispensable to prevent spoilage.
⑨ Storing(Aging)
Sake is fundamentally left in the tank to age about a half of a year. The period depends on types and brands.
Catabolite repression and GAR prion
For S.cerevisiae, glucose is the most principal source to maintain its life. Yeast is fundamentally able to utilize a variety of carbon source such as glycerol. However, under the condition of presence of glucose, yeast"
INSA-UPS_France,2017,Team:INSA-UPS France#Collaborations_-_-_TEXT.html,"Team:INSA-UPS France/Collaborations
Croc'n Cholera
iGEM UPS-INSA Toulouse 2017
Team
Members
Supports
Attributions
Collaborations
Strategy
Description
Design
Parts
Model
Overview
Simulation
Analysis
Interface
Realisations
Overview
Notebook
Clonings
Results
Contribution
Protocols
Safety
Human Practices
Overview
Silver
Gold
Public Engagement
Microbioworld
Application
Applied Design
Testimonies
Entrepreneurship
Device Conception
Collaborations
Freeze-dried Lactobacillus Experiment
Done for: Purdue team
Their project:
Purdue team is working on a spray device to purify lungs from benzene and toluene. Their idea is to spray engineered bacteria in the lungs that could purify lungs, thanks to their device. So they imagined a spray device supposed to be kept at -20°C and they were looking for a way to efficiently conserve bacteria at such temperature in a medium that human could ingest.
Their experiment:
It’s known that E. coli can be conserved for a long time in a milk/sucrose mix at -80°C. They enhanced the conservation protocol to maintain E. coli as long as possible in the milk/sucrose mix at -20°C.
Our experiment:
We obtained a lung microbiota strain, Lactobacillus spp ( coming from the Micalis lnstitute), to know whether the protocol they established could be used to maintain a real microbiota strain.
Procotol used:
In order to know if the lung strain could be maintained in milk for 2 weeks we made aliquots of bacteria in the milk mixture and everyday tubes were defrosted, dilutions were made and plated on petri dish. Two days after CFU were counted. Everyday 3 tubes of milk aliquots to check repeatability of countings were defrosted and 1 containing bacteria in water as a control.
The milk mixture was made with 18% of milk powder + 4% sucrose + 78% of sterilized water. The mixture was then pasteurized.
Petri dishes (MRS) with 10-4, 10-5, 10-6 and 10-7 dilutions of Lactobacillus spp
Results
CFU counts show that the freezing  induced an expected decrease of CFU in both milk and water (approximatively 35% of decrease after one day of freezing). In the following days"
TU-Delft,2012,Team:TU-Delft#test3_-_-_TEXT.html,N7Gp23CcwVZDljeo78F1m38d+2YMuOzbSLu1YnlE3mL9CiYnHevNY4 q7beGbOsKvlOgR3aQsf2wF85PXD+/MvRGbVq1SonGeXIE4l8QceO1iiqupzmzAaGjQT+5uq8Ayha Deg599HrNU0qMmfZhN63cKHVVRJ0a27evBEOHgzfZJQzpufI40RdFls2WjqctDDQezowdpgOf7CS sksZE7XgFjp0BNDjb428BR93PS8JLRkVtJvQpjCwDzvyDST11K1eI3uwX2e/J2g3oQ5DKlGihNNN 6MgrK6dPe8HDw0lGOesVXQHGzHJLPq3ibV0llp41Z9TzAB3iz3EIzN8sEXmme+u5klND+gHrLxIw N2XwNJZ60Q3o0I6PM8Dy2g0M3gMMGgds32zxHWjkSETMmzdalfDHtZyfPPlvclqBlaAVcHd5HIH5 f9F5kfo7BOaOPK1opPXE8f99XMlgqZVIbMeMsQjLLX0DWrawQLfeq0ZUJWMlF65bALx8dSB2fA/c vPHiklF2x6342Nq3b+8koxx5ItGhFq1bWv5AJLQaXd22A8hfEihVAMiRjf6DPqZpf2D4tEfjeRJ1 16prRDbkLur2LV68Ef1L+CajHAJzR4KK8jM28bjuq7jWcxLwbVIg7S/AXur9PLdE6uLltAfGSTMX Wj9Pny4OV6tz6iBfe/3uo9fKLzwNSXloEloy6nl11GriwuGMcuRVlcaNvVC0aG0EBDj
Michigan,2018,Team:MichiganState#Experiments_-_-_TEXT.html,"1 50% bleach wash
5 ddH2O washes
Transfer sterilized roots sterile coffee filters and pat dry
Cut up roots into 1 cm segments using flame sterilized scissors
Incubated these root segments in 0.85% saline solution at 30°C for 48 hours
Endophyte plating
12 sterile culture tubes with 9 ml of 0.85% saline (series A-C) one set for Fertilized one set for unfertilized
3 tubes of 10-1 : 0.5 ml of 100 suspension + 5 ml of 0.85% solution
3 tubes of 10-2 : 0.5 ml of 10-1 suspension + 5 ml of 0.85% solution
3 tubes of 10-3 : 0.5 ml of 10-2 suspension + 5 ml of 0.85% solution
3 tubes of 10-4: 0.5 ml of 10-3 suspension + 5 ml of 0.85% solution
Spread plates (100μl of culture used)
100
3 series (A-C) each have the following dilutions: 10-1, 10-2, 10-3, 10-4
Streak plates
100
3 series (A-C) each have the following dilution: 10-1
Incubate plates at 30°C overnight
Fast-extraction of fungal tissue or bacterial colonies
Materials
Extraction solution (ES)
5 mL of 1 M Tris (pH 9)
0.93 g KCl
0.19 g Na2-EDTA
50 mL dH2O
Titrate with 1 M NaOH to pH ~ 9.5-10
Filter sterilize into 2 mL microcentrifuge tubes
3% m/v bovine serum albumin (BSA), filter sterilized
PCR tubes
P200 tips
Fungal or bacterial culture growing on solid media
Methods
Add 20 μl of ES to PCR tubes.
For fungi
Heat-sterilize forceps and allow to cool.
Use forceps to remove a very small tuft of mycelium from the fungal culture, place into PCR tube with ES. Swirl to remove it from forceps.
For bacteria
Use a 200 μl pipet tip to lightly touch a colony.
Place tip into the PCR tube with ES. Swirl for 10 seconds.
Close the PCR tube, and place in therm"
METU_Turkey_Software,2010,Team:METU Turkey Software_-_-_TEXT.html,"ID assembly orders for each construct     has been used to extract the type information for each subpart with     that construct. This innovative approach helped us to reveal 400 possible     brick combinations present within the 3x384 well plates distributed     by iGEM in Spring 2010.
Contact
For critics, suggestion, or appraisal, you can contact us on software_metuturkey@googlegroups.com
Future Plan
The application we have developed can be used by all iGEM members.     As the iGEMs database expands and the recognition of the field of Synthetic     Biology increases, data resources from other biological databases such     as NCBI might be needed to be integrated to the application. In such     a situation, extendibility of the application is vital. New data resources     and new functions should be added easily.
Before planning ahead, feedback from other teams and iGEM headquarters     about the BioGuide 1.0 will be collected. That will help us to fill     in the missing features of the application and check the theories which     are basis of our algorithms.
As our application is not geared towards any commercial use and will     stay as an academic application, keeping track of the weekly developmental     process on the wiki notebook environment was satisfactory. If the need     for a commercial application emerges, we should be utilizing professional     software development approaches to determine the exact requirements     and to facilitate the use of a common language between interdiciplinary     members in the team.
For constructing BioGuide 2.0 we have some plans.
Short Term plan:
Next year we are planning to generate BioGuide 2.0 by using all parts     data but inorder to do this we will update our part database but easyway     is standardization and reorganizing all parts in partsregistrty.org     according to our suggestion because re-organizing and normalization     are crucial. We are planning to add new tools to improve graphs.Our     ultimate aim is finding best pathway based on automated construction     and input-output relation. BioGuide 2.0 will be more faster because     we are planning to use OODBMS and all all platform will support BioGuide     2.0.
Long term plan:
We want to improve our algoritm and add more parameter to make graphs     more effective. Our dream is embeding our software into partsregistry.org     so no mere iGEMers will choose parts in real time by using our software.
Suggestions based on PartsRegistry Survey Results
First suggesiton is offering fartnership with Google for easy search     and founding a committe to enforce"
LMU-TUM_Munich,2016,Team:LMU-TUM Munich#Labjournal_-_-_TEXT.html,"-P277
Investigator: LK
Aim of the experiment: Isolating and verifiing A3C5+EspP_ddT ligation, ""quickchanged"" BAP-constructs and amplification of A3C5 in pSB1C3.
Procedure:
Minipreps where performed according to manufacturer's protocol.
Analytical digestion with EcoRI and PstI of ~ 200-250ng of each plasmid was performed for 30 min at 37°C.
Results:
Sunday, Aug 21st
Cloning of GSY9 and scAvidin
Investigaor: LK, JL
Procedure:
The PCR of scAvdin was digested over night with SpeI and NgoMIV at 37°C.
The PCR of GSY9 was divided: one half was digested with XbaI and AgeI (-> F224) and the other half was digested with XbaI and HindIII (->F225).
Additionally P74 (pSB1C3+RFP-Reporter) was digested with XbaI and AgeI (-> F227) to provide a plasmid for the ligation with F224.
The digestions where plotted on a gel, and bands at 1700Bp for scAvidin, 222Bp for TetO-OmpA, 490Bp for eMA and 2100Bp for pSB1C3 where cut out and purified with the Promega Wizard SV Gel Kit according to the manufactuerers protocol.
F224 (TetO-OmpA) was then ligated with F227 (pSB1C3), F225 (enhanced monomeric Avidin) was ligated with F206 (pASK111) and F226 (scAvidin) was ligated with F218 (pSB1C3). Ligations where incubated over night at 16°C.
Transformation was performed according to the SOP on Monday morning.
Week 15, Aug 22nd - Aug 28th
Monday, Aug 22nd
Sequencing of P268, P276, P277 and P279
Investigator: Julian
Aim of the experiment: Sequencing of P268 (PAS lysine), P276 (QC BAP-NanoLuc-A3C5), P277 (QC BAP-NanoLuc) and P279 (A3C5-EspP-DoubleTerminator)
Procedure:
Sequencing batch were prepared after manufacturer's protocol. ("
Uppsala,2018,Team:Uppsala#Lind_-_-_TEXT.html," spread knowledge about iGEM and synthetic biology.
LiU iGEM is proudly sponsored by
LiU iGEM
Kårallen, Linköpings Universitet
581 83 Linköping
liuigemgroup@gmail.com
About LiU
Study in Linköping
Research
www.liu.se"
Austin_LASA,2018,Team:Austin LASA#team team members2.html_-_-_TEXT.html," 7.163 16 16 16h256c8.837 0 16-7.163 16-16v-40c0-8.837-7.163-16-16-16z""] };\nvar faAlignRight = { prefix: \'fas\', iconName: \'align-right\', icon: [448, 512, [], ""f038"", ""M160 84V44c0-8.837 7.163-16 16-16h256c8.837 0 16 7.163 16 16v40c0 8.837-7.163 16-16 16H176c-8.837 0-16-7.163-16-16zM16 228h416c8.837 0 16-7.163 16-16v-40c0-8.837-7.163-16-16-16H16c-8.837 0-16 7.163-16 16v40c0 8.837 7.163 16 16 16zm0 256h416c8.837 0 16-7.163 16-16v-40c0-8.837-7.163-16-16-16H16c-8.837 0-16 7.163-16 16v40c0 8.837 7.163 16 16 16zm160-128h256c8.837 0 16-7.163 16-16v-40c0-8.837-7.163-16-16-16H176c-8.837 0-16 7.163-16 16v40c0 8.837 7.163 16 16 16z""] };\nvar faAllergies = { prefix: \'fas\', iconName: \'allergies\', icon: [448, 512, [], ""f461"", ""M416 112c-17.6 0-32 14.4-32 32v72c0 4.4-3.6 8-8 8h-16c-4.4 0-8-3.6-8-8V64c0-17.6-14.4-32-32-32s-32 14.4-32 32v152c0 4.4-3"
