Year,Source,Target,NbOfMention,TargetID,SourceID
2011,Alberta,Calgary,3,640,612
2011,Alberta,Lethbridge,2,542,612
2011,Alberta,Dundee,1,562,612
2011,Alberta,MIT,2,511,612
2011,Alberta,British_Columbia,1,517,612
2011,Alberta,Waterloo,1,576,612
2011,Alberta,Toronto,1,601,612
2011,Amsterdam,Groningen,3,607,538
2011,Amsterdam,Brown-Stanford,3,656,538
2011,Amsterdam,Yale,9,652,538
2011,Amsterdam,British_Columbia,1,517,538
2011,Amsterdam,Warsaw,1,528,538
2011,Amsterdam,TU-Delft,4,556,538
2011,Amsterdam,Bielefeld-Germany,2,525,538
2011,Amsterdam,Cambridge,3,638,538
2011,Amsterdam,KULeuven,1,584,538
2011,Amsterdam,Tokyo_Tech,1,649,538
2011,Arizona_State,Imperial_College_London,2,515,578
2011,Arizona_State,Johns_Hopkins,2,530,578
2011,Arizona_State,USC,1,512,578
2011,Arizona_State,Cornell,3,597,578
2011,Arizona_State,British_Columbia,1,517,578
2011,Arizona_State,Brown-Stanford,1,656,578
2011,Arizona_State,Columbia-Cooper,1,643,578
2011,Arizona_State,MIT,3,511,578
2011,Arizona_State,Panama,1,653,578
2011,Arizona_State,TU_Munich,1,568,578
2011,Arizona_State,UQ-Australia,1,570,578
2011,Arizona_State,UTP-Panama,1,672,578
2011,Arizona_State,Penn,1,548,578
2011,Arizona_State,Cambridge,1,638,578
2011,Arizona_State,TU-Delft,1,556,578
2011,ArtScienceBangalore,Washington,1,590,645
2011,Bard-Annandale,Cambridge,1,638,595
2011,Berkeley,BU_Wellesley_Software,1,577,641
2011,Berkeley,MIT,1,511,641
2011,Berkeley,UCSF,1,644,641
2011,Bielefeld-Germany,Amsterdam,15,538,525
2011,Bielefeld-Germany,MIT,3,511,525
2011,Bielefeld-Germany,Freiburg,19,608,525
2011,Bielefeld-Germany,Alberta,7,612,525
2011,Bielefeld-Germany,Edinburgh,3,523,525
2011,Bielefeld-Germany,Berkeley,3,641,525
2011,Bielefeld-Germany,DTU-Denmark,2,564,525
2011,Bielefeld-Germany,Potsdam_Bioware,2,627,525
2011,Bielefeld-Germany,TU-Delft,2,556,525
2011,Bilkent_UNAM_Turkey,Fatih_Turkey,1,541,596
2011,Bilkent_UNAM_Turkey,MIT,3,511,596
2011,Bilkent_UNAM_Turkey,Edinburgh,1,523,596
2011,Bilkent_UNAM_Turkey,USC,1,512,596
2011,Bilkent_UNAM_Turkey,METU-Ankara,1,593,596
2011,British_Columbia,Alberta,4,612,517
2011,British_Columbia,MIT,4,511,517
2011,British_Columbia,Edinburgh,1,523,517
2011,British_Columbia,TU-Delft,3,556,517
2011,British_Columbia,Grinnell,3,531,517
2011,British_Columbia,UCSF,1,644,517
2011,British_Columbia,Cambridge,1,638,517
2011,British_Columbia,Imperial_College_London,1,515,517
2011,Brown-Stanford,Cornell,3,597,656
2011,Brown-Stanford,MIT,7,511,656
2011,Brown-Stanford,Arizona_State,2,578,656
2011,Brown-Stanford,Missouri_Miners,1,621,656
2011,Brown-Stanford,Panama,1,653,656
2011,Brown-Stanford,TU-Delft,1,556,656
2011,Brown-Stanford,UQ-Australia,1,570,656
2011,Brown-Stanford,UTP-Panama,1,672,656
2011,Brown-Stanford,Cambridge,3,638,656
2011,Brown-Stanford,UC_Davis,1,611,656
2011,Brown-Stanford,Michigan,1,618,656
2011,Brown-Stanford,Virginia,1,635,656
