year,meetup_name,host_team,month,Location,Flag
2018,iGEM Japan Kansai Forum,Kyoto,March,Kyoto University,
2018,6th Annual BioBrick Tutorial at DTU,DTU-Denmark,April,"Technical University of Denmark (DTU) Lyngby, Denmark",
2018,iGEM Southern China Regional Meeting,SZU-China,May,"Shenzhen University, China",
2018,Nordic iGEM Conference,Lund,June,"Lund, Sweden",
2018,German iGEM Meetup,Bielefeld-CeBiTec,June,Marburg,
2018,iGEM Midwestern Meetup,MichiganState,June," Molecular Plant Sciences Building, East Lansing, MI USA",
2018,Scottish iGEM Meetup,St_Andrews,July,"St Andrews, UK",
2018,Northeastern iGEM Meetup (NEGEM),BostonU,July,"Center for Integrated Life Sciences and Engineering (610 Commonwealth Avenue, Boston, MA 02215",
2018,The University Joint Conference of the iGEM Competition China Division,NKU_China,July,Nankai Univesity,
2018,4th Annual Parisian Meetup,Pasteur_Paris,July,"Institut Pasteur, Paris 75015 FRANCE",
2018,iGEM Southern California Meetup,ULaVerne_Collab,July,"University of La Verne, 1950 3rd street, La Verne, California",
2018,Mid-Atlantic Meetup,UMaryland,July,"University of Maryland, College Park",
2018,Latin American meetup,TecCEM,July,"Tecnológico de Monterrey, Campus Estado de México. Address: Ave. Lago de Guadalupe KM 3.5, Margarita Maza de Juárez. Cd. López Mateos, Edo. de México. Z.C: 52926.",
2018,UK iGEM Meetup,Oxford,July,"Oxford, UK",
2018,European Meetup in Munich,Munich,July,"Biozentrum Martinried, Munich, Germany",
2018,Shenzhen highschool meetup,SSHS-Shenzhen,July,"Shenzhen, qinghuang research harbor",TRUE
2018,North American Kick-Off Event,Calgary,July,University of Calgary Health Sciences Centre,
2018,iGEM Eurasian meet-up 2018,TUDelft,July,Shenzen,TRUE
2018,iGEM Eurasian meet-up 2018,BGIC-Global,July,Shenzen,TRUE
2018,All India iGEM Meetup,IISc-Bangalore,July," Indian Institute of Science, Bangalore",
2018,oGEM (Ontario GEM),McMaster,July,McMaster University,
2018,6th Asia Pacific International Genetically Engineered Machine Conference,NCHU_Taichung,August,"National Chung Hsing University, Taichung, Taiwan",
2018,NYC Area iGEM Meetup,Bio_Without_Borders,August,33 Flatbush Avenue in Brooklyn,
2018,BioHackathon: Lab Issues,Vilnius-Lithuania,August,"Vilnius University, Vilnius, Lithuania",TRUE
2018,iGEM East Japan Meetup 2018,Tokyo_Tech,August,"Midorigaoka 6th Building, Tokyo Institute of Technology, Japan",
2018,Summer Mediterranean Meet Up,Aix-Marseille,August,Marseille,
2018,Dutch BBQ and Meet-Up,Leiden,August,"Leiden, The Netherlands",
2018,Pacific Northwest Meetup,Washington,August,"University of Washington, Seattle, USA",
2018,Spanish Meet Up,UPF_CRG_Barcelona,August,"Barcelona, Spain",
2018,The fifth Conference of China iGEMer Community (CCiC),ShanghaiTech,August,"ShanghaiTech University, 393 Middle Huaxia Road, Pudong, Shanghai, 201210, CHINA",TRUE
2018,iGEM 2018 Turkey Meet-Up,METU,September,"METU DF Convention Center, Ankara,Turkey",
2018,iGEM National Science Congress,TecMonterrey_GDL,September,"Tecnologico de Monterrey campus Monterrey, Monterrey, Mexico",
2018,Anooother European meetup,Madrid-OLM,September,"José Antonio Novais, 12, 28040 Madrid. Spain",TRUE
2018,London iGEM trouble shooting meet-up,Imperial_College,September,"King's College London, UK",
2018,London iGEM trouble shooting meet-up,UCL,September,"King's College London, UK",
2018,London iGEM trouble shooting meet-up,KCL_UK,September,"King's College London, UK",
2018,London iGEM trouble shooting meet-up,Westminster_UK,September,"King's College London, UK",
2018,iGEM Biotechnology Conference,Aachen,September,"Victor J. Koningsberger Building, Budapestlaan 4a-b, 3584 CD, Utrecht, The Netherlands",
2018,iGEM Biotechnology Conference,Utrecht,September,"Victor J. Koningsberger Building, Budapestlaan 4a-b, 3584 CD, Utrecht, The Netherlands",
2018,"Symposium ""Limits of Life""",Uppsala,September,"Siegbahnsalen, Ångstromlaboratoriet, Uppsala University, Uppsala, Sweden",
2018,Biotech4Change (European Commission Biotech Event),UCLouvain,September,Brussels (EU parliament),
2018,Northern China High School Meet Up,BFSUICC-China,October,Beijing Foreign Studies University(exact location TBD),TRUE
2018,iGEM Shanghai Meetup,SHSID_China,October,Shanghai Botanical Garden,
2018,iGEM Shanghai Meetup,SHSU_China,October,Shanghai Botanical Garden,
2018,Dutch mini jamboree in Eindhoven,TU-Eindhoven,October,"Eindhoven, The Netherlands",
2017,NEGEM 2017.2,NA,October,"500 Technology Square, Cambridge MA, room NE47-189 (about 3 blocks from the MIT/Kendall T stop)",
2017,Beijing-Tianjin iGEM Meetup,UCAS,October,"Yanqi Lake Campus of University of Chinese Academy of Sciences, Beijing, China",
2017,European Practice Jamboree hosted by Team KU Leuven,KU_Leuven,October,"Andreas Vesaliusstraat 13, 3000 Leuven, Belgium",
2017,Danish ethics and wiki workshop,SDU-Denmark,August,"University of Southern Denmark. Campusvej 55, 5230 Odense, Denmark",
2017,Conference of China iGEMer Community Meetup,FAFU-CHINA,August,"Fujian Agriculture and Forestry University, Fuzhou, Fujian, China.",TRUE
2017,China iGEM High School Conference,Shenzhen_SFLS,August,"Shenzhen Institute of International Education, Shenzhen, China",
2017,China iGEM High School Conference,SIAT-SCIE,August,"Shenzhen Institute of International Education, Shenzhen, China",
2017,UK Meetup at Westminster,Westminster_UK,August,University of Westminster,
2017,Mediterranean Meetup,Aix-Marseille,August,Marseille,
2017,Southeastern Mini iGEM Convention,Gaston_Day_School,August,"Gaston Day School in Gastonia, North Carolina",
2017,5th Asia Pacific International Genetically Engineered Machine Conference,NCTU_Formosa,August,"National Chiao Tung University, HsinChu, Taiwan",
2017,iGEM 2017 North American Upper Midwest Meet-Up,MSU-Michigan,July,Michigan State University,
2017,Mid-Atlantic iGEM Meet-up,Virginia,July,"Gilmer 190, on UVA Grounds",
2017,Mexican Teams Meetup,TecCEM,July,"Tecnológico de Monterrey Campus Estado de México, Av. Lago de Guadalupe 3.5 Km, Margarita Maza de Juárez. C.P. 52926, Estado de México, México",
2017,3rd Parisian Meetup,Pasteur_Paris,July,"Institut Pasteur, Paris 75015 FRANCE",
2017,2017 Taiwan iGEM Conference,CGU_Taiwan,July," Chang Gung University, Taiwan",
2017,Ontario Meetup,Waterloo,July,University of Waterloo,
2017,All India iGEM Meet-up 2017,IISER-Pune-India,July,"IISER Pune, India",
2017,European Meetup at TU Delft,TUDelft,July,"Faculty Aerospace Engineering, Delft University of Technology, The Netherlands",
2017,Germany Team Meetup,TU_Dresden,July,The Center for Regenerative Therapies Dresden and the Biology building of TU-Dresden,
2017,iGEM Northern Meet-up UK,Edinburgh_OG,June,"University of Edinburgh, Scotland",
2017,Benelux Meetup at Wageningen,Wageningen_UR,June,Benelux Meetup at Wageningen,
2017,New England iGEM (NEGEM) - Summer Meetup,BostonU,June,"Boston University Center for Integrated Life Sciences and Engineering (CILSE), 610 Commonwealth Ave. Boston, MA 02215",
2017,Nordic iGEM Conference,UCopenhagen,June,"August Krogh Building, Copenhagen",
2017,May festival in Tokyo University,NA,May,"Tokyo University, Bunkyo, Japan",TRUE
2017,iGEM Southern China Regional Meeting,SZU-China,April,"Shenzhen University XILI Campus, Shenzhen, Guangdong, China",
2017,Brazilian Meetup,USP-Brazil,March,"Institute of Biomedical Sciences (ICB) 3, Cidade Universitária, São Paulo - SP, Brazil",
2017,5th Annual BioBrick Workshop at DTU,DTU-Denmark,March,"echnical University of Denmark (DTU) Lyngby, Denmark",
2016,BeNeLux Meetup,Wageningen_UR,May,Wageningen,
2016,Nordic Meetup,Stockholm,June,Stockholm,
2016,NEGEM Meetup,BostonU,June,Boston,
2016,European iGEM Meetup in Paris,Ionis_Paris,July,Paris,
2016,European iGEM Meetup in Paris,Evry,July,Paris,
2016,Mid-Atlantic Meetup,UMaryland,July,University of Maryland,
2016,India iGEM Meetup,SVCE_CHENNAI,July,"Sri Venkateswara College of Engineering, Tamilnadu",
2016,Heartland Regional Meetup,Missouri_Rolla,July,Missouri,TRUE
2016,China High School Meetup,Shenzhen_SFLS,August,"Shenzhen Foreign Languages School High School Department Yantian Road No.1, Yantian District, Shenzhen, Guangdong, China",
2016,iGEM SouthWest China Union Meetup,SCU-China,August,"Wangjiang Campus, Sichuan University, Chengdu, China",
2016,Meetup Ile-de-France,Pasteur_Paris,August,"Institut Pasteur, Paris, France",
