TeamID,Team,Region,Country,Track,Division,Size,Status,Year,Section,Medal,Finalist,Winner
1319,Aachen,Europe,Germany,Measurement,Collegiate,20,Accepted,2014,Overgrad,gold,0,0
1585,Aachen,Europe,Germany,Manufacturing,Collegiate,24,Accepted,2015,Overgrad,gold,0,0
2020,Aachen,Europe,Germany,New Application,Collegiate,22,Accepted,2016,Overgrad,gold,0,0
2225,Aachen,Europe,Germany,Environment,Collegiate,20,Accepted,2017,Overgrad,gold,0,0
2702,Aachen,Europe,Germany,Diagnostics,Collegiate,20,Accepted,2018,Overgrad,gold,0,0
1443,Aalto-Helsinki,Europe,Finland,Entrepreneurship,Collegiate,11,Accepted,2014,Undergrad,blocked,0,0
1655,Aalto-Helsinki,Europe,Finland,Energy,Collegiate,12,Accepted,2015,Undergrad,gold,0,0
1907,Aalto-Helsinki,Europe,Finland,Environment,Collegiate,13,Accepted,2016,Overgrad,gold,0,0
2342,Aalto-Helsinki,Europe,Finland,Therapeutics,Collegiate,13,Accepted,2017,Overgrad,silver,0,0
2647,Aalto-Helsinki,Europe,Finland,New Application,Collegiate,13,Accepted,2018,Overgrad,gold,0,0
182,Aberdeen_Scotland,Europe,United Kingdom,New Application,Collegiate,21,Accepted,2009,IGEM,gold,0,0
385,Aberdeen_Scotland,Europe,United Kingdom,New Application,Collegiate,17,Accepted,2010,IGEM,silver,0,0
1352,Aberdeen_Scotland,Europe,United Kingdom,Health & Medicine,Collegiate,11,Accepted,2014,Overgrad,gold,0,0
2815,ACIBADEM_ISTANBUL,Asia,Turkey,Therapeutics,Collegiate,8,Accepted,2018,Undergrad,bronze,0,0
1261,Acton-BoxboroughRHS,North America,United States,Food & Energy(P),High_school,18,Accepted,2014,IGEM,blocked,0,0
2217,AFCM-Egypt,Africa,Egypt,Therapeutics,Collegiate,23,Accepted,2017,Undergrad,gold,0,0
2534,AFCM-Egypt,Africa,Egypt,Therapeutics,Collegiate,30,Accepted,2018,Overgrad,silver,0,0
470,Africa,Africa,,,Collegiate,5,Accepted,2006,IGEM,blocked,0,0
1196,AHUT_China,Asia,China,Environment,Collegiate,17,Accepted,2013,Overgrad,bronze,0,0
1341,AHUT_China,Asia,China,Information Processing,Collegiate,24,Accepted,2014,Undergrad,silver,0,0
1751,AHUT_China,Asia,China,Food & Nutrition,Collegiate,37,Accepted,2015,Undergrad,silver,0,0
2044,AHUT_China,Asia,China,Information Processing,Collegiate,32,Accepted,2016,Overgrad,bronze,0,0
2459,AHUT_China,Asia,United States,Information Processing,Collegiate,32,Accepted,2017,Undergrad,none,0,0
2547,AHUT_China,Asia,China,Environment,Collegiate,39,Accepted,2018,Undergrad,silver,0,0
1917,Ain_Shams-Egypt,Africa,Egypt,Therapeutics,Collegiate,21,Accepted,2016,Undergrad,bronze,0,0
1098,AITM-Nepal,Asia,Nepal,Health & Medicine,Collegiate,33,Accepted,2013,Overgrad,none,0,0
1349,Aix-Marseille,Europe,France,Foundational Advance,Collegiate,11,Accepted,2014,Overgrad,gold,0,0
1601,Aix-Marseille,Europe,France,Environment,Collegiate,24,Accepted,2015,Overgrad,bronze,0,0
1951,Aix-Marseille,Europe,France,Environment,Collegiate,19,Accepted,2016,Overgrad,gold,0,0
2255,Aix-Marseille,Europe,France,Environment,Collegiate,29,Accepted,2017,Overgrad,gold,0,0
2718,Aix-Marseille,Europe,France,Therapeutics,Collegiate,30,Accepted,2018,Overgrad,gold,0,0
25,Alberta,North America,Canada,Energy,Collegiate,13,Accepted,2007,IGEM,gold,0,0
187,Alberta,North America,Canada,Foundational Advance,Collegiate,30,Accepted,2009,IGEM,gold,0,0
349,Alberta,North America,Canada,Foundational Advance,Collegiate,27,Accepted,2010,IGEM,gold,0,0
612,Alberta,North America,Canada,Food & Energy,Collegiate,10,Accepted,2011,IGEM,bronze,0,0
879,Alberta,North America,Canada,Foundational Advance,Collegiate,11,Accepted,2012,IGEM,gold,0,0
1161,Alberta,North America,Canada,Information Processing,Collegiate,10,Accepted,2013,Undergrad,gold,0,0
960,Alberta-North-RBI_E,North America,Canada,,Collegiate,13,Accepted,2012,IGEM,blocked,0,0
102,Alberta_NINT,North America,Canada,,Collegiate,12,Accepted,2008,IGEM,silver,0,0
2145,Alverno_CA,North America,United States,High School,High_school,17,Accepted,2016,High_school,silver,0,0
2457,Amazonas_Brazil,Latin America,Brazil,Foundational Advance,Collegiate,27,Accepted,2017,Undergrad,silver,0,0
1719,Amoy,Asia,China,Foundational Advance,Collegiate,19,Accepted,2015,Undergrad,silver,0,0
949,Amplino,Europe,Netherlands,,Collegiate,4,Accepted,2012,IGEM,blocked,0,0
1281,AMSA_WeColi,North America,United States,,High_school,14,Accepted,2014,IGEM,blocked,0,0
538,Amsterdam,Europe,Netherlands,Foundational Advance,Collegiate,12,Accepted,2011,IGEM,gold,0,0
874,Amsterdam,Europe,Netherlands,Foundational Advance,Collegiate,11,Accepted,2012,IGEM,gold,0,0
1844,Amsterdam,Europe,Netherlands,Energy,Collegiate,7,Accepted,2015,Overgrad,gold,0,0
2385,Amsterdam,Europe,Netherlands,Manufacturing,Collegiate,13,Accepted,2017,Overgrad,bronze,0,0
1200,AMU-Poznan,Europe,Poland,Software Tools,Collegiate,7,Accepted,2013,Overgrad,silver,0,0
1436,AMU-Poznan,Europe,Poland,Software,Collegiate,7,Accepted,2014,Overgrad,gold,0,0
996,AnatoliaGreece,Europe,Greece,Health & Medicine(P),High_school,10,Accepted,2013,IGEM,blocked,0,0
1302,Anatolia_Greece,Europe,Greece,Environment(P),High_school,17,Accepted,2014,IGEM,blocked,0,0
1750,ANU-Canberra,Asia,Australia,Foundational Advance,Collegiate,12,Accepted,2015,Undergrad,bronze,0,0
2270,AQA_Unesp,Latin America,Brazil,Therapeutics,Collegiate,18,Accepted,2017,Undergrad,gold,0,0
438,Arizona,North America,,,Collegiate,12,Accepted,2006,IGEM,blocked,0,0
578,Arizona_State,North America,United States,New Application,Collegiate,11,Accepted,2011,IGEM,bronze,0,0
891,Arizona_State,North America,United States,Health & Medicine,Collegiate,15,Accepted,2012,IGEM,gold,0,0
1190,Arizona_State,North America,United States,Health & Medicine,Collegiate,11,Accepted,2013,Undergrad,bronze,0,0
1502,Arizona_State,North America,United States,Energy,Collegiate,11,Accepted,2014,Undergrad,bronze,0,0
2033,Arizona_State,North America,United States,Foundational Advance,Collegiate,14,Accepted,2016,Overgrad,gold,0,0
2357,Arizona_State,North America,United States,Foundational Advance,Collegiate,10,Accepted,2017,Overgrad,gold,0,0
939,Arizona_State_E,North America,United States,,Collegiate,10,Accepted,2012,IGEM,blocked,0,0
1543,ArtCenter_MDP,North America,United States,Art & Design,Collegiate,1,Accepted,2014,Unspecified,none,0,0
221,ArtScienceBangalore,Asia,India,New Application,Collegiate,12,Accepted,2009,IGEM,bronze,0,0
420,ArtScienceBangalore,Asia,India,New Application,Collegiate,14,Accepted,2010,IGEM,none,0,0
645,ArtScienceBangalore,Asia,India,Environment,Collegiate,14,Accepted,2011,IGEM,none,0,0
2252,AshesiGhana,Africa,Ghana,Environment,Collegiate,11,Accepted,2017,Overgrad,silver,0,0
1885,ASIJ_Tokyo,Asia,Japan,High School,High_school,19,Accepted,2016,High_school,bronze,0,0
2226,ASIJ_TOKYO,Asia,Japan,High School,High_school,22,Accepted,2017,High_school,bronze,0,0
2562,ASIJ_Tokyo,Asia,Japan,High School,High_school,24,Accepted,2018,High_school,silver,0,0
2509,ASTWS-China,Asia,China,High School,High_school,20,Accepted,2017,High_school,none,0,0
2826,ASTWS-China,Asia,China,High School,High_school,20,Accepted,2018,High_school,gold,0,0
2709,Athens,Europe,Greece,Diagnostics,Collegiate,12,Accepted,2018,Undergrad,bronze,0,0
1202,ATOMS-Turkiye,Europe,Turkey,Health & Medicine,Collegiate,23,Accepted,2013,Undergrad,gold,0,0
1456,ATOMS-Turkiye,Europe,Turkey,Health & Medicine,Collegiate,26,Accepted,2014,Undergrad,gold,0,0
1639,ATOMS-Turkiye,Europe,Turkey,Health & Medicine,Collegiate,31,Accepted,2015,Undergrad,silver,0,0
2642,Auckland_MOD,Asia,New Zealand,Environment,Collegiate,10,Accepted,2018,Undergrad,none,0,0
1530,Auckland_New_Zealand,Asia,New Zealand,Health & Medicine,Collegiate,10,Accepted,2014,Overgrad,none,0,0
727,AUC_Turkey,Europe,Turkey,,High_school,15,Accepted,2012,IGEM,blocked,0,0
993,AUC_TURKEY,Europe,Turkey,New Application(P),High_school,11,Accepted,2013,High_school,blocked,0,0
1291,AUC_TURKEY,Europe,Turkey,Foundational Advance(P),High_school,23,Accepted,2014,IGEM,blocked,0,0
1806,AUC_TURKEY,Europe,Turkey,High School,High_school,12,Accepted,2015,High_school,gold,0,0
2877,Austin_LASA,North America,United States,High School,High_school,11,Accepted,2018,High_school,bronze,0,0
734,Austin_Texas,North America,United States,Food & Energy,Collegiate,10,Accepted,2012,IGEM,none,0,0
1416,Austin_Texas,North America,United States,Measurement,Collegiate,8,Accepted,2014,Overgrad,gold,0,0
1627,Austin_UTexas,North America,United States,Foundational Advance,Collegiate,16,Accepted,2015,Undergrad,gold,0,0
2097,Austin_UTexas,North America,United States,New Application,Collegiate,22,Accepted,2016,Undergrad,gold,0,0
2253,Austin_UTexas,North America,United States,Therapeutics,Collegiate,15,Accepted,2017,Undergrad,gold,0,0
2657,Austin_UTexas,North America,United States,Foundational Advance,Collegiate,24,Accepted,2018,Undergrad,bronze,0,0
2458,Austin_UTexas_LASA,North America,United States,High School,High_school,20,Accepted,2017,High_school,bronze,0,0
1677,BABS_UNSW_Australia,Asia,Australia,New Application,Collegiate,8,Accepted,2015,Undergrad,gold,0,0
665,Baltimore,North America,United States,New Application,Collegiate,11,Accepted,2011,IGEM,none,0,0
2436,Baltimore_Bio-Crew,North America,United States,High School,High_school,15,Accepted,2017,High_school,bronze,0,0
2187,Baltimore_BioCrew,North America,United States,High School,High_school,9,Accepted,2016,High_school,bronze,0,0
2893,Baltimore_BioCrew,North America,United States,High School,High_school,21,Accepted,2018,High_school,bronze,0,0
375,Baltimore_US,North America,United States,Manufacturing,Collegiate,15,Accepted,2010,IGEM,none,0,0
26,Bangalore,Asia,India,Foundational Research,Collegiate,12,Accepted,2007,IGEM,gold,0,0
452,Bangalore,Asia,,,Collegiate,9,Accepted,2006,IGEM,blocked,0,0
595,Bard-Annandale,North America,United States,Information Processing,Collegiate,4,Accepted,2011,IGEM,none,0,0
1109,Baskent_Meds,Europe,Turkey,Health & Medicine,Collegiate,11,Accepted,2013,Overgrad,bronze,0,0
923,BAU-Indonesia,Asia,Indonesia,Environment,Collegiate,12,Accepted,2012,IGEM,none,0,0
56,Bay_Area_RSI,North America,Usa,Medical,Collegiate,11,Accepted,2007,IGEM,silver,0,0
80,Bay_Area_RSI,North America,United States,,Collegiate,5,Accepted,2008,IGEM,none,0,0
135,BCCS-Bristol,Europe,United Kingdom,,Collegiate,24,Accepted,2008,IGEM,bronze,0,0
259,BCCS-Bristol,Europe,United Kingdom,Foundational Advance,Collegiate,16,Accepted,2009,IGEM,gold,0,0
381,BCCS-Bristol,Europe,United Kingdom,Food & Energy,Collegiate,14,Accepted,2010,IGEM,gold,1,0
2567,BCU,Asia,China,Environment,Collegiate,18,Accepted,2018,Undergrad,bronze,0,0
984,Beijing_BHSF,Asia,China,New Application(P),High_school,16,Accepted,2013,High_school,blocked,0,0
994,Beijing_HDFLS_High,Asia,China,Environment(P),High_school,20,Accepted,2013,IGEM,blocked,0,0
1283,Beijing_HDFLS_High,Asia,China,Health & Medicine(P),High_school,20,Accepted,2014,IGEM,blocked,0,0
78,Beijing_Normal,Asia,China,,Collegiate,7,Accepted,2008,IGEM,none,0,0
426,Berkeley,North America,United States,New Application,Collegiate,11,Accepted,2010,IGEM,gold,0,0
435,Berkeley,North America,,,Collegiate,13,Accepted,2006,IGEM,blocked,0,0
475,Berkeley,North America,,,Collegiate,4,Accepted,2005,IGEM,blocked,0,0
641,Berkeley,North America,United States,New Application,Collegiate,10,Accepted,2011,IGEM,gold,0,0
900,Berkeley,North America,United States,Information Processing,Collegiate,10,Accepted,2012,IGEM,gold,1,1
1131,Berkeley,North America,United States,Manufacturing,Collegiate,9,Accepted,2013,Undergrad,gold,0,0
