Donor,(Donor) Country,(Donor) Continent,(Donor) Medal Colour,(Donor) Team size - Student Members,(Donor) Team size - Auxilliary Members,Recipient,Special Award(s)? (Yes/No),Name of Special Awards
Aachen,Germany,Europe,Gold,19,5,Goettingen,Yes,"Best Manufacturing project,Best Software Tool"
Aachen,Germany,Europe,Gold,19,5,Heidelberg,Yes,"Best Manufacturing project,Best Software Tool"
Aachen,Germany,Europe,Gold,19,5,Slovenia_HS,Yes,"Best Manufacturing project,Best Software Tool"
Aachen,Germany,Europe,Gold,19,5,UiOslo_Norway,Yes,"Best Manufacturing project,Best Software Tool"
Aalto-Helsinki,Finland,Europe,Gold,10,2,Dundee,No,
Aalto-Helsinki,Finland,Europe,Gold,10,2,Stockholm,No,
Aix-Marseille,France,Europe,Bronze,12,12,Dundee,No,
Aix-Marseille,France,Europe,Bronze,12,12,UI_Indonesia,No,
Amoy,China,Asia,Silver,12,7,Aalto-Helsinki,No,
Amoy,China,Asia,Silver,12,7,FAFU-China,No,
Amoy,China,Asia,Silver,12,7,Paris_Bettencourt,No,
Amsterdam,Netherlands,Europe,Gold,6,1,TU_Delft,No,
ATOMS-Turkiye,Turkey,Europe,Silver,22,8,AUC_Turkey,Yes,Best New Composite Part
ATOMS-Turkiye,Turkey,Europe,Silver,22,8,UCL,Yes,Best New Composite Part
AUC_TURKEY,Turkey,Europe,Gold,10,2,ATOMS-Turkiye,No,Best New Composite Part
Austin_UTexas,United States of America,North America,Gold,14,2,LASATX,No,
BABS_UNSW_Australia,Australia,Asia,Gold,5,2,Macquarie_Australia,No,
Berlin,Germany,Europe,Silver,12,6,CGU_Taiwan,No,
Berlin,Germany,Europe,Silver,12,6,IIT_Kharagpur,No,
Berlin,Germany,Europe,Silver,12,6,Kent,No,
Berlin,Germany,Europe,Silver,12,6,Korea_U_Seoul,No,
Berlin,Germany,Europe,Silver,12,6,NEFU_China,No,
Berlin,Germany,Europe,Silver,12,6,Paris_Saclay,No,
Berlin,Germany,Europe,Silver,12,6,TU_Delft,No,
Berlin,Germany,Europe,Silver,12,6,UI_Indonesia,No,
BGU_Israel,Israel,Asia,Gold,8,2,Aix-Marseille,Yes,"Finalist, Overgrad, First Runner Up, Overgrad, Best Health and Medicine Project, Overgrad, Best New Basic Part, Overgrad, Nominated for Best Part Collection, Overgrad"
BGU_Israel,Israel,Asia,Gold,8,2,Amoy,Yes,"Finalist, Overgrad, First Runner Up, Overgrad, Best Health and Medicine Project, Overgrad, Best New Basic Part, Overgrad, Nominated for Best Part Collection, Overgrad"
BGU_Israel,Israel,Asia,Gold,8,2,Stockholm,Yes,"Finalist, Overgrad, First Runner Up, Overgrad, Best Health and Medicine Project, Overgrad, Best New Basic Part, Overgrad, Nominated for Best Part Collection, Overgrad"
BGU_Israel,Israel,Asia,Gold,8,2,Technion_HS_Israel,Yes,"Finalist, Overgrad, First Runner Up, Overgrad, Best Health and Medicine Project, Overgrad, Best New Basic Part, Overgrad, Nominated for Best Part Collection, Overgrad"
BGU_Israel,Israel,Asia,Gold,8,2,USTC,Yes,"Finalist, Overgrad, First Runner Up, Overgrad, Best Health and Medicine Project, Overgrad, Best New Basic Part, Overgrad, Nominated for Best Part Collection, Overgrad"
Bielefeld-CeBiTec,Germany,Europe,Gold,10,6,Dundee,Yes,"Best environment project, Best Model,Best Applied Design,Security Commendation,Best integrated human practices, Nominated for best wiki overgrad, best presentation, Nominated for best new basic part, best new composite part"
Bielefeld-CeBiTec,Germany,Europe,Gold,10,6,Exeter,Yes,"Best environment project, Best Model,Best Applied Design,Security Commendation,Best integrated human practices, Nominated for best wiki overgrad, best presentation, Nominated for best new basic part, best new composite part"
Bielefeld-CeBiTec,Germany,Europe,Gold,10,6,Freiburg,Yes,"Best environment project, Best Model,Best Applied Design,Security Commendation,Best integrated human practices, Nominated for best wiki overgrad, best presentation, Nominated for best new basic part, best new composite part"
Bielefeld-CeBiTec,Germany,Europe,Gold,10,6,Santa_Clara,Yes,"Best environment project, Best Model,Best Applied Design,Security Commendation,Best integrated human practices, Nominated for best wiki overgrad, best presentation, Nominated for best new basic part, best new composite part"
BIOSINT_Mexico,Mexico,Latin America,Gold,14,2,Manchester-Graz,No,
BIOSINT_Mexico,Mexico,Latin America,Gold,14,2,Mingdao,No,
BIOSINT_Mexico,Mexico,Latin America,Gold,14,2,Pasteur_Paris,No,
BIOSINT_Mexico,Mexico,Latin America,Gold,14,2,Stockholm,No,
BIOSINT_Mexico,Mexico,Latin America,Gold,14,2,TecCEM,No,
BIOSINT_Mexico,Mexico,Latin America,Gold,14,2,TecCEM_HS,No,
BIOSINT_Mexico,Mexico,Latin America,Gold,14,2,Technion_Israel,No,
BIOSINT_Mexico,Mexico,Latin America,Gold,14,2,Tec-Monterrey,No,
BIOSINT_Mexico,Mexico,Latin America,Gold,14,2,Uniandes_Colombia,No,
BIOSINT_Mexico,Mexico,Latin America,Gold,14,2,WPI-Worcester,No,
Birkbeck,England,Europe,Bronze,6,4,CU_Boulder,No,
Birkbeck,England,Europe,Bronze,6,4,Korea_U_Seoul,No,
Birkbeck,England,Europe,Bronze,6,4,Nankai,No,
Birkbeck,England,Europe,Bronze,6,4,Paris_Saclay,No,
BIT-China,Beijing,Asia,Gold,17,9,BNU-China,Yes,"Nominated for Best New Appliation Project, Undergrad"
BIT-China,Beijing,Asia,Gold,17,9,TJU,Yes,"Nominated for Best New Appliation Project, Undergrad"
BNU-CHINA,China,Asia,Silver,27,6,BIT-CHINA,No,
Bordeaux,France,Europe,Gold,21,3,Oxford,No,
Bordeaux,France,Europe,Gold,21,3,Paris_Saclay,No,
Bordeaux,France,Europe,Gold,21,3,UCL,No,
Bordeaux,France,Europe,Gold,21,3,UI_Indonesia,No,
BostonU,United States of America,North America,Gold,6,2,Wellesley_TheTech,Yes,Nominated for Best Foundational Advance Project
Brasil-USP,Brazil,Latin America,Gold,21,6,Aalto-Helsinki,No,
Brasil-USP,Brazil,Latin America,Gold,21,6,CGU_Taiwan,No,
Brasil-USP,Brazil,Latin America,Gold,21,6,Paris_Saclay,No,
Brasil-USP,Brazil,Latin America,Gold,21,6,UCL,No,
Brasil-USP,Brazil,Latin America,Gold,21,6,UFSCar-Brasil,No,
British_Columbia,Canada,North America,Gold,13,8,Yale,Yes,"Nominated for Best Environment Project, Undergrad"
BroadRun-NorthernVA,United States of America,North America,Silver,5,4,Rock_Ridge_Virginia,Yes,"Nominated for Best Wiki, High School"
Cairo_Egypt,Egypt,Africa,Bronze,26,8,Minnesota,No,
Cairo_Egypt,Egypt,Africa,Bronze,26,8,Paris_Bettencourt,No,
Cambridge-JIC,England,Europe,Gold,10,6,Glasgow,Yes,"Nominated for best hardware project, Nominated for best software tool, Nominated for best applied design, Nominated for best poster"
Carnegie_Mellon,United States of America,North America,Gold,10,2,Pitt,No,
Carnegie_Mellon,United States of America,North America,Gold,10,2,TU_Eindhoven,No,
Carnegie_Mellon,United States of America,North America,Gold,10,2,UGA-Georgia,No,
CAU_China,China,Asia,Silver,29,2,ZJU-China,No,
Central_Calgary,United States of America,North America,Bronze,11,3,Lethbridge,No,
Chalmers-Gothenburg,Sweden,Europe,Silver,15,2,Czech_Republic,No,
CHINA_CD_UESTC,China,Asia,Gold,11,4,SCU_China,No,
CHINA_CD_UESTC,China,Asia,Gold,11,4,UESTC_Software,No,
China_Tongji,China,Asia,Gold,8,5,Hong_Kong-CUHK,No,
CityU_HK,China,Asia,Gold,16,5,Hong_Kong-CUHK,No,
Columbia_NYC,United States of America,North America,Silver,5,1,Genspace,No,
Columbia_NYC,United States of America,North America,Silver,5,1,UGA-Georgia,No,
Concordia,United States of America,North America,Bronze,10,5,Yale,No,
Consort_Alberta,United States of America,North America,Gold,6,1,OLS_Canmore_AB_CA,Yes,"Nominated for Best Integrated Human Practices, High School"
Cooper_Union,United States of America,North America,Gold,10,3,Genspace,No,
Cork_Ireland,Ireland,Europe,Gold,9,2,TrinityCollegeDublin,Yes,Nominated for best integrated human practices
Cork_Ireland,Ireland,Europe,Gold,9,2,UCL,Yes,Nominated for best integrated human practices
Cornell,United States of America,North America,Gold,26,1,Yale,Yes,"Best Environment Project, Undergrad"
CSU_Fort_Collins,United States of America,North America,Silver,12,4,CU_Boulder,No,
CU_Boulder,United States of America,North America,Silver,12,7,CSU_Fort_Collins,No,
CU_Boulder,United States of America,North America,Silver,12,7,IIT_Kharagpur,No,
CU_Boulder,United States of America,North America,Silver,12,7,Michigan,No,
CU_Boulder,United States of America,North America,Silver,12,7,Minnesota,No,
Czech_Republic,Czech Republic,Europe,Gold,8,7,Chalmers-Gothenburg,Yes,"Finalist undergrad, First Runner up, Best health and medecine project, Best software tool, Best model, Nominated for best applied design, Nominated for best wiki, Nominated for best presentation undergrad,"
Danzi_Kesh_8,Israel,Asia,Silver,22,4,Paris_Bettencourt,No,
DTU-Denmark,Denmark,Europe,Gold,13,3,SDU-Denmark,Yes,Nominated for best education and public engagement overgrad
DTU-Denmark,Denmark,Europe,Gold,13,3,UNIK_Copenhagen,Yes,Nominated for best education and public engagement overgrad
Duke,United States of America,North America,Silver,9,1,UMaryland,No,
Duke,United States of America,North America,Silver,9,1,UNC-Chapel_Hill,No,
Duke,United States of America,North America,Silver,9,1,William_and_Mary,No,
Dundee,Scotland,Europe,Gold,9,6,Aalto-Helsinki,No,
Dundee,Scotland,Europe,Gold,9,6,Aix-Marseille,No,
Dundee,Scotland,Europe,Gold,9,6,Bielefeld-CeBiTec,No,
Dundee,Scotland,Europe,Gold,9,6,UCSF,No,
Edinburgh,Scotland,Europe,Gold,9,10,Stanford-Brown,Yes,"Nominated for best health and medicine project overgrad, Best integrated human practices"
Elan_Vital_Korea,Korea,Asia,Bronze,9,2,HAFS-Korea,No,
Elan_Vital_Korea,Korea,Asia,Bronze,9,2,Korea_U_Seoul,No,
EPF_Lausanne,Switzerland,Europe,Silver,12,8,ETH_Zurich,No,
ETH_Zurich,Switzerland,Europe,Gold,6,10,Amoy,Yes,"Nominated for best health and medicine project overgrad, Best model overgrad, Nominated for best wiki overgrad, Nominated for best wiki overgrad, Nominated for best new basic part overgrad, best part collection overgrad"
ETH_Zurich,Switzerland,Europe,Gold,6,10,EPF_Lausanne,Yes,"Nominated for best health and medicine project overgrad, Best model overgrad, Nominated for best wiki overgrad, Nominated for best wiki overgrad, Nominated for best new basic part overgrad, best part collection overgrad"
ETH_Zurich,Switzerland,Europe,Gold,6,10,Stockholm,Yes,"Nominated for best health and medicine project overgrad, Best model overgrad, Nominated for best wiki overgrad, Nominated for best wiki overgrad, Nominated for best new basic part overgrad, best part collection overgrad"
ETH_Zurich,Switzerland,Europe,Gold,6,10,TU_Darmstadt,Yes,"Nominated for best health and medicine project overgrad, Best model overgrad, Nominated for best wiki overgrad, Nominated for best wiki overgrad, Nominated for best new basic part overgrad, best part collection overgrad"
ETH_Zurich,Switzerland,Europe,Gold,6,10,Uniandes_Colombia,Yes,"Nominated for best health and medicine project overgrad, Best model overgrad, Nominated for best wiki overgrad, Nominated for best wiki overgrad, Nominated for best new basic part overgrad, best part collection overgrad"
Evry,Norway,Europe,Silver,7,4,Paris_Bettencourt,No,
Evry,Norway,Europe,Silver,7,4,Paris_Saclay,No,
